	Maupassant_PierreJean_0	Maupassant_PierreJean_1	Maupassant_PierreJean_2	Maupassant_PierreJean_3	Maupassant_PierreJean_4	Maupassant_PierreJean_5	Maupassant_PierreJean_6	Maupassant_PierreJean_7	Maupassant_PierreJean_8	Maupassant_PierreJean_9	Maupassant_PierreJean_10	Maupassant_PierreJean_sum
Roland_NAM_Roland	30.0	24.0	11.0	15.0	1.0	22.0	14.0	10.0	18.0	12.0	16.0	173.0
cette_PRO:DEM_ce	15.0	13.0	17.0	21.0	18.0	20.0	10.0	21.0	8.0	19.0	1.0	163.0
ses_DET:POS_son	23.0	12.0	17.0	10.0	18.0	9.0	8.0	29.0	11.0	17.0	4.0	158.0
au_PRP:det_au	17.0	15.0	14.0	13.0	10.0	11.0	15.0	6.0	12.0	28.0	3.0	144.0
le_PRO:PER_le	4.0	9.0	13.0	15.0	19.0	15.0	15.0	15.0	18.0	13.0	5.0	141.0
tout_ADV_tout	16.0	14.0	16.0	10.0	14.0	15.0	9.0	16.0	14.0	7.0	7.0	138.0
qu’il_NOM_qu’il	9.0	14.0	16.0	8.0	25.0	19.0	9.0	7.0	10.0	13.0	1.0	131.0
bien_ADV_bien	11.0	20.0	15.0	13.0	7.0	11.0	10.0	14.0	9.0	14.0	5.0	129.0
comme_KON_comme	11.0	8.0	12.0	16.0	22.0	10.0	12.0	7.0	10.0	14.0	6.0	128.0
tu_PRO:PER_tu	1.0	7.0	3.0	16.0	1.0	13.0	9.0	50.0	21.0	2.0	0.0	123.0
deux_NUM_deux	25.0	17.0	15.0	7.0	8.0	8.0	13.0	9.0	3.0	7.0	8.0	120.0
que_PRO:REL_que	5.0	5.0	9.0	11.0	9.0	9.0	11.0	27.0	18.0	10.0	4.0	118.0
sans_PRP_sans	20.0	12.0	11.0	8.0	15.0	9.0	6.0	12.0	10.0	12.0	2.0	117.0
on_PRO:PER_on	10.0	18.0	17.0	13.0	7.0	14.0	12.0	9.0	7.0	7.0	1.0	115.0
mais_KON_mais	10.0	14.0	13.0	11.0	12.0	7.0	9.0	8.0	16.0	9.0	2.0	111.0
mère_NOM_mère	5.0	1.0	7.0	12.0	16.0	21.0	5.0	17.0	12.0	11.0	2.0	109.0
Mme_NOM_madame	15.0	13.0	7.0	7.0	0.0	11.0	15.0	13.0	7.0	9.0	12.0	109.0
d’un_ADJ_d’un	17.0	5.0	11.0	14.0	11.0	11.0	16.0	5.0	7.0	8.0	2.0	107.0
était_VER:impf_être	12.0	7.0	11.0	10.0	11.0	13.0	10.0	15.0	5.0	10.0	3.0	107.0
père_NOM_père	24.0	12.0	12.0	15.0	12.0	10.0	2.0	5.0	7.0	5.0	2.0	106.0
Je_PRO:PER_je	5.0	13.0	6.0	8.0	1.0	8.0	10.0	18.0	15.0	16.0	5.0	105.0
nous_PRO:PER_nous	3.0	18.0	4.0	12.0	2.0	9.0	6.0	16.0	18.0	9.0	6.0	103.0
Le_DET:ART_le	18.0	10.0	14.0	10.0	9.0	10.0	4.0	4.0	6.0	13.0	4.0	102.0
puis_ADV_puis	8.0	9.0	6.0	14.0	12.0	9.0	7.0	9.0	13.0	3.0	4.0	94.0
est_VER:pres_être	4.0	17.0	10.0	4.0	2.0	18.0	4.0	4.0	18.0	6.0	4.0	91.0
ou_KON_ou	13.0	11.0	18.0	6.0	8.0	18.0	4.0	3.0	3.0	7.0	0.0	91.0
peu_ADV_peu	15.0	8.0	8.0	7.0	9.0	6.0	13.0	7.0	3.0	12.0	2.0	90.0
Et_KON_et	6.0	7.0	10.0	8.0	14.0	11.0	7.0	8.0	7.0	6.0	6.0	90.0
fils_NOM_fil|fils	11.0	7.0	6.0	7.0	11.0	11.0	6.0	9.0	11.0	5.0	5.0	89.0
frère_NOM_frère	4.0	9.0	14.0	11.0	12.0	7.0	2.0	10.0	13.0	5.0	1.0	88.0
comme_ADV_comme	9.0	6.0	3.0	12.0	12.0	10.0	4.0	9.0	8.0	8.0	1.0	82.0
Elle_PRO:PER_elle	10.0	5.0	5.0	1.0	5.0	13.0	13.0	11.0	7.0	7.0	4.0	81.0
vous_PRO:PER_vous	2.0	5.0	7.0	5.0	2.0	1.0	22.0	8.0	3.0	22.0	3.0	80.0
mon_DET:POS_mon	1.0	12.0	7.0	8.0	5.0	5.0	1.0	17.0	17.0	6.0	1.0	80.0
ces_PRO:DEM_ce	6.0	11.0	11.0	7.0	11.0	12.0	3.0	5.0	5.0	6.0	3.0	80.0
si_ADV_si	1.0	6.0	6.0	12.0	11.0	8.0	10.0	10.0	3.0	8.0	2.0	77.0
me_PRO:PER_me	3.0	7.0	8.0	6.0	4.0	5.0	6.0	24.0	6.0	8.0	0.0	77.0
les_PRO:PER_la|le	6.0	3.0	12.0	9.0	5.0	9.0	17.0	5.0	4.0	4.0	3.0	77.0
vers_PRP_vers	14.0	10.0	2.0	7.0	5.0	9.0	11.0	4.0	4.0	3.0	5.0	74.0
aux_PRP:det_au	5.0	13.0	13.0	3.0	3.0	4.0	7.0	5.0	5.0	12.0	2.0	72.0
femme_NOM_femme	9.0	2.0	7.0	3.0	11.0	12.0	8.0	4.0	5.0	8.0	2.0	71.0
encore_ADV_encore	3.0	8.0	5.0	5.0	5.0	8.0	4.0	8.0	12.0	8.0	5.0	71.0
rien_ADV_rien	9.0	4.0	7.0	3.0	7.0	13.0	6.0	7.0	10.0	1.0	1.0	68.0
si_KON_si	4.0	7.0	3.0	4.0	11.0	10.0	7.0	5.0	10.0	6.0	1.0	68.0
où_PRO:REL_où	3.0	1.0	7.0	7.0	5.0	10.0	9.0	11.0	4.0	8.0	2.0	67.0
très_ADV_très	7.0	7.0	15.0	5.0	4.0	2.0	4.0	4.0	10.0	6.0	2.0	66.0
point_ADV_point	5.0	5.0	8.0	8.0	6.0	5.0	8.0	9.0	4.0	6.0	2.0	66.0
la_PRO:PER_la	9.0	3.0	6.0	4.0	7.0	10.0	11.0	9.0	2.0	4.0	0.0	65.0
Mais_KON_mais	7.0	5.0	5.0	4.0	6.0	5.0	7.0	10.0	4.0	9.0	3.0	65.0
leur_DET:POS_leur	11.0	1.0	5.0	6.0	11.0	7.0	8.0	3.0	4.0	5.0	4.0	65.0
te_PRO:PER_te	1.0	6.0	3.0	7.0	0.0	5.0	2.0	20.0	12.0	7.0	2.0	65.0
moi_PRO:PER_moi	1.0	8.0	3.0	8.0	5.0	2.0	0.0	20.0	5.0	11.0	0.0	63.0
tous_PRO:IND_tout	9.0	7.0	6.0	7.0	4.0	3.0	6.0	8.0	6.0	6.0	0.0	62.0
Rosémilly_NAM_Rosémilly	12.0	5.0	4.0	7.0	0.0	3.0	11.0	7.0	3.0	4.0	6.0	62.0
-ce_PRO:DEM_ce	3.0	5.0	6.0	6.0	3.0	7.0	7.0	5.0	8.0	7.0	3.0	60.0
cœur_NOM_cœur	3.0	2.0	4.0	6.0	11.0	6.0	5.0	9.0	5.0	7.0	1.0	59.0
toujours_ADV_toujours	2.0	9.0	4.0	6.0	7.0	5.0	4.0	4.0	9.0	6.0	2.0	58.0
quand_KON_quand	0.0	5.0	4.0	6.0	4.0	9.0	6.0	11.0	7.0	5.0	1.0	58.0
tout_PRO:IND_tout	6.0	6.0	4.0	7.0	7.0	3.0	2.0	5.0	6.0	10.0	0.0	56.0
en_PRO:PER_en	2.0	5.0	8.0	15.0	4.0	5.0	3.0	6.0	3.0	3.0	2.0	56.0
yeux_NOM_œil	3.0	6.0	5.0	6.0	5.0	6.0	3.0	8.0	5.0	6.0	3.0	56.0
a_VER:pres_avoir	6.0	8.0	7.0	9.0	4.0	6.0	3.0	0.0	8.0	1.0	2.0	54.0
donc_ADV_donc	6.0	5.0	7.0	6.0	3.0	7.0	6.0	4.0	5.0	4.0	1.0	54.0
même_ADJ_même	4.0	5.0	4.0	7.0	4.0	8.0	7.0	0.0	6.0	8.0	1.0	54.0
car_KON_car	8.0	6.0	7.0	5.0	3.0	4.0	5.0	2.0	8.0	6.0	0.0	54.0
Il_NAM_Il	2.0	4.0	4.0	5.0	3.0	3.0	8.0	4.0	8.0	7.0	5.0	53.0
Elle_NAM_Elle	2.0	3.0	3.0	3.0	0.0	5.0	11.0	9.0	6.0	7.0	4.0	53.0
c’est_NOM_c’est	4.0	4.0	3.0	5.0	2.0	7.0	3.0	7.0	10.0	8.0	0.0	53.0
fut_VER:simp_être	3.0	7.0	3.0	4.0	6.0	2.0	3.0	7.0	5.0	10.0	2.0	52.0
mer_NOM_mer	14.0	4.0	3.0	5.0	2.0	5.0	8.0	1.0	2.0	4.0	4.0	52.0
jamais_ADV_jamais	6.0	2.0	7.0	1.0	12.0	4.0	2.0	2.0	10.0	5.0	1.0	52.0
voix_NOM_voix	3.0	3.0	3.0	4.0	6.0	7.0	6.0	6.0	7.0	6.0	0.0	51.0
toute_PRO:IND_tout	7.0	3.0	1.0	5.0	11.0	2.0	4.0	6.0	8.0	0.0	4.0	51.0
devant_PRP_devant	2.0	5.0	5.0	1.0	4.0	5.0	8.0	10.0	6.0	4.0	1.0	51.0
ça_PRO:DEM_cela	2.0	1.0	5.0	10.0	0.0	11.0	2.0	8.0	5.0	5.0	1.0	50.0
l’autre_NOM_l’autre	5.0	4.0	2.0	1.0	9.0	6.0	10.0	4.0	4.0	2.0	3.0	50.0
faire_VER:infi_faire	4.0	4.0	10.0	5.0	4.0	3.0	8.0	3.0	5.0	4.0	0.0	50.0
ils_PRO:PER_il	9.0	3.0	4.0	6.0	5.0	3.0	9.0	3.0	5.0	1.0	2.0	50.0
homme_NOM_homme	2.0	5.0	4.0	1.0	16.0	4.0	0.0	3.0	7.0	6.0	0.0	48.0
temps_NOM_temps	7.0	3.0	12.0	3.0	3.0	5.0	2.0	2.0	5.0	3.0	2.0	47.0
coup_NOM_coup	5.0	2.0	6.0	5.0	3.0	8.0	5.0	7.0	2.0	2.0	2.0	47.0
répondit_VER:simp_répondre	5.0	2.0	2.0	4.0	2.0	8.0	5.0	3.0	6.0	6.0	3.0	46.0
cela_PRO:DEM_cela	5.0	9.0	5.0	5.0	7.0	3.0	3.0	1.0	4.0	2.0	1.0	45.0
La_DET:ART_le	3.0	3.0	4.0	2.0	3.0	3.0	11.0	5.0	2.0	4.0	5.0	45.0
toutes_PRO:IND_tout	5.0	3.0	3.0	5.0	8.0	5.0	4.0	5.0	4.0	2.0	1.0	45.0
qu’il_ADJ_qu’il	1.0	2.0	4.0	5.0	6.0	3.0	5.0	6.0	6.0	4.0	2.0	44.0
toi_PRO:PER_toi	3.0	4.0	4.0	5.0	0.0	3.0	1.0	15.0	8.0	1.0	0.0	44.0
dire_VER:infi_dire	2.0	6.0	4.0	4.0	2.0	4.0	4.0	6.0	3.0	7.0	2.0	44.0
d’une_NOM_d’une	4.0	3.0	3.0	3.0	4.0	6.0	7.0	5.0	2.0	6.0	1.0	44.0
j’ai_VER:simp_j’ai	1.0	4.0	4.0	5.0	0.0	1.0	4.0	3.0	15.0	4.0	2.0	43.0
dont_PRO:REL_dont	4.0	4.0	8.0	8.0	4.0	5.0	3.0	5.0	2.0	0.0	0.0	43.0
docteur_NOM_docteur	5.0	4.0	7.0	6.0	5.0	5.0	2.0	0.0	1.0	6.0	1.0	42.0
chose_NOM_chose	3.0	4.0	10.0	5.0	5.0	4.0	3.0	2.0	4.0	2.0	0.0	42.0
après_PRP_après	4.0	8.0	5.0	2.0	3.0	1.0	3.0	1.0	12.0	2.0	1.0	42.0
semblait_VER:impf_sembler	10.0	3.0	5.0	3.0	1.0	5.0	4.0	3.0	0.0	3.0	5.0	42.0
oui_INT_oui	3.0	3.0	4.0	4.0	4.0	8.0	2.0	3.0	6.0	3.0	1.0	41.0
voir_VER:infi_voir	4.0	5.0	3.0	1.0	3.0	5.0	6.0	2.0	3.0	6.0	3.0	41.0
dit_VER:pres_dire	2.0	1.0	2.0	4.0	0.0	7.0	6.0	6.0	5.0	5.0	3.0	41.0
demanda_VER:simp_demander	3.0	6.0	6.0	6.0	0.0	3.0	0.0	3.0	6.0	6.0	2.0	41.0
fois_NOM_foi|fois	5.0	5.0	3.0	4.0	5.0	4.0	2.0	3.0	5.0	4.0	1.0	41.0
main_NOM_main	1.0	3.0	4.0	1.0	6.0	5.0	9.0	1.0	3.0	4.0	3.0	40.0
jour_NOM_jour	5.0	0.0	3.0	1.0	8.0	4.0	5.0	5.0	1.0	8.0	0.0	40.0
n’est_NOM_n’est	0.0	3.0	5.0	4.0	0.0	9.0	1.0	7.0	7.0	3.0	0.0	39.0
s’était_VER:impf_s’était	4.0	4.0	1.0	0.0	6.0	4.0	2.0	7.0	4.0	7.0	0.0	39.0
bras_NOM_bras	7.0	3.0	3.0	1.0	2.0	4.0	4.0	5.0	5.0	3.0	2.0	39.0
-là_ADV_là	2.0	1.0	4.0	4.0	4.0	9.0	4.0	4.0	2.0	4.0	1.0	39.0
pouvait_VER:impf_pouvoir	1.0	6.0	4.0	5.0	9.0	2.0	3.0	1.0	5.0	2.0	1.0	39.0
été_VER:pper_être	2.0	5.0	5.0	4.0	3.0	3.0	1.0	4.0	11.0	1.0	0.0	39.0
monde_NOM_monde	3.0	4.0	3.0	4.0	4.0	4.0	1.0	7.0	2.0	5.0	2.0	39.0
maintenant_ADV_maintenant	1.0	2.0	4.0	2.0	4.0	5.0	8.0	6.0	4.0	1.0	2.0	39.0
eut_VER:simp_avoir	2.0	4.0	3.0	4.0	2.0	4.0	3.0	3.0	2.0	10.0	1.0	38.0
Et_NOM_Et	1.0	3.0	2.0	1.0	4.0	5.0	2.0	5.0	7.0	5.0	3.0	38.0
y_PRO:PER_y	3.0	2.0	2.0	5.0	2.0	3.0	6.0	4.0	4.0	6.0	1.0	38.0
aussi_ADV_aussi	8.0	5.0	4.0	1.0	2.0	3.0	3.0	3.0	4.0	3.0	2.0	38.0
suis_VER:pres_suivre|être	2.0	6.0	3.0	3.0	1.0	2.0	2.0	8.0	6.0	3.0	1.0	37.0
fortune_NOM_fortune	1.0	7.0	8.0	6.0	6.0	0.0	2.0	4.0	2.0	1.0	0.0	37.0
cet_PRO:DEM_ce	3.0	6.0	3.0	3.0	11.0	2.0	2.0	0.0	5.0	1.0	1.0	37.0
qu’on_NOM_qu’on	0.0	4.0	2.0	3.0	3.0	6.0	5.0	4.0	3.0	6.0	1.0	37.0
quelques_PRO:IND_quelque	4.0	4.0	6.0	4.0	2.0	5.0	0.0	3.0	4.0	3.0	1.0	36.0
leva_VER:simp_lever	2.0	5.0	3.0	6.0	4.0	4.0	2.0	1.0	3.0	4.0	1.0	35.0
leurs_DET:POS_leur	10.0	2.0	1.0	4.0	1.0	5.0	7.0	0.0	1.0	4.0	0.0	35.0
Quand_KON_quand	5.0	1.0	4.0	4.0	3.0	3.0	4.0	0.0	3.0	7.0	0.0	34.0
heures_NOM_heure	5.0	3.0	6.0	2.0	2.0	2.0	5.0	2.0	4.0	3.0	0.0	34.0
sous_PRP_sous	4.0	2.0	2.0	4.0	2.0	2.0	9.0	0.0	2.0	7.0	0.0	34.0
jeune_ADJ_jeune	5.0	3.0	3.0	0.0	6.0	2.0	6.0	1.0	3.0	5.0	0.0	34.0
qu’elle_NOM_qu’elle	1.0	2.0	2.0	3.0	2.0	2.0	6.0	6.0	3.0	4.0	3.0	34.0
vie_NOM_vie	2.0	1.0	5.0	3.0	5.0	1.0	1.0	2.0	7.0	6.0	1.0	34.0
sais_VER:pres_savoir	2.0	2.0	2.0	1.0	1.0	4.0	2.0	11.0	5.0	2.0	2.0	34.0
beaucoup_ADV_beaucoup	2.0	8.0	3.0	5.0	1.0	3.0	3.0	3.0	2.0	2.0	1.0	33.0
petit_ADJ_petit	4.0	6.0	1.0	0.0	4.0	5.0	4.0	2.0	1.0	5.0	1.0	33.0
mains_NOM_main	1.0	7.0	1.0	4.0	2.0	1.0	4.0	6.0	1.0	3.0	3.0	33.0
tête_NOM_tête	3.0	3.0	3.0	3.0	1.0	3.0	8.0	5.0	2.0	1.0	1.0	33.0
même_ADV_même	2.0	3.0	4.0	3.0	6.0	3.0	1.0	4.0	3.0	2.0	2.0	33.0
non_ADV_non	4.0	4.0	3.0	1.0	2.0	5.0	4.0	3.0	5.0	2.0	0.0	33.0
On_PRO:PER_on	1.0	4.0	2.0	0.0	0.0	2.0	6.0	4.0	5.0	8.0	0.0	32.0
trois_NUM_trois	5.0	3.0	5.0	6.0	3.0	2.0	4.0	2.0	0.0	2.0	0.0	32.0
ni_KON_ni	2.0	4.0	8.0	0.0	3.0	0.0	4.0	7.0	4.0	0.0	0.0	32.0
Alors_ADV_alors	1.0	2.0	4.0	1.0	7.0	3.0	1.0	4.0	5.0	3.0	1.0	32.0
reprit_VER:simp_reprendre	2.0	6.0	1.0	4.0	0.0	4.0	2.0	4.0	5.0	4.0	0.0	32.0
Tu_PRO:PER_tu	0.0	2.0	4.0	2.0	0.0	4.0	0.0	14.0	5.0	1.0	0.0	32.0
maison_NOM_maison	3.0	1.0	4.0	1.0	5.0	2.0	3.0	1.0	7.0	4.0	0.0	31.0
trop_ADV_trop	1.0	5.0	2.0	4.0	2.0	7.0	1.0	4.0	3.0	1.0	1.0	31.0
porte_NOM_porte	1.0	1.0	1.0	0.0	3.0	3.0	2.0	10.0	5.0	3.0	2.0	31.0
Oui_INT_oui	2.0	1.0	1.0	0.0	0.0	3.0	3.0	8.0	8.0	3.0	2.0	31.0
Les_DET:ART_le	7.0	1.0	4.0	1.0	2.0	3.0	2.0	0.0	2.0	9.0	0.0	31.0
pensée_NOM_pensée	0.0	3.0	2.0	7.0	5.0	6.0	1.0	2.0	3.0	2.0	0.0	31.0
depuis_PRP_depuis	3.0	2.0	2.0	0.0	3.0	5.0	3.0	6.0	5.0	2.0	0.0	31.0
femmes_NOM_femme	8.0	1.0	2.0	4.0	1.0	7.0	3.0	0.0	0.0	4.0	1.0	31.0
l’eau_NOM_l’eau	5.0	4.0	0.0	2.0	1.0	1.0	9.0	3.0	1.0	3.0	1.0	30.0
Puis_ADV_puis	1.0	3.0	3.0	1.0	5.0	3.0	4.0	6.0	1.0	2.0	1.0	30.0
maman_NOM_maman	0.0	1.0	0.0	0.0	0.0	1.0	2.0	13.0	10.0	2.0	1.0	30.0
rien_NOM_rien	2.0	3.0	1.0	2.0	4.0	5.0	0.0	1.0	5.0	6.0	1.0	30.0
presque_ADV_presque	3.0	3.0	2.0	1.0	2.0	3.0	4.0	5.0	3.0	3.0	1.0	30.0
n’avait_VER:impf_n’avait	1.0	4.0	3.0	2.0	6.0	5.0	0.0	4.0	2.0	3.0	0.0	30.0
Non_ADV_non	4.0	4.0	3.0	1.0	3.0	5.0	2.0	4.0	2.0	2.0	0.0	30.0
l’avait_VER:impf_l’avait	3.0	1.0	1.0	1.0	5.0	11.0	2.0	1.0	3.0	2.0	0.0	30.0
Maréchal_NAM_Maréchal	0.0	6.0	1.0	5.0	11.0	5.0	0.0	0.0	1.0	0.0	0.0	29.0
quelque_PRO:IND_quelque	2.0	4.0	6.0	4.0	1.0	3.0	3.0	1.0	4.0	1.0	0.0	29.0
faut_VER:pres_falloir	0.0	3.0	2.0	1.0	2.0	3.0	2.0	6.0	7.0	3.0	0.0	29.0
longtemps_ADV_longtemps	1.0	3.0	1.0	1.0	1.0	5.0	1.0	3.0	8.0	4.0	1.0	29.0
grande_ADJ_grand	3.0	1.0	3.0	2.0	2.0	2.0	2.0	3.0	3.0	6.0	2.0	29.0
jours_NOM_jour	2.0	1.0	3.0	2.0	5.0	4.0	2.0	3.0	1.0	4.0	2.0	29.0
petite_ADJ_petit	5.0	4.0	3.0	4.0	1.0	5.0	2.0	1.0	0.0	3.0	1.0	29.0
regardait_VER:impf_regarder	4.0	0.0	2.0	8.0	1.0	5.0	5.0	2.0	0.0	1.0	1.0	29.0
contre_PRP_contre	2.0	1.0	2.0	2.0	4.0	2.0	3.0	3.0	5.0	4.0	1.0	29.0
-tu_PRO:PER_tu	4.0	0.0	2.0	0.0	0.0	5.0	2.0	7.0	6.0	1.0	1.0	28.0
Beausire_NAM_Beausire	1.0	0.0	4.0	7.0	0.0	0.0	5.0	2.0	0.0	2.0	7.0	28.0
moins_ADV_moins	3.0	1.0	1.0	2.0	5.0	5.0	5.0	0.0	5.0	1.0	0.0	28.0
bon_ADJ_bon	2.0	2.0	11.0	2.0	1.0	1.0	1.0	0.0	4.0	2.0	1.0	27.0
as_VER:pres_avoir	1.0	0.0	0.0	4.0	0.0	8.0	4.0	8.0	0.0	0.0	2.0	27.0
sentait_VER:impf_sentir	0.0	2.0	4.0	4.0	3.0	1.0	4.0	2.0	1.0	6.0	0.0	27.0
chez_PRP_chez	2.0	5.0	5.0	2.0	0.0	2.0	2.0	1.0	3.0	4.0	1.0	27.0
murmura_VER:simp_murmurer	5.0	3.0	1.0	2.0	1.0	1.0	5.0	2.0	5.0	2.0	0.0	27.0
être_VER:infi_être	4.0	2.0	4.0	1.0	3.0	1.0	2.0	3.0	3.0	3.0	1.0	27.0
C’est_NAM_C’est	0.0	4.0	1.0	5.0	0.0	5.0	1.0	1.0	4.0	5.0	1.0	27.0
allait_VER:impf_aller	1.0	4.0	1.0	6.0	2.0	3.0	2.0	1.0	1.0	4.0	2.0	27.0
-vous_PRO:PER_vous	5.0	4.0	3.0	3.0	1.0	0.0	6.0	0.0	0.0	4.0	1.0	27.0
ma_DET:POS_mon	2.0	3.0	0.0	2.0	3.0	3.0	2.0	6.0	5.0	1.0	0.0	27.0
nouveau_ADJ_nouveau	1.0	4.0	6.0	2.0	5.0	3.0	0.0	2.0	2.0	0.0	1.0	26.0
grand_ADJ_grand	2.0	7.0	2.0	1.0	1.0	1.0	5.0	3.0	1.0	3.0	0.0	26.0
fait_VER:pper_faire	5.0	1.0	3.0	3.0	1.0	2.0	2.0	4.0	2.0	3.0	0.0	26.0
prendre_VER:infi_prendre	1.0	3.0	2.0	2.0	1.0	1.0	8.0	2.0	2.0	1.0	3.0	26.0
déjà_ADV_déjà	1.0	3.0	4.0	5.0	0.0	5.0	1.0	0.0	2.0	4.0	1.0	26.0
disait_VER:impf_dire	6.0	1.0	2.0	5.0	2.0	3.0	1.0	2.0	2.0	0.0	2.0	26.0
faisait_VER:impf_faire	5.0	2.0	4.0	2.0	4.0	1.0	2.0	3.0	1.0	2.0	0.0	26.0
soir_NOM_soir	3.0	2.0	4.0	1.0	0.0	7.0	1.0	4.0	1.0	3.0	0.0	26.0
bonne_ADJ_bon	2.0	3.0	6.0	6.0	0.0	3.0	0.0	2.0	1.0	2.0	0.0	25.0
