	Malot_ClotildeMartory_0	Malot_ClotildeMartory_1	Malot_ClotildeMartory_2	Malot_ClotildeMartory_3	Malot_ClotildeMartory_4	Malot_ClotildeMartory_5	Malot_ClotildeMartory_6	Malot_ClotildeMartory_7	Malot_ClotildeMartory_8	Malot_ClotildeMartory_9	Malot_ClotildeMartory_10	Malot_ClotildeMartory_11	Malot_ClotildeMartory_sum
on_PRO:PER_on	17.0	25.0	35.0	4.0	10.0	10.0	21.0	24.0	17.0	20.0	33.0	6.0	222.0
plus_ADV_plus	20.0	19.0	22.0	17.0	17.0	16.0	32.0	16.0	21.0	20.0	15.0	5.0	220.0
qu'_KON_que	15.0	16.0	17.0	9.0	13.0	19.0	21.0	17.0	34.0	24.0	26.0	9.0	220.0
cette_PRO:DEM_ce	18.0	15.0	9.0	18.0	20.0	12.0	23.0	24.0	29.0	16.0	20.0	5.0	209.0
ma_DET:POS_mon	20.0	14.0	16.0	26.0	7.0	7.0	18.0	13.0	22.0	22.0	36.0	4.0	205.0
s'_PRO:PER_se	20.0	9.0	20.0	9.0	15.0	15.0	17.0	25.0	24.0	17.0	18.0	3.0	192.0
par_PRP_par	19.0	21.0	26.0	10.0	8.0	26.0	10.0	19.0	13.0	15.0	18.0	5.0	190.0
avait_VER:impf_avoir	15.0	13.0	5.0	12.0	16.0	13.0	7.0	37.0	16.0	17.0	36.0	3.0	190.0
c'_PRO:DEM_ce	23.0	16.0	22.0	13.0	11.0	14.0	21.0	6.0	15.0	28.0	15.0	5.0	189.0
mais_KON_mais	24.0	18.0	17.0	18.0	19.0	16.0	14.0	16.0	11.0	9.0	16.0	2.0	180.0
qu'_PRO:REL_que	12.0	14.0	23.0	12.0	13.0	16.0	21.0	14.0	13.0	22.0	13.0	5.0	178.0
son_DET:POS_son	13.0	18.0	12.0	23.0	23.0	12.0	16.0	22.0	18.0	11.0	7.0	0.0	175.0
du_PRP:det_du	16.0	15.0	12.0	9.0	16.0	12.0	12.0	22.0	17.0	22.0	14.0	8.0	175.0
:_PUN_:	16.0	20.0	14.0	21.0	22.0	12.0	9.0	13.0	15.0	11.0	13.0	8.0	174.0
Clotilde_NAM_Clotilde	17.0	7.0	14.0	27.0	22.0	9.0	18.0	13.0	16.0	13.0	11.0	3.0	170.0
moi_PRO:PER_moi	13.0	12.0	19.0	19.0	24.0	13.0	12.0	9.0	17.0	12.0	17.0	2.0	169.0
ai_VER:pres_avoir	12.0	16.0	26.0	15.0	8.0	15.0	20.0	9.0	16.0	18.0	10.0	2.0	167.0
bien_ADV_bien	7.0	19.0	13.0	10.0	16.0	20.0	13.0	16.0	16.0	22.0	7.0	3.0	162.0
sur_PRP_sur	11.0	10.0	14.0	20.0	16.0	18.0	25.0	12.0	7.0	9.0	12.0	7.0	161.0
avais_VER:impf_avoir	14.0	14.0	13.0	29.0	11.0	4.0	3.0	17.0	20.0	9.0	17.0	0.0	151.0
l'_PRO:PER_la|le	10.0	12.0	16.0	22.0	11.0	11.0	15.0	12.0	21.0	14.0	4.0	1.0	149.0
Solignac_NAM_Solignac	10.0	6.0	6.0	7.0	21.0	25.0	9.0	31.0	29.0	4.0	0.0	0.0	148.0
lui_PRO:PER_lui	13.0	11.0	8.0	9.0	15.0	19.0	7.0	24.0	13.0	14.0	11.0	1.0	145.0
sa_DET:POS_son	17.0	10.0	12.0	19.0	12.0	11.0	25.0	13.0	9.0	7.0	7.0	1.0	143.0
en_PRO:PER_en	11.0	7.0	20.0	11.0	16.0	23.0	6.0	13.0	10.0	11.0	10.0	3.0	141.0
ou_KON_ou	11.0	15.0	13.0	9.0	13.0	14.0	15.0	13.0	13.0	12.0	7.0	1.0	136.0
y_PRO:PER_y	11.0	14.0	8.0	9.0	14.0	14.0	13.0	10.0	10.0	15.0	14.0	3.0	135.0
avec_PRP_avec	15.0	9.0	12.0	7.0	20.0	14.0	9.0	11.0	7.0	9.0	9.0	4.0	126.0
mes_DET:POS_mon	13.0	18.0	14.0	17.0	7.0	2.0	12.0	12.0	7.0	8.0	15.0	0.0	125.0
le_PRO:PER_le	12.0	13.0	12.0	11.0	11.0	15.0	6.0	13.0	12.0	13.0	4.0	1.0	123.0
si_KON_si	8.0	8.0	12.0	10.0	11.0	7.0	15.0	10.0	13.0	16.0	7.0	3.0	120.0
faire_VER:infi_faire	8.0	18.0	7.0	7.0	4.0	13.0	14.0	10.0	10.0	17.0	8.0	2.0	118.0
été_VER:pper_être	12.0	6.0	12.0	13.0	8.0	5.0	7.0	15.0	11.0	7.0	20.0	1.0	117.0
être_VER:infi_être	9.0	12.0	6.0	11.0	9.0	10.0	9.0	4.0	9.0	15.0	10.0	4.0	108.0
!_SENT_!	13.0	7.0	6.0	15.0	11.0	7.0	6.0	11.0	8.0	7.0	11.0	0.0	102.0
où_PRO:REL_où	6.0	9.0	7.0	8.0	9.0	4.0	7.0	14.0	11.0	12.0	13.0	2.0	102.0
la_PRO:PER_la	6.0	7.0	6.0	13.0	7.0	1.0	13.0	6.0	11.0	11.0	18.0	0.0	99.0
suis_VER:pres_suivre|être	4.0	6.0	11.0	19.0	10.0	12.0	13.0	4.0	7.0	5.0	7.0	1.0	99.0
étais_VER:impf_être	8.0	6.0	5.0	10.0	12.0	5.0	4.0	16.0	12.0	8.0	11.0	0.0	97.0
J'_PRO:PER_je	7.0	10.0	7.0	10.0	12.0	6.0	4.0	11.0	11.0	7.0	9.0	2.0	96.0
Mais_KON_mais	11.0	7.0	7.0	13.0	9.0	6.0	8.0	5.0	6.0	9.0	11.0	3.0	95.0
comme_KON_comme	1.0	15.0	13.0	11.0	9.0	9.0	8.0	7.0	4.0	7.0	7.0	3.0	94.0
sans_PRP_sans	8.0	17.0	5.0	7.0	8.0	8.0	7.0	9.0	4.0	4.0	13.0	2.0	92.0
ses_DET:POS_son	10.0	9.0	7.0	8.0	10.0	7.0	9.0	11.0	7.0	0.0	7.0	1.0	86.0
femme_NOM_femme	10.0	1.0	6.0	17.0	10.0	4.0	11.0	2.0	10.0	11.0	3.0	0.0	85.0
chez_PRP_chez	1.0	2.0	14.0	15.0	8.0	6.0	11.0	10.0	4.0	5.0	7.0	1.0	84.0
votre_DET:POS_votre	19.0	1.0	3.0	7.0	6.0	21.0	8.0	3.0	6.0	8.0	2.0	0.0	84.0
C'_PRO:DEM_ce	8.0	4.0	12.0	17.0	8.0	7.0	9.0	4.0	5.0	3.0	5.0	0.0	82.0
ces_PRO:DEM_ce	7.0	9.0	7.0	7.0	8.0	12.0	7.0	7.0	4.0	5.0	4.0	3.0	80.0
notre_DET:POS_notre	14.0	4.0	6.0	7.0	5.0	7.0	8.0	2.0	4.0	15.0	6.0	0.0	78.0
Vous_PRO:PER_vous	7.0	3.0	2.0	8.0	7.0	15.0	8.0	7.0	6.0	13.0	1.0	0.0	77.0
Il_PRO:PER_il	3.0	4.0	7.0	3.0	8.0	9.0	2.0	11.0	15.0	8.0	7.0	0.0	77.0
cela_PRO:DEM_cela	3.0	4.0	13.0	3.0	3.0	16.0	8.0	4.0	9.0	7.0	4.0	1.0	75.0
M_NOM_M	4.0	5.0	5.0	2.0	8.0	9.0	3.0	14.0	21.0	2.0	2.0	0.0	75.0
car_KON_car	12.0	8.0	11.0	2.0	3.0	5.0	7.0	7.0	5.0	4.0	4.0	1.0	69.0
tout_ADV_tout	4.0	9.0	7.0	4.0	7.0	7.0	8.0	3.0	9.0	3.0	8.0	0.0	69.0
vie_NOM_vie	2.0	6.0	5.0	10.0	5.0	7.0	8.0	8.0	6.0	4.0	5.0	2.0	68.0
heures_NOM_heure	8.0	3.0	9.0	5.0	7.0	0.0	11.0	5.0	10.0	2.0	6.0	1.0	67.0
Elle_PRO:PER_elle	5.0	2.0	6.0	9.0	7.0	2.0	5.0	4.0	5.0	3.0	19.0	0.0	67.0
main_NOM_main	10.0	7.0	2.0	12.0	9.0	1.0	8.0	6.0	3.0	2.0	6.0	0.0	66.0
Et_KON_et	7.0	7.0	5.0	5.0	5.0	7.0	5.0	6.0	10.0	6.0	2.0	1.0	66.0
amour_NOM_amour	8.0	2.0	5.0	21.0	5.0	5.0	10.0	1.0	3.0	6.0	0.0	0.0	66.0
ils_PRO:PER_il	5.0	18.0	10.0	1.0	2.0	10.0	4.0	2.0	2.0	2.0	9.0	0.0	65.0
deux_NUM_deux	8.0	9.0	9.0	5.0	10.0	2.0	6.0	2.0	2.0	3.0	9.0	0.0	65.0
point_ADV_point	7.0	7.0	4.0	8.0	4.0	6.0	7.0	4.0	6.0	2.0	8.0	0.0	63.0
-vous_PRO:PER_vous	5.0	3.0	7.0	10.0	7.0	9.0	4.0	8.0	3.0	6.0	1.0	0.0	63.0
là_ADV_là	3.0	8.0	5.0	3.0	6.0	7.0	7.0	1.0	6.0	6.0	6.0	3.0	61.0
Si_KON_si	4.0	6.0	4.0	7.0	8.0	2.0	10.0	4.0	9.0	7.0	0.0	0.0	61.0
dire_VER:infi_dire	7.0	7.0	3.0	1.0	2.0	11.0	8.0	4.0	9.0	6.0	2.0	1.0	61.0
quand_KON_quand	4.0	5.0	9.0	2.0	5.0	5.0	12.0	4.0	3.0	5.0	6.0	0.0	60.0
voir_VER:infi_voir	2.0	5.0	8.0	10.0	7.0	3.0	5.0	5.0	6.0	3.0	4.0	2.0	60.0
autre_ADJ_autre	6.0	4.0	6.0	4.0	12.0	6.0	7.0	4.0	2.0	5.0	4.0	0.0	60.0
temps_NOM_temps	5.0	9.0	3.0	1.0	5.0	3.0	3.0	3.0	11.0	6.0	8.0	2.0	59.0
les_PRO:PER_la|le	3.0	13.0	4.0	3.0	5.0	4.0	11.0	10.0	2.0	2.0	2.0	0.0	59.0
avoir_VER:infi_avoir	7.0	5.0	4.0	4.0	10.0	8.0	3.0	5.0	4.0	6.0	3.0	0.0	59.0
aux_PRP:det_au	1.0	6.0	2.0	0.0	3.0	7.0	9.0	7.0	6.0	7.0	5.0	5.0	58.0
Ce_PRO:DEM_ce	3.0	6.0	5.0	4.0	2.0	4.0	7.0	6.0	6.0	5.0	8.0	1.0	57.0
si_ADV_si	2.0	0.0	4.0	9.0	5.0	4.0	7.0	2.0	13.0	7.0	1.0	3.0	57.0
donc_ADV_donc	5.0	5.0	3.0	7.0	8.0	3.0	2.0	5.0	8.0	6.0	4.0	0.0	56.0
Le_DET:ART_le	8.0	7.0	4.0	2.0	5.0	4.0	6.0	5.0	5.0	5.0	2.0	3.0	56.0
moment_NOM_moment	4.0	7.0	2.0	4.0	7.0	2.0	4.0	1.0	11.0	6.0	5.0	3.0	56.0
»_PUN:cit_»	6.0	7.0	3.0	4.0	8.0	9.0	3.0	3.0	5.0	4.0	2.0	1.0	55.0
«_PUN:cit_«	6.0	7.0	3.0	4.0	8.0	9.0	3.0	3.0	5.0	4.0	2.0	1.0	55.0
étaient_VER:impf_être	6.0	7.0	0.0	3.0	6.0	2.0	3.0	13.0	4.0	1.0	8.0	1.0	54.0
monde_NOM_monde	4.0	2.0	6.0	1.0	5.0	8.0	5.0	8.0	9.0	5.0	0.0	1.0	54.0
fait_VER:pper_faire	5.0	3.0	10.0	4.0	2.0	5.0	4.0	8.0	4.0	4.0	4.0	0.0	53.0
rien_ADV_rien	4.0	5.0	2.0	3.0	4.0	8.0	5.0	5.0	5.0	6.0	6.0	0.0	53.0
pour_KON_pour	3.0	3.0	3.0	4.0	3.0	6.0	4.0	2.0	9.0	7.0	5.0	3.0	52.0
avez_VER:pres_avoir	11.0	2.0	4.0	9.0	4.0	12.0	2.0	2.0	0.0	5.0	1.0	0.0	52.0
mot_NOM_mot	6.0	0.0	5.0	10.0	2.0	3.0	5.0	4.0	7.0	5.0	4.0	0.0	51.0
fut_VER:simp_être	8.0	3.0	2.0	3.0	1.0	3.0	3.0	5.0	8.0	3.0	6.0	5.0	50.0
dit-elle_NOM_dit-elle	10.0	0.0	2.0	9.0	8.0	0.0	4.0	6.0	4.0	3.0	4.0	0.0	50.0
maintenant_ADV_maintenant	3.0	9.0	9.0	6.0	2.0	3.0	1.0	4.0	5.0	6.0	2.0	0.0	50.0
sont_VER:pres_être	2.0	6.0	9.0	5.0	3.0	6.0	8.0	1.0	1.0	8.0	0.0	1.0	50.0
comme_ADV_comme	6.0	4.0	5.0	6.0	3.0	4.0	3.0	6.0	2.0	6.0	3.0	1.0	49.0
toujours_ADV_toujours	7.0	4.0	10.0	6.0	1.0	6.0	4.0	3.0	3.0	3.0	1.0	1.0	49.0
Paris_NAM_Paris	1.0	12.0	7.0	4.0	2.0	1.0	6.0	4.0	5.0	2.0	2.0	2.0	48.0
yeux_NOM_œil	6.0	2.0	4.0	10.0	4.0	4.0	7.0	5.0	2.0	1.0	3.0	0.0	48.0
tu_PRO:PER_tu	0.0	23.0	4.0	0.0	0.0	0.0	1.0	2.0	8.0	4.0	5.0	0.0	47.0
êtes_VER:pres_être	5.0	0.0	6.0	7.0	5.0	13.0	2.0	4.0	2.0	3.0	0.0	0.0	47.0
eu_VER:pper_avoir	1.0	1.0	2.0	6.0	7.0	9.0	2.0	8.0	3.0	5.0	2.0	0.0	46.0
veux_VER:pres_vouloir	2.0	1.0	14.0	5.0	1.0	6.0	6.0	0.0	2.0	7.0	2.0	0.0	46.0
homme_NOM_homme	5.0	4.0	6.0	5.0	3.0	6.0	2.0	1.0	5.0	5.0	3.0	1.0	46.0
moins_ADV_moins	2.0	5.0	5.0	4.0	2.0	9.0	7.0	6.0	3.0	2.0	1.0	0.0	46.0
pendant_PRP_pendant	4.0	6.0	3.0	3.0	1.0	5.0	8.0	4.0	1.0	2.0	5.0	3.0	45.0
faut_VER:pres_falloir	7.0	7.0	3.0	4.0	3.0	1.0	5.0	3.0	3.0	7.0	2.0	0.0	45.0
fois_NOM_foi|fois	2.0	4.0	3.0	5.0	4.0	1.0	11.0	7.0	5.0	1.0	2.0	0.0	45.0
ont_VER:pres_avoir	3.0	3.0	10.0	3.0	1.0	10.0	6.0	2.0	4.0	3.0	0.0	0.0	45.0
trop_ADV_trop	6.0	3.0	6.0	2.0	0.0	8.0	3.0	1.0	7.0	6.0	2.0	1.0	45.0
-je_PRO:PER_je	5.0	6.0	2.0	10.0	1.0	2.0	2.0	7.0	8.0	0.0	1.0	0.0	44.0
jour_NOM_jour	3.0	3.0	4.0	7.0	3.0	5.0	6.0	2.0	3.0	6.0	0.0	1.0	43.0
même_ADJ_même	2.0	4.0	0.0	5.0	9.0	5.0	2.0	2.0	3.0	3.0	3.0	5.0	43.0
aller_VER:infi_aller	2.0	3.0	3.0	7.0	1.0	4.0	4.0	3.0	7.0	4.0	4.0	1.0	43.0
nos_DET:POS_notre	8.0	3.0	6.0	3.0	1.0	2.0	4.0	0.0	2.0	2.0	12.0	0.0	43.0
Nous_PRO:PER_nous	2.0	5.0	5.0	2.0	8.0	3.0	6.0	2.0	3.0	2.0	4.0	1.0	43.0
autres_ADJ_autre	2.0	1.0	8.0	4.0	6.0	5.0	1.0	6.0	2.0	6.0	2.0	0.0	43.0
ainsi_ADV_ainsi	0.0	5.0	4.0	7.0	2.0	2.0	8.0	1.0	5.0	4.0	4.0	0.0	42.0
serait_VER:cond_être	3.0	4.0	2.0	2.0	2.0	6.0	3.0	1.0	11.0	5.0	3.0	0.0	42.0
aurais_VER:cond_avoir	3.0	4.0	4.0	12.0	3.0	3.0	4.0	1.0	2.0	3.0	2.0	1.0	42.0
jamais_ADV_jamais	7.0	1.0	6.0	6.0	4.0	0.0	3.0	5.0	5.0	2.0	3.0	0.0	42.0
fille_NOM_fille	11.0	2.0	1.0	5.0	1.0	0.0	2.0	0.0	0.0	9.0	11.0	0.0	42.0
tout_PRO:IND_tout	3.0	4.0	4.0	0.0	2.0	6.0	6.0	6.0	2.0	5.0	2.0	0.0	40.0
La_DET:ART_le	2.0	1.0	5.0	1.0	3.0	5.0	1.0	7.0	8.0	3.0	4.0	0.0	40.0
dit_VER:pres_dire	8.0	2.0	2.0	0.0	10.0	3.0	2.0	1.0	7.0	4.0	1.0	0.0	40.0
mariage_NOM_mariage	4.0	5.0	1.0	7.0	1.0	1.0	0.0	2.0	8.0	7.0	3.0	0.0	39.0
-ce_PRO:DEM_ce	2.0	1.0	1.0	9.0	3.0	8.0	3.0	3.0	7.0	2.0	0.0	0.0	39.0
sera_VER:futu_être	9.0	2.0	4.0	4.0	2.0	1.0	4.0	3.0	6.0	4.0	0.0	0.0	39.0
M_VER:pper_M	6.0	1.0	0.0	0.0	9.0	2.0	3.0	8.0	6.0	3.0	1.0	0.0	39.0
leur_DET:POS_leur	3.0	2.0	5.0	4.0	0.0	7.0	1.0	8.0	1.0	1.0	6.0	1.0	39.0
cœur_NOM_cœur	3.0	2.0	6.0	6.0	6.0	1.0	3.0	4.0	4.0	3.0	1.0	0.0	39.0
aime_VER:pres_aimer	5.0	4.0	8.0	8.0	5.0	1.0	3.0	1.0	0.0	3.0	1.0	0.0	39.0
eût_VER:subi_avoir	1.0	1.0	8.0	4.0	3.0	2.0	1.0	2.0	1.0	7.0	8.0	1.0	39.0
cet_PRO:DEM_ce	6.0	2.0	5.0	3.0	3.0	2.0	1.0	3.0	6.0	3.0	2.0	2.0	38.0
tous_PRO:IND_tout	4.0	4.0	3.0	1.0	4.0	8.0	6.0	1.0	2.0	4.0	0.0	1.0	38.0
encore_ADV_encore	1.0	5.0	5.0	3.0	3.0	1.0	2.0	3.0	7.0	4.0	3.0	0.0	37.0
fortune_NOM_fortune	3.0	2.0	2.0	0.0	1.0	1.0	0.0	3.0	10.0	14.0	1.0	0.0	37.0
après_PRP_après	3.0	3.0	3.0	1.0	7.0	2.0	0.0	5.0	4.0	4.0	2.0	3.0	37.0
jusqu'_PRP_jusque	3.0	3.0	4.0	3.0	4.0	2.0	4.0	0.0	3.0	5.0	6.0	0.0	37.0
prendre_VER:infi_prendre	4.0	2.0	0.0	2.0	3.0	6.0	1.0	2.0	3.0	9.0	3.0	1.0	36.0
dit_VER:pper_dire	2.0	1.0	3.0	3.0	2.0	8.0	2.0	5.0	4.0	4.0	2.0	0.0	36.0
alors_ADV_alors	3.0	6.0	2.0	4.0	1.0	8.0	1.0	2.0	3.0	3.0	2.0	1.0	36.0
pas_NOM_pas	4.0	1.0	2.0	4.0	2.0	7.0	4.0	2.0	5.0	2.0	2.0	0.0	35.0
trois_NUM_trois	3.0	3.0	2.0	2.0	4.0	3.0	6.0	0.0	2.0	4.0	6.0	0.0	35.0
aussi_ADV_aussi	3.0	1.0	4.0	4.0	3.0	2.0	2.0	1.0	3.0	4.0	5.0	3.0	35.0
pu_VER:pper_pouvoir	3.0	2.0	2.0	6.0	1.0	4.0	3.0	1.0	5.0	3.0	5.0	0.0	35.0
heure_NOM_heure	5.0	1.0	7.0	3.0	6.0	2.0	2.0	2.0	3.0	2.0	2.0	0.0	35.0
Poirier_NOM_poirier	0.0	0.0	0.0	0.0	5.0	12.0	0.0	0.0	0.0	9.0	9.0	0.0	35.0
peu_ADV_peu	2.0	1.0	8.0	3.0	1.0	5.0	3.0	1.0	5.0	2.0	4.0	0.0	35.0
sais_VER:pres_savoir	2.0	6.0	3.0	2.0	3.0	3.0	0.0	3.0	0.0	6.0	6.0	0.0	34.0
affaires_NOM_affaire	4.0	3.0	4.0	0.0	3.0	11.0	1.0	2.0	2.0	1.0	3.0	0.0	34.0
avaient_VER:impf_avoir	3.0	3.0	3.0	4.0	2.0	3.0	0.0	3.0	1.0	2.0	7.0	3.0	34.0
depuis_PRP_depuis	4.0	2.0	7.0	0.0	0.0	2.0	2.0	4.0	3.0	4.0	6.0	0.0	34.0
quelques_PRO:IND_quelque	7.0	1.0	6.0	4.0	2.0	1.0	1.0	4.0	0.0	3.0	5.0	0.0	34.0
mort_NOM_mort	1.0	2.0	0.0	0.0	1.0	0.0	0.0	4.0	15.0	1.0	9.0	1.0	34.0
coup_NOM_coup	4.0	3.0	4.0	2.0	2.0	6.0	0.0	5.0	1.0	2.0	3.0	1.0	33.0
sous_PRP_sous	0.0	2.0	3.0	3.0	4.0	2.0	5.0	4.0	3.0	1.0	0.0	6.0	33.0
À_PRP_à	5.0	0.0	4.0	4.0	1.0	1.0	2.0	1.0	3.0	5.0	7.0	0.0	33.0
bras_NOM_bras	2.0	1.0	4.0	5.0	1.0	3.0	5.0	5.0	1.0	0.0	6.0	0.0	33.0
mari_NOM_mari	4.0	0.0	0.0	8.0	4.0	3.0	3.0	2.0	2.0	7.0	0.0	0.0	33.0
devant_PRP_devant	4.0	1.0	5.0	2.0	5.0	0.0	5.0	3.0	3.0	1.0	4.0	0.0	33.0
On_PRO:PER_on	0.0	4.0	4.0	0.0	3.0	2.0	1.0	3.0	4.0	4.0	6.0	2.0	33.0
-même_ADJ_même	1.0	2.0	3.0	3.0	4.0	5.0	2.0	5.0	3.0	3.0	2.0	0.0	33.0
peut_VER:pres_pouvoir	0.0	2.0	2.0	4.0	3.0	1.0	6.0	7.0	4.0	4.0	0.0	0.0	33.0
mois_NOM_moi|mois	1.0	1.0	7.0	1.0	1.0	1.0	7.0	1.0	0.0	7.0	4.0	2.0	33.0
jardin_NOM_jardin	0.0	3.0	8.0	6.0	3.0	2.0	5.0	3.0	2.0	0.0	0.0	0.0	32.0
peux_VER:pres_pouvoir	5.0	6.0	3.0	5.0	1.0	1.0	3.0	2.0	3.0	2.0	1.0	0.0	32.0
guerre_NOM_guerre	0.0	5.0	0.0	1.0	0.0	0.0	0.0	6.0	0.0	8.0	5.0	7.0	32.0
ni_KON_ni	1.0	3.0	8.0	4.0	4.0	0.0	6.0	0.0	0.0	2.0	1.0	3.0	32.0
dont_PRO:REL_dont	1.0	2.0	5.0	3.0	2.0	2.0	2.0	2.0	6.0	2.0	3.0	2.0	32.0
même_ADV_même	2.0	1.0	3.0	2.0	1.0	4.0	6.0	3.0	5.0	1.0	3.0	1.0	32.0
assez_ADV_assez	2.0	6.0	4.0	3.0	0.0	5.0	1.0	1.0	2.0	3.0	4.0	1.0	32.0
Les_DET:ART_le	2.0	3.0	3.0	4.0	7.0	0.0	1.0	5.0	2.0	3.0	2.0	0.0	32.0
puis_ADV_puis	6.0	2.0	1.0	2.0	2.0	0.0	4.0	3.0	4.0	5.0	3.0	0.0	32.0
celle_PRO:DEM_celui	3.0	3.0	2.0	4.0	5.0	0.0	4.0	1.0	2.0	6.0	2.0	0.0	32.0
