	Gaboriau_Lerouge_0	Gaboriau_Lerouge_1	Gaboriau_Lerouge_2	Gaboriau_Lerouge_3	Gaboriau_Lerouge_4	Gaboriau_Lerouge_5	Gaboriau_Lerouge_6	Gaboriau_Lerouge_7	Gaboriau_Lerouge_8	Gaboriau_Lerouge_9	Gaboriau_Lerouge_10	Gaboriau_Lerouge_11	Gaboriau_Lerouge_12	Gaboriau_Lerouge_13	Gaboriau_Lerouge_14	Gaboriau_Lerouge_15	Gaboriau_Lerouge_16	Gaboriau_Lerouge_17	Gaboriau_Lerouge_18	Gaboriau_Lerouge_19	Gaboriau_Lerouge_20	Gaboriau_Lerouge_21	Gaboriau_Lerouge_22	Gaboriau_Lerouge_23	Gaboriau_Lerouge_24	Gaboriau_Lerouge_25	Gaboriau_Lerouge_26	Gaboriau_Lerouge_27	Gaboriau_Lerouge_28	Gaboriau_Lerouge_29	Gaboriau_Lerouge_30	Gaboriau_Lerouge_sum
d'_PRP_de	59.0	57.0	35.0	37.0	26.0	48.0	49.0	55.0	69.0	57.0	62.0	62.0	56.0	52.0	67.0	48.0	55.0	44.0	61.0	49.0	42.0	55.0	69.0	45.0	45.0	66.0	43.0	49.0	46.0	40.0	9.0	1557.0
!_SENT_!	33.0	32.0	51.0	71.0	53.0	43.0	43.0	41.0	42.0	67.0	30.0	33.0	34.0	44.0	19.0	53.0	23.0	37.0	48.0	33.0	68.0	29.0	45.0	39.0	74.0	69.0	28.0	59.0	85.0	56.0	12.0	1394.0
est_VER:pres_être	54.0	55.0	40.0	49.0	51.0	28.0	45.0	52.0	30.0	36.0	53.0	37.0	42.0	58.0	37.0	39.0	30.0	29.0	56.0	44.0	71.0	41.0	37.0	59.0	43.0	44.0	37.0	44.0	45.0	33.0	16.0	1335.0
l'_DET:ART_le	32.0	58.0	45.0	40.0	49.0	46.0	37.0	41.0	39.0	39.0	36.0	42.0	39.0	31.0	44.0	36.0	44.0	42.0	39.0	51.0	47.0	45.0	38.0	37.0	30.0	43.0	37.0	41.0	35.0	61.0	16.0	1260.0
pas_ADV_pas	35.0	27.0	34.0	27.0	28.0	34.0	46.0	38.0	30.0	36.0	35.0	26.0	49.0	56.0	29.0	46.0	28.0	38.0	40.0	30.0	76.0	43.0	40.0	43.0	49.0	32.0	33.0	37.0	44.0	42.0	13.0	1164.0
ne_ADV_ne	32.0	24.0	28.0	30.0	45.0	35.0	37.0	35.0	29.0	41.0	41.0	31.0	47.0	48.0	31.0	46.0	31.0	39.0	39.0	33.0	56.0	37.0	43.0	47.0	60.0	33.0	31.0	39.0	26.0	45.0	17.0	1156.0
que_KON_que	33.0	29.0	46.0	37.0	42.0	34.0	39.0	35.0	20.0	30.0	36.0	34.0	49.0	40.0	32.0	46.0	26.0	41.0	31.0	46.0	37.0	36.0	55.0	46.0	42.0	42.0	61.0	39.0	31.0	33.0	8.0	1156.0
une_DET:ART_un	52.0	39.0	38.0	36.0	25.0	43.0	46.0	48.0	44.0	35.0	35.0	40.0	44.0	30.0	42.0	33.0	46.0	28.0	41.0	37.0	30.0	34.0	46.0	29.0	40.0	35.0	40.0	35.0	36.0	34.0	10.0	1151.0
je_PRO:PER_je	9.0	33.0	48.0	40.0	47.0	61.0	52.0	52.0	27.0	39.0	18.0	26.0	30.0	37.0	28.0	49.0	15.0	24.0	41.0	48.0	48.0	22.0	32.0	64.0	41.0	44.0	60.0	44.0	29.0	27.0	10.0	1145.0
vous_PRO:PER_vous	5.0	19.0	29.0	26.0	23.0	35.0	72.0	10.0	29.0	49.0	16.0	23.0	55.0	68.0	18.0	21.0	29.0	50.0	54.0	47.0	77.0	9.0	48.0	65.0	31.0	33.0	20.0	21.0	19.0	26.0	0.0	1027.0
les_DET:ART_le	51.0	20.0	41.0	21.0	38.0	37.0	32.0	49.0	35.0	24.0	31.0	41.0	38.0	45.0	59.0	22.0	31.0	29.0	37.0	45.0	38.0	32.0	20.0	26.0	21.0	31.0	34.0	33.0	20.0	35.0	5.0	1021.0
qui_PRO:REL_qui	31.0	30.0	25.0	32.0	33.0	25.0	36.0	38.0	31.0	27.0	43.0	35.0	27.0	31.0	49.0	30.0	35.0	33.0	33.0	32.0	33.0	30.0	28.0	27.0	35.0	30.0	46.0	39.0	24.0	26.0	5.0	979.0
Il_PRO:PER_il	21.0	32.0	26.0	28.0	24.0	32.0	21.0	33.0	34.0	41.0	42.0	29.0	32.0	37.0	30.0	22.0	48.0	33.0	39.0	35.0	16.0	40.0	39.0	44.0	42.0	19.0	10.0	35.0	40.0	42.0	7.0	973.0
se_PRO:PER_se	24.0	29.0	20.0	33.0	18.0	18.0	28.0	29.0	28.0	44.0	43.0	25.0	39.0	26.0	25.0	25.0	30.0	33.0	31.0	23.0	15.0	42.0	32.0	31.0	42.0	25.0	31.0	32.0	40.0	49.0	7.0	917.0
?_SENT_?	20.0	39.0	26.0	45.0	34.0	26.0	39.0	20.0	13.0	25.0	44.0	19.0	47.0	29.0	21.0	24.0	20.0	44.0	28.0	22.0	48.0	23.0	28.0	37.0	37.0	32.0	27.0	30.0	28.0	35.0	2.0	912.0
s'_PRO:PER_se	30.0	27.0	21.0	29.0	14.0	19.0	14.0	33.0	27.0	30.0	26.0	34.0	40.0	35.0	34.0	37.0	35.0	21.0	33.0	28.0	18.0	33.0	34.0	22.0	39.0	34.0	19.0	28.0	37.0	37.0	7.0	875.0
son_DET:POS_son	22.0	23.0	20.0	30.0	28.0	21.0	19.0	23.0	40.0	33.0	33.0	39.0	32.0	34.0	28.0	19.0	45.0	33.0	26.0	27.0	21.0	30.0	31.0	27.0	29.0	21.0	23.0	26.0	19.0	33.0	9.0	844.0
n'_ADV_ne	27.0	25.0	35.0	21.0	26.0	11.0	33.0	27.0	27.0	19.0	23.0	23.0	32.0	30.0	22.0	38.0	34.0	25.0	31.0	27.0	41.0	35.0	31.0	27.0	28.0	23.0	23.0	23.0	38.0	21.0	4.0	830.0
était_VER:impf_être	35.0	31.0	23.0	28.0	15.0	23.0	20.0	21.0	35.0	30.0	19.0	30.0	33.0	19.0	27.0	21.0	36.0	30.0	24.0	26.0	15.0	43.0	32.0	23.0	25.0	24.0	42.0	32.0	32.0	33.0	2.0	829.0
lui_PRO:PER_lui	22.0	18.0	23.0	23.0	25.0	34.0	17.0	22.0	31.0	38.0	40.0	24.0	25.0	33.0	22.0	31.0	27.0	24.0	21.0	25.0	24.0	35.0	40.0	33.0	34.0	18.0	16.0	46.0	22.0	27.0	3.0	823.0
des_PRP:det_du	29.0	22.0	27.0	17.0	28.0	38.0	28.0	36.0	33.0	21.0	31.0	36.0	18.0	37.0	35.0	19.0	21.0	28.0	27.0	27.0	25.0	43.0	14.0	18.0	18.0	23.0	18.0	24.0	26.0	13.0	5.0	785.0
en_PRP_en	19.0	27.0	26.0	24.0	24.0	21.0	28.0	28.0	26.0	23.0	21.0	30.0	27.0	18.0	22.0	33.0	30.0	28.0	19.0	30.0	25.0	27.0	29.0	18.0	25.0	27.0	26.0	23.0	38.0	21.0	9.0	772.0
pour_PRP_pour	30.0	20.0	26.0	23.0	27.0	19.0	29.0	21.0	27.0	25.0	20.0	12.0	21.0	35.0	16.0	20.0	20.0	30.0	18.0	23.0	26.0	38.0	29.0	19.0	30.0	25.0	27.0	22.0	33.0	31.0	4.0	746.0
du_PRP:det_du	27.0	37.0	26.0	11.0	19.0	26.0	18.0	30.0	23.0	24.0	36.0	21.0	9.0	14.0	33.0	17.0	28.0	31.0	34.0	25.0	19.0	34.0	26.0	22.0	24.0	22.0	22.0	21.0	25.0	32.0	7.0	743.0
plus_ADV_plus	25.0	23.0	39.0	21.0	36.0	15.0	23.0	25.0	33.0	22.0	29.0	23.0	21.0	24.0	15.0	31.0	27.0	23.0	15.0	30.0	16.0	33.0	35.0	17.0	19.0	18.0	23.0	25.0	32.0	20.0	4.0	742.0
elle_PRO:PER_elle	34.0	26.0	7.0	31.0	29.0	11.0	43.0	23.0	53.0	47.0	13.0	6.0	11.0	14.0	20.0	23.0	3.0	8.0	7.0	10.0	41.0	18.0	16.0	28.0	18.0	31.0	40.0	30.0	14.0	45.0	5.0	705.0
ce_PRO:DEM_ce	20.0	25.0	29.0	28.0	24.0	13.0	27.0	26.0	18.0	31.0	15.0	20.0	26.0	27.0	16.0	17.0	23.0	17.0	28.0	23.0	28.0	31.0	29.0	12.0	27.0	25.0	26.0	19.0	21.0	20.0	5.0	696.0
avait_VER:impf_avoir	39.0	26.0	22.0	14.0	12.0	12.0	21.0	14.0	24.0	17.0	20.0	20.0	23.0	14.0	30.0	17.0	41.0	30.0	17.0	20.0	9.0	32.0	32.0	12.0	22.0	21.0	19.0	34.0	23.0	29.0	4.0	670.0
a_VER:pres_avoir	23.0	37.0	28.0	42.0	28.0	8.0	16.0	21.0	15.0	11.0	14.0	15.0	18.0	22.0	21.0	23.0	17.0	19.0	28.0	21.0	25.0	10.0	21.0	21.0	25.0	28.0	29.0	19.0	30.0	6.0	8.0	649.0
me_PRO:PER_me	9.0	16.0	24.0	23.0	31.0	52.0	22.0	17.0	16.0	23.0	8.0	11.0	19.0	13.0	10.0	31.0	12.0	12.0	5.0	28.0	17.0	12.0	15.0	43.0	11.0	26.0	52.0	23.0	17.0	23.0	1.0	622.0
dans_PRP_dans	32.0	12.0	25.0	27.0	19.0	26.0	17.0	30.0	20.0	22.0	17.0	19.0	15.0	19.0	23.0	22.0	19.0	29.0	23.0	22.0	17.0	29.0	13.0	19.0	11.0	12.0	22.0	14.0	25.0	16.0	5.0	621.0
sa_DET:POS_son	19.0	7.0	21.0	19.0	16.0	11.0	29.0	19.0	32.0	35.0	19.0	17.0	22.0	12.0	23.0	18.0	26.0	15.0	15.0	15.0	16.0	18.0	19.0	17.0	21.0	18.0	12.0	16.0	30.0	27.0	14.0	598.0
l'_PRO:PER_la|le	22.0	9.0	14.0	25.0	13.0	11.0	16.0	11.0	20.0	24.0	22.0	7.0	29.0	18.0	18.0	28.0	16.0	25.0	14.0	21.0	16.0	17.0	33.0	37.0	23.0	24.0	23.0	18.0	15.0	21.0	5.0	595.0
le_PRO:PER_le	5.0	21.0	16.0	10.0	15.0	19.0	22.0	23.0	9.0	26.0	28.0	16.0	23.0	26.0	12.0	18.0	11.0	27.0	19.0	15.0	12.0	22.0	26.0	38.0	17.0	21.0	22.0	22.0	26.0	23.0	1.0	591.0
qu'_KON_que	13.0	20.0	16.0	12.0	13.0	9.0	10.0	17.0	17.0	23.0	28.0	18.0	25.0	25.0	13.0	22.0	28.0	18.0	15.0	22.0	20.0	22.0	21.0	37.0	26.0	16.0	30.0	19.0	14.0	13.0	8.0	590.0
;_PUN_;	13.0	17.0	25.0	16.0	21.0	17.0	25.0	33.0	12.0	16.0	16.0	14.0	14.0	16.0	20.0	15.0	18.0	14.0	16.0	27.0	26.0	15.0	18.0	26.0	14.0	19.0	16.0	11.0	21.0	27.0	7.0	565.0
au_PRP:det_au	17.0	14.0	26.0	19.0	19.0	15.0	13.0	16.0	24.0	16.0	31.0	17.0	18.0	17.0	28.0	10.0	18.0	23.0	19.0	12.0	20.0	24.0	14.0	17.0	14.0	19.0	19.0	18.0	21.0	21.0	1.0	560.0
Je_PRO:PER_je	6.0	20.0	21.0	17.0	26.0	36.0	16.0	14.0	12.0	18.0	16.0	15.0	18.0	20.0	11.0	33.0	17.0	26.0	20.0	25.0	18.0	10.0	12.0	21.0	19.0	20.0	25.0	12.0	12.0	12.0	5.0	553.0
monsieur_NOM_monsieur	6.0	23.0	20.0	14.0	3.0	18.0	4.0	10.0	2.0	4.0	9.0	17.0	26.0	34.0	17.0	29.0	16.0	28.0	25.0	25.0	14.0	8.0	11.0	29.0	20.0	22.0	23.0	17.0	20.0	7.0	3.0	504.0
qu'_PRO:REL_que	12.0	7.0	23.0	12.0	13.0	10.0	19.0	18.0	27.0	19.0	21.0	17.0	17.0	25.0	11.0	19.0	16.0	19.0	17.0	10.0	19.0	28.0	19.0	15.0	12.0	9.0	15.0	13.0	15.0	17.0	3.0	497.0
ses_DET:POS_son	25.0	6.0	11.0	18.0	10.0	11.0	21.0	25.0	21.0	18.0	31.0	21.0	9.0	19.0	22.0	13.0	18.0	15.0	16.0	13.0	12.0	22.0	11.0	12.0	12.0	13.0	9.0	15.0	19.0	9.0	3.0	480.0
bien_ADV_bien	24.0	20.0	16.0	16.0	8.0	15.0	18.0	15.0	20.0	13.0	13.0	16.0	13.0	13.0	17.0	15.0	9.0	15.0	12.0	21.0	21.0	17.0	12.0	20.0	15.0	12.0	19.0	17.0	17.0	6.0	7.0	472.0
ai_VER:pres_avoir	5.0	23.0	18.0	12.0	23.0	20.0	23.0	13.0	5.0	15.0	4.0	12.0	24.0	11.0	17.0	28.0	11.0	19.0	9.0	12.0	17.0	5.0	11.0	15.0	13.0	20.0	9.0	11.0	13.0	20.0	5.0	443.0
on_PRO:PER_on	16.0	9.0	19.0	13.0	6.0	3.0	14.0	21.0	4.0	3.0	10.0	13.0	5.0	27.0	17.0	15.0	9.0	27.0	15.0	17.0	15.0	13.0	11.0	14.0	22.0	19.0	31.0	15.0	12.0	20.0	8.0	443.0
sur_PRP_sur	11.0	25.0	10.0	18.0	14.0	18.0	12.0	11.0	19.0	12.0	17.0	17.0	9.0	6.0	19.0	18.0	10.0	19.0	15.0	14.0	12.0	19.0	7.0	14.0	14.0	19.0	17.0	10.0	15.0	14.0	3.0	438.0
..._PUN_...	5.0	16.0	20.0	30.0	20.0	16.0	12.0	16.0	6.0	25.0	12.0	9.0	9.0	12.0	12.0	10.0	4.0	10.0	14.0	7.0	22.0	8.0	14.0	16.0	20.0	16.0	6.0	10.0	21.0	22.0	3.0	423.0
:_PUN_:	14.0	12.0	9.0	17.0	17.0	19.0	11.0	16.0	14.0	16.0	8.0	12.0	10.0	7.0	14.0	18.0	20.0	19.0	16.0	6.0	13.0	10.0	14.0	11.0	9.0	15.0	12.0	14.0	21.0	11.0	1.0	406.0
que_PRO:REL_que	5.0	11.0	9.0	17.0	18.0	17.0	21.0	8.0	8.0	15.0	7.0	7.0	21.0	15.0	8.0	17.0	12.0	13.0	15.0	12.0	15.0	8.0	15.0	18.0	17.0	10.0	19.0	21.0	6.0	6.0	2.0	393.0
m'_PRO:PER_me	2.0	11.0	14.0	18.0	25.0	16.0	15.0	8.0	9.0	14.0	14.0	2.0	12.0	12.0	8.0	19.0	11.0	10.0	5.0	18.0	12.0	6.0	6.0	23.0	19.0	21.0	28.0	8.0	6.0	17.0	2.0	391.0
Le_DET:ART_le	12.0	11.0	22.0	17.0	15.0	16.0	0.0	9.0	7.0	5.0	16.0	23.0	11.0	14.0	15.0	11.0	24.0	1.0	13.0	5.0	7.0	12.0	13.0	12.0	21.0	8.0	16.0	17.0	24.0	8.0	2.0	387.0
cette_PRO:DEM_ce	6.0	12.0	7.0	19.0	15.0	8.0	6.0	15.0	17.0	16.0	8.0	4.0	20.0	11.0	15.0	10.0	14.0	20.0	13.0	8.0	11.0	18.0	25.0	15.0	6.0	21.0	12.0	10.0	11.0	12.0	0.0	385.0
par_PRP_par	16.0	11.0	18.0	10.0	12.0	9.0	17.0	12.0	19.0	9.0	11.0	7.0	8.0	17.0	10.0	11.0	15.0	12.0	13.0	10.0	11.0	16.0	15.0	12.0	6.0	11.0	16.0	19.0	10.0	10.0	6.0	379.0
avec_PRP_avec	13.0	7.0	9.0	8.0	11.0	7.0	12.0	7.0	5.0	18.0	16.0	17.0	12.0	16.0	12.0	17.0	16.0	11.0	20.0	17.0	7.0	16.0	9.0	17.0	8.0	12.0	17.0	14.0	7.0	19.0	1.0	378.0
j'_PRO:PER_je	6.0	20.0	16.0	12.0	13.0	27.0	15.0	11.0	5.0	7.0	4.0	6.0	19.0	11.0	9.0	22.0	11.0	14.0	2.0	19.0	16.0	7.0	10.0	14.0	7.0	11.0	29.0	15.0	8.0	11.0	1.0	378.0
en_PRO:PER_en	11.0	13.0	11.0	6.0	7.0	11.0	16.0	15.0	19.0	8.0	7.0	8.0	12.0	11.0	11.0	10.0	9.0	13.0	13.0	9.0	17.0	11.0	11.0	15.0	11.0	12.0	18.0	13.0	13.0	8.0	2.0	351.0
mon_DET:POS_mon	3.0	10.0	10.0	18.0	31.0	17.0	16.0	11.0	12.0	10.0	7.0	2.0	9.0	15.0	8.0	20.0	11.0	11.0	8.0	19.0	7.0	9.0	2.0	10.0	9.0	16.0	16.0	16.0	8.0	5.0	4.0	350.0
père_NOM_père	3.0	10.0	23.0	28.0	39.0	17.0	2.0	11.0	6.0	7.0	18.0	9.0	12.0	12.0	16.0	10.0	8.0	3.0	10.0	4.0	5.0	17.0	8.0	2.0	4.0	4.0	8.0	12.0	23.0	5.0	5.0	341.0
c'_PRO:DEM_ce	13.0	15.0	11.0	20.0	10.0	11.0	15.0	10.0	8.0	9.0	9.0	10.0	9.0	15.0	6.0	6.0	9.0	10.0	9.0	4.0	9.0	14.0	7.0	14.0	6.0	12.0	16.0	20.0	14.0	13.0	2.0	336.0
Noël_NAM_Noël	0.0	0.0	3.0	32.0	23.0	21.0	24.0	14.0	0.0	0.0	2.0	2.0	6.0	2.0	11.0	14.0	14.0	2.0	5.0	23.0	20.0	15.0	0.0	0.0	10.0	8.0	0.0	13.0	28.0	27.0	5.0	324.0
y_PRO:PER_y	17.0	10.0	15.0	12.0	6.0	13.0	11.0	11.0	8.0	10.0	5.0	6.0	11.0	8.0	16.0	8.0	8.0	10.0	9.0	6.0	12.0	10.0	5.0	15.0	11.0	3.0	17.0	10.0	10.0	14.0	0.0	307.0
juge_NOM_juge	13.0	29.0	16.0	0.0	0.0	1.0	0.0	10.0	15.0	12.0	22.0	4.0	0.0	1.0	17.0	15.0	15.0	17.0	25.0	3.0	0.0	8.0	20.0	18.0	7.0	11.0	15.0	10.0	2.0	0.0	0.0	306.0
sans_PRP_sans	9.0	8.0	4.0	10.0	11.0	3.0	12.0	15.0	9.0	9.0	11.0	12.0	16.0	13.0	8.0	14.0	12.0	10.0	7.0	9.0	10.0	10.0	9.0	7.0	12.0	7.0	5.0	15.0	5.0	14.0	2.0	298.0
tout_ADV_tout	6.0	10.0	8.0	13.0	7.0	8.0	6.0	10.0	14.0	8.0	11.0	3.0	5.0	9.0	6.0	13.0	12.0	10.0	11.0	6.0	6.0	14.0	14.0	15.0	10.0	6.0	9.0	10.0	11.0	14.0	2.0	287.0
mais_KON_mais	12.0	11.0	8.0	13.0	7.0	5.0	18.0	8.0	8.0	9.0	10.0	9.0	9.0	9.0	11.0	9.0	5.0	5.0	4.0	9.0	12.0	10.0	14.0	3.0	8.0	7.0	13.0	13.0	11.0	9.0	1.0	280.0
moi_PRO:PER_moi	3.0	6.0	10.0	12.0	8.0	13.0	9.0	4.0	5.0	11.0	8.0	5.0	13.0	8.0	7.0	19.0	5.0	1.0	9.0	8.0	5.0	7.0	11.0	10.0	12.0	17.0	16.0	8.0	12.0	15.0	2.0	279.0
C'_PRO:DEM_ce	15.0	10.0	8.0	11.0	11.0	11.0	6.0	9.0	3.0	9.0	11.0	4.0	6.0	10.0	7.0	11.0	5.0	7.0	12.0	9.0	12.0	10.0	11.0	9.0	7.0	4.0	23.0	7.0	7.0	7.0	2.0	274.0
Elle_PRO:PER_elle	11.0	11.0	6.0	14.0	15.0	2.0	24.0	9.0	20.0	19.0	5.0	4.0	4.0	6.0	10.0	10.0	3.0	4.0	2.0	4.0	10.0	7.0	8.0	8.0	10.0	6.0	20.0	4.0	9.0	7.0	0.0	272.0
comte_NOM_comte	0.0	0.0	0.0	0.0	17.0	4.0	0.0	1.0	0.0	0.0	1.0	22.0	23.0	19.0	7.0	17.0	26.0	3.0	8.0	18.0	2.0	7.0	2.0	1.0	40.0	8.0	11.0	6.0	10.0	15.0	0.0	268.0
Albert_NAM_Albert	0.0	0.0	0.0	0.0	0.0	3.0	0.0	4.0	0.0	2.0	3.0	13.0	20.0	19.0	9.0	7.0	18.0	18.0	18.0	16.0	0.0	19.0	10.0	23.0	20.0	17.0	0.0	3.0	2.0	4.0	4.0	252.0
comme_KON_comme	6.0	10.0	8.0	7.0	8.0	7.0	16.0	7.0	13.0	13.0	8.0	12.0	3.0	10.0	7.0	8.0	8.0	10.0	7.0	11.0	6.0	3.0	5.0	7.0	7.0	9.0	13.0	10.0	3.0	4.0	0.0	246.0
Tabaret_NAM_Tabaret	1.0	9.0	26.0	28.0	19.0	12.0	1.0	11.0	0.0	0.0	15.0	7.0	0.0	0.0	13.0	10.0	2.0	1.0	10.0	0.0	0.0	16.0	7.0	1.0	2.0	3.0	0.0	16.0	22.0	4.0	4.0	240.0
ma_DET:POS_mon	2.0	1.0	8.0	8.0	17.0	12.0	13.0	4.0	6.0	11.0	8.0	2.0	10.0	5.0	5.0	23.0	3.0	6.0	6.0	9.0	11.0	9.0	6.0	6.0	7.0	12.0	14.0	6.0	2.0	6.0	1.0	239.0
si_ADV_si	4.0	1.0	3.0	9.0	4.0	4.0	5.0	6.0	15.0	15.0	14.0	6.0	18.0	10.0	4.0	19.0	6.0	9.0	4.0	4.0	5.0	8.0	15.0	9.0	6.0	8.0	4.0	5.0	8.0	3.0	0.0	231.0
-vous_PRO:PER_vous	0.0	4.0	4.0	8.0	6.0	4.0	13.0	4.0	4.0	6.0	1.0	4.0	22.0	14.0	3.0	6.0	6.0	20.0	10.0	7.0	15.0	1.0	7.0	17.0	8.0	5.0	6.0	14.0	6.0	5.0	0.0	230.0
homme_NOM_homme	8.0	22.0	5.0	8.0	3.0	4.0	8.0	4.0	4.0	8.0	13.0	7.0	8.0	10.0	5.0	9.0	9.0	3.0	8.0	5.0	4.0	10.0	7.0	4.0	5.0	5.0	12.0	11.0	6.0	4.0	1.0	220.0
comme_ADV_comme	1.0	8.0	4.0	10.0	6.0	6.0	9.0	10.0	7.0	12.0	9.0	4.0	6.0	3.0	7.0	7.0	10.0	7.0	6.0	8.0	7.0	4.0	11.0	7.0	8.0	3.0	15.0	7.0	9.0	5.0	2.0	218.0
suis_VER:pres_suivre|être	0.0	8.0	6.0	10.0	6.0	15.0	13.0	3.0	3.0	10.0	5.0	5.0	4.0	5.0	10.0	11.0	5.0	13.0	17.0	4.0	9.0	3.0	2.0	5.0	9.0	10.0	7.0	8.0	5.0	4.0	1.0	216.0
Et_KON_et	5.0	10.0	5.0	10.0	7.0	6.0	8.0	6.0	1.0	6.0	7.0	10.0	10.0	11.0	8.0	9.0	4.0	7.0	10.0	9.0	12.0	7.0	10.0	1.0	2.0	4.0	4.0	11.0	10.0	3.0	2.0	215.0
nous_PRO:PER_nous	8.0	14.0	6.0	4.0	9.0	1.0	2.0	3.0	0.0	2.0	10.0	7.0	2.0	8.0	6.0	6.0	1.0	2.0	9.0	7.0	4.0	4.0	9.0	16.0	13.0	10.0	30.0	5.0	4.0	3.0	3.0	208.0
Vous_PRO:PER_vous	2.0	1.0	4.0	8.0	6.0	6.0	20.0	1.0	6.0	11.0	3.0	3.0	14.0	16.0	8.0	4.0	3.0	11.0	8.0	3.0	14.0	3.0	7.0	12.0	7.0	7.0	3.0	5.0	9.0	2.0	1.0	208.0
encore_ADV_encore	5.0	10.0	6.0	2.0	6.0	5.0	4.0	6.0	9.0	7.0	10.0	5.0	9.0	7.0	9.0	8.0	10.0	7.0	7.0	8.0	6.0	6.0	9.0	8.0	7.0	3.0	8.0	5.0	5.0	8.0	2.0	207.0
votre_DET:POS_votre	0.0	2.0	6.0	8.0	7.0	0.0	10.0	2.0	12.0	11.0	0.0	7.0	18.0	17.0	5.0	4.0	6.0	10.0	10.0	7.0	16.0	1.0	8.0	11.0	1.0	3.0	6.0	7.0	6.0	5.0	0.0	206.0
été_VER:pper_être	17.0	6.0	8.0	9.0	8.0	0.0	8.0	5.0	4.0	4.0	4.0	5.0	10.0	6.0	15.0	10.0	9.0	10.0	6.0	5.0	4.0	7.0	7.0	7.0	8.0	4.0	5.0	4.0	6.0	3.0	2.0	206.0
