	Malot_Ghislaine_0	Malot_Ghislaine_1	Malot_Ghislaine_2	Malot_Ghislaine_3	Malot_Ghislaine_4	Malot_Ghislaine_5	Malot_Ghislaine_6	Malot_Ghislaine_7	Malot_Ghislaine_8	Malot_Ghislaine_9	Malot_Ghislaine_10	Malot_Ghislaine_11	Malot_Ghislaine_12	Malot_Ghislaine_13	Malot_Ghislaine_14	Malot_Ghislaine_15	Malot_Ghislaine_16	Malot_Ghislaine_17	Malot_Ghislaine_18	Malot_Ghislaine_19	Malot_Ghislaine_20	Malot_Ghislaine_21	Malot_Ghislaine_22	Malot_Ghislaine_sum
le_DET:ART_le	83.0	60.0	66.0	70.0	49.0	43.0	46.0	53.0	50.0	63.0	52.0	41.0	60.0	63.0	54.0	65.0	45.0	56.0	61.0	62.0	81.0	76.0	31.0	1330.0
pas_ADV_pas	37.0	53.0	34.0	65.0	61.0	47.0	56.0	39.0	72.0	59.0	54.0	60.0	56.0	48.0	58.0	62.0	56.0	81.0	59.0	60.0	68.0	55.0	20.0	1260.0
;_PUN_;	36.0	53.0	56.0	60.0	75.0	53.0	56.0	45.0	54.0	33.0	37.0	65.0	42.0	52.0	44.0	52.0	54.0	59.0	50.0	63.0	44.0	57.0	26.0	1166.0
que_KON_que	63.0	42.0	36.0	52.0	47.0	57.0	59.0	58.0	51.0	62.0	53.0	59.0	46.0	49.0	45.0	33.0	45.0	47.0	55.0	47.0	48.0	40.0	22.0	1116.0
ne_ADV_ne	27.0	38.0	35.0	57.0	42.0	51.0	51.0	36.0	59.0	60.0	47.0	52.0	44.0	31.0	40.0	58.0	46.0	81.0	55.0	50.0	58.0	41.0	24.0	1083.0
un_DET:ART_un	47.0	45.0	62.0	40.0	45.0	49.0	47.0	46.0	42.0	47.0	37.0	46.0	62.0	42.0	65.0	47.0	52.0	40.0	34.0	46.0	52.0	72.0	18.0	1083.0
d'_PRP_de	45.0	46.0	38.0	31.0	42.0	33.0	38.0	40.0	66.0	59.0	56.0	41.0	51.0	50.0	51.0	54.0	61.0	50.0	37.0	61.0	50.0	47.0	18.0	1065.0
était_VER:impf_être	21.0	49.0	61.0	61.0	47.0	35.0	52.0	48.0	46.0	41.0	57.0	50.0	52.0	42.0	54.0	53.0	36.0	35.0	50.0	37.0	34.0	36.0	12.0	1009.0
l'_DET:ART_le	46.0	46.0	43.0	36.0	38.0	29.0	43.0	45.0	32.0	41.0	54.0	44.0	39.0	41.0	48.0	38.0	36.0	44.0	37.0	50.0	35.0	52.0	15.0	932.0
n'_ADV_ne	31.0	42.0	28.0	38.0	49.0	33.0	43.0	35.0	41.0	32.0	44.0	46.0	36.0	48.0	43.0	36.0	48.0	36.0	33.0	49.0	49.0	33.0	13.0	886.0
une_DET:ART_un	29.0	35.0	40.0	30.0	41.0	40.0	44.0	34.0	23.0	51.0	52.0	40.0	34.0	39.0	37.0	36.0	53.0	51.0	36.0	31.0	34.0	31.0	20.0	861.0
les_DET:ART_le	43.0	63.0	48.0	39.0	36.0	34.0	38.0	55.0	40.0	31.0	54.0	41.0	45.0	26.0	37.0	23.0	24.0	35.0	52.0	31.0	22.0	33.0	7.0	857.0
qui_PRO:REL_qui	32.0	54.0	47.0	35.0	33.0	33.0	33.0	31.0	43.0	35.0	42.0	35.0	42.0	36.0	54.0	28.0	35.0	28.0	45.0	29.0	43.0	37.0	20.0	850.0
avait_VER:impf_avoir	17.0	48.0	55.0	30.0	45.0	19.0	29.0	46.0	33.0	25.0	67.0	49.0	42.0	31.0	30.0	37.0	29.0	32.0	32.0	23.0	29.0	40.0	10.0	798.0
ce_PRO:DEM_ce	23.0	38.0	32.0	27.0	31.0	43.0	50.0	34.0	53.0	36.0	26.0	22.0	30.0	35.0	34.0	43.0	38.0	36.0	39.0	30.0	32.0	36.0	16.0	784.0
en_PRP_en	46.0	36.0	37.0	42.0	21.0	33.0	33.0	40.0	38.0	40.0	32.0	32.0	40.0	34.0	31.0	30.0	36.0	30.0	31.0	18.0	23.0	35.0	11.0	749.0
vous_PRO:PER_vous	32.0	14.0	12.0	57.0	11.0	49.0	46.0	5.0	11.0	22.0	2.0	5.0	11.0	59.0	46.0	9.0	45.0	62.0	33.0	97.0	46.0	40.0	25.0	739.0
?_SENT_?	28.0	38.0	12.0	37.0	22.0	31.0	26.0	25.0	37.0	38.0	20.0	36.0	29.0	69.0	31.0	33.0	43.0	30.0	35.0	37.0	34.0	19.0	18.0	728.0
pour_PRP_pour	39.0	37.0	27.0	30.0	31.0	29.0	34.0	42.0	29.0	34.0	32.0	31.0	32.0	31.0	28.0	28.0	47.0	34.0	28.0	31.0	32.0	21.0	12.0	719.0
se_PRO:PER_se	21.0	31.0	36.0	42.0	35.0	36.0	34.0	33.0	36.0	30.0	30.0	25.0	36.0	19.0	32.0	46.0	27.0	27.0	44.0	18.0	26.0	37.0	11.0	712.0
dans_PRP_dans	40.0	51.0	35.0	38.0	35.0	34.0	31.0	30.0	29.0	23.0	34.0	25.0	22.0	21.0	30.0	37.0	36.0	31.0	43.0	24.0	23.0	18.0	11.0	701.0
est_VER:pres_être	43.0	33.0	14.0	22.0	21.0	27.0	21.0	21.0	34.0	41.0	20.0	44.0	27.0	45.0	26.0	13.0	41.0	32.0	21.0	43.0	54.0	31.0	15.0	689.0
lui_PRO:PER_lui	18.0	25.0	45.0	31.0	46.0	38.0	17.0	34.0	45.0	30.0	26.0	35.0	32.0	25.0	27.0	31.0	22.0	29.0	22.0	21.0	35.0	36.0	16.0	686.0
qu'_PRO:REL_que	16.0	34.0	41.0	24.0	26.0	28.0	29.0	38.0	36.0	31.0	32.0	19.0	22.0	28.0	31.0	52.0	27.0	30.0	25.0	29.0	25.0	30.0	9.0	662.0
je_PRO:PER_je	33.0	20.0	12.0	39.0	29.0	65.0	45.0	13.0	36.0	29.0	22.0	23.0	13.0	30.0	9.0	21.0	34.0	27.0	25.0	46.0	18.0	19.0	24.0	632.0
son_DET:POS_son	16.0	40.0	27.0	22.0	32.0	18.0	17.0	33.0	23.0	29.0	30.0	23.0	24.0	26.0	28.0	49.0	26.0	28.0	33.0	24.0	30.0	29.0	12.0	619.0
:_PUN_:	19.0	26.0	29.0	29.0	30.0	33.0	29.0	28.0	28.0	16.0	22.0	24.0	21.0	38.0	27.0	32.0	37.0	27.0	22.0	25.0	30.0	26.0	20.0	618.0
s'_PRO:PER_se	19.0	19.0	29.0	23.0	28.0	27.0	33.0	30.0	29.0	29.0	34.0	28.0	20.0	27.0	19.0	39.0	19.0	24.0	39.0	21.0	30.0	37.0	10.0	613.0
qu'_KON_que	17.0	25.0	29.0	14.0	26.0	40.0	28.0	27.0	32.0	32.0	23.0	25.0	27.0	16.0	27.0	34.0	30.0	34.0	22.0	29.0	28.0	26.0	17.0	608.0
des_PRP:det_du	35.0	31.0	26.0	34.0	17.0	12.0	29.0	24.0	31.0	23.0	33.0	23.0	26.0	18.0	32.0	15.0	27.0	40.0	23.0	13.0	12.0	27.0	11.0	562.0
l'_PRO:PER_la|le	16.0	19.0	23.0	11.0	26.0	19.0	26.0	22.0	26.0	21.0	19.0	27.0	16.0	17.0	18.0	27.0	32.0	17.0	11.0	16.0	15.0	15.0	11.0	450.0
sa_DET:POS_son	22.0	37.0	29.0	22.0	25.0	16.0	11.0	9.0	13.0	16.0	25.0	20.0	20.0	21.0	18.0	28.0	22.0	14.0	18.0	16.0	25.0	10.0	8.0	445.0
plus_ADV_plus	15.0	20.0	19.0	17.0	18.0	22.0	30.0	35.0	18.0	26.0	23.0	35.0	24.0	12.0	22.0	15.0	13.0	10.0	16.0	15.0	16.0	14.0	7.0	442.0
cette_PRO:DEM_ce	12.0	15.0	15.0	23.0	12.0	18.0	19.0	18.0	19.0	21.0	26.0	31.0	21.0	15.0	23.0	18.0	17.0	16.0	20.0	18.0	28.0	14.0	9.0	428.0
au_PRP:det_au	13.0	20.0	28.0	11.0	18.0	18.0	17.0	19.0	14.0	13.0	25.0	11.0	25.0	20.0	27.0	21.0	10.0	9.0	21.0	20.0	21.0	26.0	10.0	417.0
du_PRP:det_du	25.0	17.0	23.0	26.0	17.0	7.0	12.0	19.0	11.0	21.0	19.0	17.0	19.0	20.0	22.0	13.0	13.0	10.0	22.0	22.0	26.0	23.0	7.0	411.0
mais_KON_mais	12.0	19.0	17.0	17.0	17.0	18.0	22.0	26.0	14.0	17.0	17.0	19.0	22.0	11.0	19.0	18.0	23.0	22.0	21.0	15.0	18.0	12.0	6.0	402.0
le_PRO:PER_le	8.0	15.0	21.0	21.0	19.0	27.0	5.0	18.0	23.0	17.0	10.0	15.0	15.0	12.0	22.0	20.0	16.0	23.0	23.0	27.0	17.0	22.0	4.0	400.0
que_PRO:REL_que	24.0	19.0	21.0	19.0	11.0	20.0	22.0	16.0	25.0	17.0	13.0	14.0	7.0	15.0	14.0	13.0	16.0	17.0	21.0	25.0	13.0	17.0	9.0	388.0
en_PRO:PER_en	9.0	19.0	11.0	13.0	16.0	16.0	11.0	11.0	22.0	21.0	17.0	29.0	20.0	17.0	21.0	11.0	23.0	27.0	17.0	17.0	12.0	13.0	2.0	375.0
par_PRP_par	14.0	14.0	28.0	17.0	16.0	13.0	8.0	15.0	14.0	12.0	20.0	16.0	10.0	10.0	21.0	17.0	33.0	8.0	16.0	9.0	20.0	22.0	8.0	361.0
c'_PRO:DEM_ce	17.0	16.0	20.0	14.0	14.0	10.0	22.0	16.0	11.0	13.0	14.0	15.0	15.0	16.0	20.0	14.0	18.0	15.0	11.0	20.0	16.0	17.0	9.0	353.0
on_PRO:PER_on	11.0	14.0	18.0	9.0	7.0	14.0	6.0	16.0	13.0	15.0	32.0	5.0	18.0	14.0	18.0	1.0	13.0	16.0	13.0	17.0	31.0	24.0	3.0	328.0
sur_PRP_sur	19.0	11.0	17.0	18.0	15.0	14.0	23.0	18.0	11.0	12.0	9.0	16.0	12.0	20.0	14.0	20.0	8.0	13.0	13.0	8.0	13.0	16.0	5.0	325.0
avec_PRP_avec	17.0	15.0	21.0	7.0	11.0	14.0	12.0	19.0	26.0	17.0	20.0	22.0	6.0	12.0	9.0	8.0	9.0	12.0	9.0	14.0	12.0	13.0	8.0	313.0
Il_PRO:PER_il	11.0	6.0	11.0	17.0	24.0	13.0	7.0	6.0	11.0	11.0	5.0	9.0	16.0	17.0	18.0	13.0	11.0	12.0	13.0	12.0	18.0	13.0	12.0	286.0
bien_ADV_bien	12.0	14.0	14.0	10.0	8.0	6.0	8.0	9.0	10.0	16.0	16.0	12.0	13.0	15.0	16.0	19.0	16.0	10.0	11.0	7.0	18.0	16.0	2.0	278.0
a_VER:pres_avoir	16.0	8.0	3.0	8.0	9.0	17.0	5.0	6.0	11.0	9.0	6.0	14.0	18.0	26.0	16.0	5.0	22.0	9.0	7.0	12.0	24.0	7.0	17.0	275.0
me_PRO:PER_me	13.0	6.0	10.0	13.0	13.0	29.0	15.0	5.0	11.0	12.0	4.0	7.0	11.0	14.0	6.0	7.0	14.0	12.0	8.0	21.0	8.0	11.0	10.0	260.0
la_PRO:PER_la	3.0	11.0	4.0	6.0	13.0	15.0	10.0	8.0	9.0	19.0	16.0	16.0	4.0	6.0	13.0	20.0	20.0	16.0	17.0	4.0	5.0	10.0	9.0	254.0
Ghislaine_NAM_ghislaine	12.0	15.0	13.0	14.0	23.0	4.0	13.0	23.0	22.0	18.0	24.0	10.0	8.0	4.0	8.0	6.0	8.0	8.0	8.0	2.0	3.0	1.0	5.0	252.0
Chambrais_NAM_chambrais	26.0	14.0	9.0	11.0	16.0	11.0	16.0	21.0	18.0	12.0	17.0	4.0	12.0	14.0	4.0	1.0	7.0	7.0	4.0	11.0	3.0	5.0	3.0	246.0
ses_DET:POS_son	9.0	26.0	18.0	8.0	14.0	13.0	11.0	9.0	10.0	8.0	20.0	10.0	9.0	10.0	8.0	10.0	5.0	11.0	8.0	6.0	8.0	13.0	2.0	246.0
sans_PRP_sans	10.0	7.0	9.0	3.0	12.0	8.0	16.0	18.0	11.0	7.0	15.0	13.0	10.0	10.0	7.0	22.0	8.0	12.0	12.0	9.0	9.0	11.0	1.0	240.0
!_SENT_!	6.0	13.0	5.0	10.0	9.0	13.0	8.0	12.0	3.0	12.0	14.0	16.0	17.0	17.0	5.0	10.0	15.0	6.0	8.0	6.0	16.0	5.0	7.0	233.0
tout_ADV_tout	11.0	10.0	8.0	5.0	12.0	9.0	10.0	12.0	9.0	9.0	10.0	16.0	20.0	15.0	9.0	12.0	8.0	3.0	11.0	10.0	7.0	9.0	4.0	229.0
j'_PRO:PER_je	22.0	11.0	5.0	8.0	9.0	12.0	20.0	5.0	9.0	14.0	7.0	14.0	12.0	9.0	3.0	1.0	14.0	5.0	7.0	16.0	5.0	8.0	13.0	229.0
tu_PRO:PER_tu	21.0	13.0	0.0	7.0	7.0	18.0	15.0	11.0	24.0	34.0	5.0	25.0	17.0	3.0	3.0	11.0	3.0	1.0	3.0	0.0	0.0	0.0	4.0	225.0
ai_VER:pres_avoir	16.0	8.0	2.0	8.0	14.0	10.0	21.0	3.0	13.0	13.0	6.0	12.0	19.0	7.0	2.0	4.0	11.0	2.0	7.0	19.0	4.0	4.0	18.0	223.0
si_KON_si	8.0	6.0	6.0	10.0	13.0	14.0	13.0	9.0	5.0	7.0	12.0	8.0	8.0	10.0	6.0	11.0	15.0	15.0	11.0	12.0	7.0	12.0	3.0	221.0
y_PRO:PER_y	12.0	5.0	11.0	9.0	14.0	6.0	5.0	9.0	6.0	7.0	5.0	9.0	13.0	6.0	11.0	9.0	16.0	18.0	9.0	5.0	12.0	12.0	6.0	215.0
Je_PRO:PER_je	15.0	5.0	10.0	11.0	12.0	13.0	8.0	4.0	13.0	6.0	3.0	10.0	6.0	8.0	14.0	7.0	9.0	8.0	6.0	8.0	14.0	7.0	10.0	207.0
ou_KON_ou	10.0	12.0	18.0	5.0	7.0	7.0	8.0	14.0	14.0	2.0	12.0	6.0	16.0	4.0	10.0	10.0	10.0	8.0	10.0	10.0	8.0	4.0	1.0	206.0
été_VER:pper_être	8.0	12.0	14.0	5.0	8.0	7.0	6.0	10.0	6.0	4.0	10.0	19.0	16.0	5.0	6.0	9.0	11.0	8.0	10.0	5.0	9.0	7.0	4.0	199.0
où_PRO:REL_où	4.0	9.0	5.0	13.0	7.0	10.0	12.0	10.0	4.0	13.0	11.0	8.0	12.0	7.0	17.0	5.0	6.0	14.0	8.0	7.0	6.0	6.0	3.0	197.0
comme_KON_comme	5.0	5.0	11.0	11.0	11.0	6.0	10.0	10.0	7.0	7.0	7.0	7.0	9.0	11.0	10.0	5.0	13.0	11.0	12.0	7.0	7.0	4.0	6.0	192.0
être_VER:infi_être	6.0	14.0	6.0	8.0	10.0	7.0	8.0	11.0	5.0	6.0	14.0	12.0	10.0	7.0	7.0	6.0	8.0	6.0	7.0	8.0	11.0	9.0	3.0	189.0
enfant_NOM_enfant	4.0	8.0	2.0	0.0	3.0	5.0	2.0	22.0	8.0	8.0	11.0	10.0	9.0	9.0	24.0	1.0	14.0	3.0	1.0	17.0	16.0	8.0	3.0	188.0
m'_PRO:PER_me	7.0	5.0	7.0	11.0	4.0	15.0	9.0	2.0	10.0	10.0	1.0	10.0	6.0	13.0	3.0	5.0	13.0	8.0	6.0	14.0	9.0	5.0	13.0	186.0
ces_PRO:DEM_ce	8.0	10.0	7.0	4.0	5.0	5.0	8.0	15.0	16.0	11.0	5.0	10.0	7.0	8.0	3.0	5.0	11.0	12.0	12.0	7.0	6.0	3.0	2.0	180.0
quand_KON_quand	9.0	12.0	8.0	2.0	11.0	8.0	10.0	9.0	10.0	10.0	8.0	5.0	6.0	9.0	8.0	3.0	2.0	8.0	13.0	4.0	11.0	3.0	3.0	172.0
fille_NOM_fille	6.0	6.0	6.0	4.0	4.0	4.0	6.0	11.0	5.0	13.0	7.0	8.0	6.0	12.0	11.0	4.0	17.0	13.0	4.0	10.0	7.0	2.0	2.0	168.0
Et_KON_et	4.0	12.0	6.0	9.0	5.0	5.0	8.0	6.0	7.0	5.0	5.0	11.0	9.0	8.0	5.0	9.0	5.0	12.0	6.0	11.0	5.0	8.0	4.0	165.0
ils_PRO:PER_il	7.0	16.0	3.0	1.0	3.0	2.0	19.0	10.0	4.0	16.0	15.0	3.0	12.0	4.0	7.0	3.0	12.0	5.0	11.0	4.0	2.0	1.0	3.0	163.0
C'_PRO:DEM_ce	11.0	11.0	3.0	10.0	8.0	3.0	5.0	0.0	8.0	12.0	3.0	8.0	7.0	12.0	7.0	3.0	10.0	6.0	11.0	5.0	7.0	8.0	3.0	161.0
temps_NOM_temps	11.0	8.0	8.0	12.0	1.0	8.0	7.0	10.0	7.0	5.0	9.0	5.0	10.0	9.0	3.0	6.0	7.0	4.0	6.0	3.0	4.0	11.0	2.0	156.0
Mais_KON_mais	4.0	10.0	10.0	8.0	2.0	5.0	7.0	7.0	8.0	6.0	9.0	9.0	10.0	7.0	8.0	10.0	4.0	8.0	10.0	2.0	4.0	4.0	3.0	155.0
nous_PRO:PER_nous	11.0	6.0	3.0	4.0	1.0	16.0	14.0	23.0	16.0	5.0	0.0	8.0	3.0	5.0	1.0	0.0	7.0	2.0	6.0	5.0	8.0	10.0	1.0	155.0
Elle_PRO:PER_elle	1.0	9.0	4.0	7.0	5.0	6.0	5.0	4.0	1.0	7.0	5.0	12.0	3.0	16.0	0.0	19.0	8.0	10.0	13.0	5.0	2.0	5.0	7.0	154.0
comte_NOM_comte	11.0	5.0	0.0	0.0	5.0	9.0	4.0	5.0	10.0	12.0	7.0	2.0	13.0	13.0	2.0	6.0	5.0	7.0	9.0	5.0	4.0	1.0	9.0	144.0
rien_ADV_rien	3.0	6.0	7.0	10.0	15.0	5.0	6.0	6.0	7.0	3.0	8.0	4.0	6.0	5.0	5.0	6.0	8.0	4.0	6.0	8.0	12.0	3.0	0.0	143.0
faire_VER:infi_faire	5.0	5.0	3.0	7.0	2.0	3.0	6.0	7.0	6.0	4.0	9.0	8.0	8.0	13.0	9.0	10.0	4.0	9.0	3.0	5.0	9.0	8.0	0.0	143.0
les_PRO:PER_la|le	3.0	6.0	7.0	5.0	1.0	2.0	4.0	8.0	4.0	8.0	8.0	4.0	3.0	5.0	6.0	3.0	6.0	13.0	19.0	7.0	4.0	12.0	4.0	142.0
aussi_ADV_aussi	4.0	5.0	4.0	3.0	3.0	6.0	6.0	10.0	7.0	6.0	9.0	13.0	10.0	8.0	8.0	5.0	6.0	3.0	2.0	6.0	4.0	3.0	9.0	140.0
cela_PRO:DEM_cela	9.0	5.0	8.0	7.0	5.0	5.0	1.0	5.0	9.0	8.0	4.0	9.0	3.0	7.0	10.0	8.0	4.0	4.0	9.0	7.0	2.0	4.0	4.0	137.0
pouvait_VER:impf_pouvoir	5.0	5.0	8.0	3.0	7.0	5.0	8.0	5.0	3.0	4.0	9.0	8.0	5.0	6.0	3.0	9.0	5.0	9.0	6.0	5.0	10.0	7.0	2.0	137.0
étaient_VER:impf_être	5.0	9.0	5.0	5.0	7.0	3.0	11.0	8.0	7.0	9.0	5.0	7.0	10.0	5.0	5.0	7.0	6.0	4.0	10.0	0.0	2.0	3.0	2.0	135.0
Nicétas_NAM_nicétas	4.0	0.0	17.0	12.0	4.0	13.0	2.0	0.0	1.0	0.0	0.0	3.0	9.0	14.0	8.0	2.0	6.0	1.0	1.0	13.0	12.0	12.0	1.0	135.0
Claude_NAM_claude	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	4.0	21.0	23.0	0.0	12.0	8.0	2.0	12.0	12.0	1.0	5.0	5.0	14.0	8.0	133.0
serait_VER:cond_être	3.0	1.0	4.0	5.0	7.0	7.0	6.0	7.0	12.0	7.0	6.0	3.0	8.0	3.0	4.0	7.0	8.0	7.0	6.0	2.0	7.0	13.0	0.0	133.0
aux_PRP:det_au	4.0	8.0	3.0	6.0	2.0	3.0	13.0	5.0	4.0	1.0	9.0	4.0	6.0	4.0	8.0	7.0	3.0	8.0	12.0	2.0	5.0	8.0	4.0	129.0
votre_DET:POS_votre	4.0	3.0	2.0	8.0	1.0	4.0	6.0	7.0	2.0	4.0	0.0	0.0	2.0	10.0	6.0	2.0	10.0	13.0	6.0	19.0	4.0	11.0	5.0	129.0
-vous_PRO:PER_vous	7.0	8.0	0.0	9.0	4.0	7.0	9.0	1.0	3.0	5.0	0.0	2.0	1.0	7.0	5.0	5.0	7.0	14.0	4.0	7.0	10.0	12.0	2.0	129.0
moi_PRO:PER_moi	10.0	2.0	0.0	8.0	3.0	19.0	6.0	2.0	10.0	8.0	2.0	7.0	2.0	6.0	4.0	3.0	7.0	5.0	5.0	4.0	0.0	8.0	4.0	125.0
fut_VER:simp_être	1.0	5.0	5.0	6.0	7.0	5.0	5.0	10.0	9.0	8.0	2.0	1.0	5.0	7.0	7.0	7.0	4.0	8.0	9.0	2.0	4.0	3.0	3.0	123.0
mon_DET:POS_mon	10.0	5.0	1.0	5.0	10.0	11.0	7.0	2.0	6.0	7.0	2.0	5.0	4.0	2.0	5.0	2.0	7.0	5.0	4.0	10.0	5.0	2.0	5.0	122.0
pour_KON_pour	3.0	3.0	13.0	6.0	7.0	6.0	3.0	5.0	4.0	5.0	6.0	6.0	3.0	2.0	5.0	6.0	5.0	11.0	4.0	5.0	2.0	8.0	2.0	120.0
Unières_NAM_unières	0.0	6.0	0.0	0.0	0.0	0.0	1.0	0.0	20.0	18.0	13.0	1.0	10.0	7.0	0.0	1.0	3.0	1.0	3.0	18.0	10.0	7.0	0.0	119.0
Le_DET:ART_le	4.0	3.0	2.0	3.0	5.0	6.0	4.0	6.0	4.0	3.0	2.0	1.0	2.0	1.0	8.0	5.0	1.0	8.0	8.0	13.0	7.0	16.0	6.0	118.0
si_ADV_si	5.0	7.0	3.0	5.0	4.0	8.0	9.0	8.0	2.0	11.0	9.0	5.0	2.0	4.0	1.0	7.0	1.0	1.0	6.0	3.0	10.0	2.0	3.0	116.0
toujours_ADV_toujours	6.0	12.0	9.0	3.0	1.0	2.0	6.0	4.0	5.0	11.0	5.0	6.0	5.0	1.0	7.0	7.0	2.0	4.0	9.0	3.0	2.0	3.0	2.0	115.0
Cappadoce_NAM_cappadoce	10.0	10.0	20.0	8.0	11.0	10.0	0.0	5.0	4.0	8.0	15.0	4.0	1.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	113.0
jamais_ADV_jamais	3.0	3.0	4.0	2.0	4.0	3.0	12.0	2.0	1.0	6.0	8.0	8.0	2.0	7.0	7.0	8.0	7.0	7.0	3.0	3.0	2.0	1.0	9.0	112.0
autre_ADJ_autre	5.0	6.0	8.0	3.0	8.0	3.0	4.0	1.0	6.0	8.0	4.0	3.0	3.0	5.0	3.0	7.0	7.0	5.0	6.0	4.0	5.0	6.0	0.0	110.0
même_ADJ_même	7.0	2.0	2.0	3.0	5.0	4.0	3.0	5.0	7.0	6.0	8.0	5.0	7.0	2.0	3.0	5.0	6.0	5.0	10.0	5.0	2.0	7.0	1.0	110.0
dont_PRO:REL_dont	4.0	6.0	8.0	4.0	4.0	4.0	5.0	8.0	5.0	8.0	6.0	4.0	6.0	4.0	5.0	6.0	5.0	3.0	4.0	4.0	3.0	2.0	2.0	110.0
ma_DET:POS_mon	6.0	5.0	2.0	3.0	5.0	15.0	11.0	2.0	4.0	7.0	2.0	2.0	6.0	2.0	2.0	1.0	9.0	7.0	3.0	7.0	7.0	1.0	1.0	110.0
lady_NOM_lady	11.0	10.0	19.0	8.0	11.0	10.0	0.0	4.0	3.0	7.0	15.0	4.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	109.0
moment_NOM_moment	2.0	3.0	0.0	9.0	5.0	6.0	7.0	4.0	9.0	6.0	3.0	4.0	2.0	5.0	5.0	5.0	4.0	6.0	10.0	7.0	2.0	2.0	3.0	109.0
peu_ADV_peu	4.0	3.0	11.0	4.0	3.0	4.0	6.0	17.0	4.0	2.0	5.0	4.0	6.0	4.0	5.0	5.0	2.0	3.0	6.0	2.0	3.0	4.0	1.0	108.0
Paris_NAM_paris	3.0	5.0	4.0	1.0	3.0	4.0	6.0	10.0	5.0	4.0	6.0	1.0	6.0	2.0	9.0	7.0	2.0	10.0	3.0	3.0	3.0	5.0	2.0	104.0
avoir_VER:infi_avoir	4.0	4.0	5.0	4.0	5.0	2.0	5.0	11.0	8.0	3.0	3.0	5.0	3.0	6.0	2.0	2.0	4.0	4.0	5.0	8.0	6.0	2.0	3.0	104.0
eût_VER:subi_avoir	3.0	5.0	12.0	3.0	2.0	3.0	6.0	4.0	4.0	2.0	8.0	5.0	10.0	4.0	5.0	5.0	4.0	6.0	1.0	4.0	1.0	4.0	2.0	103.0
Vous_PRO:PER_vous	6.0	3.0	2.0	8.0	2.0	7.0	0.0	0.0	3.0	4.0	2.0	2.0	2.0	13.0	3.0	0.0	9.0	2.0	9.0	11.0	8.0	2.0	5.0	103.0
