	Stolz_TresorNanette_0	Stolz_TresorNanette_1	Stolz_TresorNanette_2	Stolz_TresorNanette_3	Stolz_TresorNanette_4	Stolz_TresorNanette_5	Stolz_TresorNanette_6	Stolz_TresorNanette_7	Stolz_TresorNanette_8	Stolz_TresorNanette_9	Stolz_TresorNanette_10	Stolz_TresorNanette_11	Stolz_TresorNanette_sum
tout_ADV_tout	18.0	15.0	13.0	14.0	24.0	14.0	22.0	19.0	12.0	21.0	13.0	12.0	197.0
en_PRO:PER_en	9.0	18.0	15.0	17.0	10.0	23.0	7.0	15.0	31.0	18.0	14.0	15.0	192.0
avec_PRP_avec	16.0	10.0	11.0	15.0	26.0	14.0	17.0	24.0	15.0	13.0	10.0	14.0	185.0
nous_PRO:PER_nous	9.0	23.0	27.0	5.0	17.0	3.0	12.0	29.0	15.0	6.0	22.0	9.0	177.0
par_PRP_par	7.0	7.0	10.0	14.0	12.0	19.0	11.0	16.0	20.0	21.0	27.0	13.0	177.0
mère_NOM_mère	16.0	7.0	11.0	30.0	23.0	13.0	18.0	18.0	14.0	6.0	13.0	7.0	176.0
«_PUN:cit_«	11.0	16.0	1.0	11.0	6.0	6.0	8.0	26.0	26.0	22.0	22.0	19.0	174.0
j'_PRO:PER_je	10.0	16.0	11.0	15.0	29.0	8.0	2.0	23.0	16.0	7.0	10.0	24.0	171.0
ai_VER:pres_avoir	10.0	13.0	8.0	12.0	29.0	9.0	6.0	20.0	13.0	5.0	19.0	27.0	171.0
l'_PRO:PER_la|le	7.0	6.0	21.0	23.0	18.0	9.0	16.0	14.0	11.0	7.0	14.0	19.0	165.0
ma_DET:POS_mon	4.0	15.0	20.0	14.0	41.0	2.0	7.0	12.0	15.0	8.0	7.0	19.0	164.0
que_PRO:REL_que	14.0	15.0	13.0	15.0	19.0	10.0	8.0	9.0	17.0	13.0	14.0	12.0	159.0
me_PRO:PER_me	6.0	9.0	22.0	12.0	24.0	2.0	4.0	16.0	14.0	13.0	25.0	11.0	158.0
Blanche_NAM_blanche	15.0	12.0	10.0	10.0	16.0	13.0	12.0	13.0	13.0	11.0	7.0	19.0	151.0
Madeleine_NAM_madeleine	13.0	14.0	0.0	21.0	9.0	17.0	12.0	22.0	6.0	12.0	15.0	8.0	149.0
comme_KON_comme	9.0	18.0	20.0	11.0	11.0	16.0	11.0	10.0	14.0	6.0	10.0	11.0	147.0
faire_VER:infi_faire	11.0	12.0	9.0	17.0	8.0	12.0	12.0	10.0	14.0	18.0	13.0	8.0	144.0
le_PRO:PER_le	8.0	12.0	10.0	22.0	11.0	12.0	10.0	13.0	7.0	11.0	11.0	14.0	141.0
sur_PRP_sur	15.0	10.0	10.0	8.0	13.0	20.0	12.0	9.0	11.0	12.0	11.0	7.0	138.0
»_PUN:cit_»	11.0	16.0	3.0	10.0	7.0	6.0	8.0	10.0	13.0	14.0	9.0	19.0	126.0
cette_PRO:DEM_ce	10.0	12.0	22.0	3.0	12.0	7.0	5.0	7.0	14.0	9.0	13.0	8.0	122.0
bonne_ADJ_bon	10.0	9.0	5.0	14.0	12.0	7.0	6.0	12.0	19.0	10.0	8.0	5.0	117.0
deux_NUM_deux	10.0	14.0	8.0	6.0	14.0	8.0	10.0	7.0	6.0	5.0	15.0	12.0	115.0
tu_PRO:PER_tu	17.0	7.0	3.0	18.0	6.0	3.0	9.0	16.0	4.0	14.0	6.0	12.0	115.0
moi_PRO:PER_moi	1.0	9.0	14.0	6.0	21.0	3.0	6.0	13.0	12.0	7.0	7.0	14.0	113.0
petite_ADJ_petit	19.0	12.0	10.0	12.0	8.0	10.0	6.0	8.0	7.0	7.0	10.0	4.0	113.0
maman_NOM_maman	15.0	13.0	15.0	24.0	8.0	3.0	1.0	17.0	2.0	2.0	5.0	5.0	110.0
ces_PRO:DEM_ce	13.0	8.0	12.0	4.0	6.0	7.0	11.0	7.0	7.0	16.0	12.0	6.0	109.0
mon_DET:POS_mon	3.0	9.0	29.0	7.0	13.0	2.0	4.0	7.0	5.0	8.0	14.0	6.0	107.0
m'_PRO:PER_me	4.0	4.0	4.0	8.0	24.0	3.0	1.0	16.0	7.0	8.0	14.0	13.0	106.0
la_PRO:PER_la	8.0	6.0	13.0	10.0	9.0	8.0	7.0	5.0	6.0	11.0	13.0	10.0	106.0
si_ADV_si	4.0	7.0	9.0	5.0	10.0	4.0	10.0	13.0	5.0	10.0	17.0	10.0	104.0
si_KON_si	9.0	14.0	6.0	17.0	8.0	9.0	7.0	10.0	11.0	4.0	4.0	4.0	103.0
sans_PRP_sans	12.0	3.0	6.0	11.0	12.0	5.0	7.0	3.0	14.0	16.0	9.0	3.0	101.0
fille_NOM_fille	16.0	12.0	13.0	10.0	10.0	3.0	2.0	5.0	8.0	7.0	10.0	5.0	101.0
quand_KON_quand	11.0	10.0	7.0	10.0	8.0	5.0	5.0	9.0	13.0	7.0	4.0	10.0	99.0
nourrice_NOM_nourrice	7.0	13.0	13.0	7.0	22.0	1.0	6.0	3.0	1.0	7.0	3.0	15.0	98.0
dit_VER:pres_dire	4.0	13.0	9.0	10.0	1.0	2.0	8.0	10.0	10.0	4.0	9.0	18.0	98.0
enfant_NOM_enfant	12.0	16.0	15.0	8.0	6.0	5.0	7.0	7.0	5.0	6.0	4.0	6.0	97.0
Nanette_NAM_nanette	12.0	8.0	3.0	13.0	15.0	1.0	11.0	7.0	1.0	12.0	3.0	11.0	97.0
peu_ADV_peu	8.0	7.0	12.0	7.0	5.0	13.0	11.0	6.0	4.0	7.0	11.0	5.0	96.0
cœur_NOM_cœur	8.0	4.0	10.0	11.0	7.0	5.0	11.0	8.0	10.0	5.0	6.0	10.0	95.0
comme_ADV_comme	6.0	14.0	10.0	8.0	3.0	4.0	9.0	4.0	3.0	9.0	6.0	8.0	84.0
Dieu_NOM_dieu	3.0	13.0	7.0	6.0	6.0	2.0	3.0	6.0	7.0	8.0	13.0	9.0	83.0
temps_NOM_temps	4.0	8.0	12.0	4.0	11.0	9.0	5.0	10.0	6.0	6.0	3.0	4.0	82.0
toujours_ADV_toujours	6.0	10.0	16.0	5.0	3.0	7.0	8.0	7.0	8.0	3.0	4.0	4.0	81.0
La_DET:ART_le	10.0	5.0	5.0	10.0	5.0	5.0	4.0	6.0	8.0	11.0	6.0	4.0	79.0
encore_ADV_encore	5.0	14.0	13.0	4.0	1.0	4.0	5.0	6.0	2.0	9.0	8.0	7.0	78.0
aux_PRP:det_au	13.0	6.0	7.0	3.0	5.0	9.0	8.0	5.0	5.0	10.0	5.0	2.0	78.0
tout_PRO:IND_tout	4.0	12.0	6.0	1.0	7.0	6.0	5.0	9.0	9.0	8.0	6.0	4.0	77.0
très_ADV_très	10.0	6.0	12.0	6.0	6.0	6.0	2.0	6.0	4.0	8.0	7.0	4.0	77.0
tous_PRO:IND_tout	6.0	3.0	6.0	3.0	7.0	7.0	7.0	6.0	11.0	5.0	9.0	7.0	77.0
jour_NOM_jour	7.0	3.0	6.0	4.0	7.0	4.0	5.0	5.0	5.0	5.0	10.0	14.0	75.0
bon_ADJ_bon	11.0	8.0	8.0	5.0	4.0	7.0	3.0	5.0	6.0	3.0	6.0	8.0	74.0
donc_ADV_donc	3.0	6.0	9.0	9.0	4.0	8.0	10.0	3.0	1.0	8.0	7.0	4.0	72.0
tant_ADV_tant	2.0	9.0	3.0	6.0	11.0	3.0	8.0	1.0	9.0	5.0	7.0	6.0	70.0
car_KON_car	8.0	6.0	12.0	4.0	4.0	5.0	7.0	2.0	5.0	6.0	5.0	4.0	68.0
Je_PRO:PER_je	5.0	8.0	5.0	4.0	7.0	4.0	2.0	8.0	10.0	3.0	9.0	2.0	67.0
les_PRO:PER_la|le	6.0	10.0	6.0	3.0	4.0	8.0	6.0	3.0	9.0	3.0	6.0	2.0	66.0
Tenassy_NAM_tenassy	9.0	2.0	2.0	3.0	7.0	7.0	8.0	4.0	7.0	2.0	5.0	10.0	66.0
C'_PRO:DEM_ce	3.0	6.0	7.0	8.0	6.0	9.0	6.0	6.0	6.0	2.0	2.0	4.0	65.0
faut_VER:pres_falloir	3.0	5.0	8.0	6.0	4.0	8.0	5.0	6.0	5.0	3.0	7.0	4.0	64.0
fait_VER:pper_faire	5.0	4.0	8.0	0.0	7.0	5.0	3.0	5.0	5.0	6.0	11.0	4.0	63.0
..._PUN_...	3.0	3.0	2.0	4.0	8.0	10.0	4.0	6.0	6.0	10.0	4.0	2.0	62.0
fois_NOM_fois	6.0	3.0	6.0	5.0	2.0	6.0	3.0	8.0	9.0	8.0	5.0	1.0	62.0
mes_DET:POS_mon	2.0	5.0	4.0	1.0	8.0	0.0	3.0	19.0	6.0	3.0	7.0	3.0	61.0
Elle_PRO:PER_elle	4.0	6.0	5.0	5.0	6.0	5.0	4.0	9.0	3.0	7.0	4.0	2.0	60.0
être_VER:infi_être	5.0	3.0	3.0	5.0	9.0	5.0	6.0	4.0	7.0	3.0	7.0	3.0	60.0
rien_ADV_rien	6.0	5.0	3.0	6.0	2.0	3.0	5.0	5.0	5.0	9.0	6.0	4.0	59.0
Mme_NOM_madame	8.0	2.0	1.0	9.0	4.0	7.0	8.0	4.0	7.0	1.0	1.0	7.0	59.0
sous_PRP_sous	2.0	15.0	1.0	4.0	1.0	8.0	0.0	6.0	5.0	3.0	11.0	3.0	59.0
où_PRO:REL_où	6.0	10.0	3.0	2.0	10.0	7.0	3.0	2.0	0.0	4.0	6.0	5.0	58.0
famille_NOM_famille	1.0	7.0	9.0	4.0	3.0	3.0	5.0	5.0	3.0	2.0	8.0	8.0	58.0
chez_PRP_chez	2.0	3.0	6.0	5.0	2.0	3.0	6.0	8.0	10.0	8.0	1.0	4.0	58.0
dire_VER:infi_dire	6.0	4.0	5.0	7.0	3.0	4.0	4.0	7.0	6.0	7.0	1.0	3.0	57.0
toutes_PRO:IND_tout	8.0	5.0	11.0	4.0	2.0	3.0	3.0	1.0	1.0	5.0	6.0	7.0	56.0
votre_DET:POS_votre	5.0	7.0	13.0	4.0	3.0	2.0	4.0	0.0	9.0	2.0	5.0	2.0	56.0
jamais_ADV_jamais	7.0	5.0	7.0	7.0	2.0	5.0	4.0	4.0	4.0	3.0	4.0	4.0	56.0
enfants_NOM_enfant	9.0	5.0	3.0	4.0	3.0	3.0	5.0	1.0	7.0	1.0	8.0	6.0	55.0
trop_ADV_trop	10.0	9.0	0.0	4.0	0.0	7.0	3.0	4.0	6.0	6.0	2.0	4.0	55.0
petit_ADJ_petit	9.0	1.0	9.0	7.0	2.0	6.0	5.0	3.0	0.0	4.0	5.0	4.0	55.0
te_PRO:PER_te	6.0	0.0	2.0	4.0	8.0	1.0	4.0	10.0	2.0	10.0	7.0	1.0	55.0
parce_KON_parce	2.0	7.0	5.0	9.0	1.0	1.0	5.0	8.0	8.0	1.0	4.0	3.0	54.0
chère_ADJ_cher	6.0	6.0	9.0	4.0	4.0	3.0	1.0	4.0	5.0	6.0	2.0	4.0	54.0
autre_ADJ_autre	6.0	2.0	7.0	2.0	3.0	6.0	6.0	5.0	7.0	2.0	5.0	2.0	53.0
toute_PRO:IND_tout	5.0	7.0	8.0	2.0	4.0	7.0	1.0	3.0	3.0	5.0	3.0	5.0	53.0
Brigitte_NAM_brigitte	5.0	3.0	0.0	7.0	3.0	1.0	11.0	8.0	5.0	2.0	5.0	3.0	53.0
suis_VER:pres_suivre|être	8.0	4.0	7.0	1.0	1.0	1.0	0.0	9.0	5.0	1.0	12.0	4.0	53.0
là_ADV_là	5.0	4.0	8.0	1.0	2.0	6.0	1.0	3.0	4.0	5.0	4.0	8.0	51.0
grand_ADJ_grand	7.0	8.0	3.0	6.0	2.0	0.0	6.0	2.0	0.0	5.0	5.0	7.0	51.0
fut_VER:simp_être	1.0	4.0	6.0	4.0	5.0	14.0	4.0	1.0	4.0	3.0	1.0	4.0	51.0
pauvre_ADJ_pauvre	5.0	6.0	2.0	0.0	6.0	1.0	4.0	8.0	3.0	5.0	7.0	4.0	51.0
cela_PRO:DEM_cela	7.0	10.0	7.0	5.0	5.0	1.0	4.0	3.0	0.0	2.0	5.0	2.0	51.0
aussi_ADV_aussi	4.0	2.0	4.0	2.0	7.0	2.0	4.0	10.0	4.0	4.0	5.0	3.0	51.0
étaient_VER:impf_être	2.0	3.0	7.0	4.0	4.0	2.0	14.0	5.0	2.0	4.0	1.0	2.0	50.0
-vous_PRO:PER_vous	2.0	8.0	7.0	10.0	6.0	1.0	2.0	1.0	4.0	2.0	2.0	5.0	50.0
Il_PRO:PER_il	2.0	5.0	9.0	3.0	2.0	8.0	6.0	2.0	4.0	1.0	3.0	5.0	50.0
notre_DET:POS_notre	4.0	6.0	5.0	4.0	10.0	1.0	2.0	4.0	1.0	3.0	8.0	2.0	50.0
dont_PRO:REL_dont	3.0	1.0	5.0	5.0	3.0	4.0	9.0	3.0	1.0	8.0	3.0	5.0	50.0
été_VER:pper_être	4.0	1.0	5.0	2.0	6.0	3.0	6.0	8.0	4.0	3.0	4.0	3.0	49.0
avoir_VER:infi_avoir	0.0	4.0	4.0	4.0	1.0	6.0	5.0	9.0	3.0	3.0	7.0	3.0	49.0
maison_NOM_maison	2.0	10.0	2.0	4.0	5.0	2.0	8.0	5.0	7.0	2.0	0.0	1.0	48.0
-tu_PRO:PER_tu	4.0	2.0	1.0	3.0	3.0	1.0	3.0	13.0	4.0	7.0	2.0	5.0	48.0
ans_NOM_an	8.0	7.0	11.0	1.0	2.0	2.0	4.0	0.0	1.0	3.0	8.0	1.0	48.0
yeux_NOM_œil	5.0	3.0	3.0	2.0	4.0	7.0	1.0	6.0	4.0	4.0	3.0	5.0	47.0
jeune_ADJ_jeune	3.0	1.0	10.0	5.0	4.0	2.0	0.0	3.0	6.0	5.0	5.0	3.0	47.0
voir_VER:infi_voir	4.0	11.0	4.0	0.0	1.0	3.0	4.0	2.0	5.0	5.0	2.0	5.0	46.0
Et_KON_et	1.0	7.0	8.0	3.0	7.0	3.0	6.0	1.0	1.0	2.0	2.0	4.0	45.0
elles_PRO:PER_elle	0.0	7.0	2.0	2.0	1.0	1.0	12.0	5.0	5.0	1.0	3.0	6.0	45.0
ou_KON_ou	8.0	3.0	2.0	5.0	5.0	4.0	3.0	8.0	1.0	3.0	2.0	1.0	45.0
grande_ADJ_grand	5.0	1.0	4.0	4.0	2.0	4.0	3.0	6.0	5.0	1.0	6.0	4.0	45.0
Nicaise_NAM_nicaise	0.0	0.0	0.0	13.0	0.0	8.0	3.0	0.0	13.0	5.0	0.0	3.0	45.0
Aline_NAM_aline	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	19.0	8.0	2.0	11.0	44.0
leur_DET:POS_leur	2.0	8.0	1.0	3.0	1.0	2.0	14.0	2.0	3.0	0.0	4.0	4.0	44.0
sont_VER:pres_être	3.0	0.0	2.0	4.0	7.0	4.0	5.0	5.0	4.0	3.0	4.0	3.0	44.0
femme_NOM_femme	5.0	4.0	2.0	7.0	0.0	0.0	2.0	0.0	11.0	7.0	2.0	3.0	43.0
puis_ADV_puis	5.0	6.0	3.0	1.0	7.0	1.0	3.0	4.0	2.0	2.0	5.0	4.0	43.0
peine_NOM_peine	4.0	0.0	8.0	5.0	3.0	2.0	5.0	4.0	1.0	5.0	2.0	4.0	43.0
autres_ADJ_autre	3.0	12.0	3.0	3.0	1.0	2.0	3.0	9.0	1.0	5.0	1.0	0.0	43.0
même_ADV_même	6.0	4.0	5.0	4.0	4.0	3.0	2.0	1.0	6.0	1.0	5.0	1.0	42.0
beau_ADJ_beau	2.0	6.0	6.0	2.0	2.0	8.0	1.0	4.0	1.0	2.0	5.0	3.0	42.0
chose_NOM_chose	3.0	1.0	1.0	3.0	3.0	6.0	2.0	3.0	7.0	4.0	3.0	6.0	42.0
toi_PRO:PER_toi	4.0	1.0	1.0	5.0	5.0	0.0	4.0	3.0	1.0	8.0	3.0	7.0	42.0
On_PRO:PER_on	0.0	3.0	2.0	4.0	3.0	7.0	4.0	6.0	6.0	4.0	2.0	1.0	42.0
beaucoup_ADV_beaucoup	5.0	4.0	3.0	3.0	6.0	2.0	6.0	4.0	4.0	2.0	0.0	2.0	41.0
même_ADJ_même	3.0	6.0	3.0	3.0	3.0	6.0	2.0	1.0	8.0	4.0	0.0	2.0	41.0
ça_PRO:DEM_cela	0.0	6.0	3.0	12.0	0.0	3.0	3.0	1.0	6.0	3.0	0.0	3.0	40.0
tête_NOM_tête	4.0	2.0	1.0	3.0	4.0	1.0	5.0	6.0	4.0	5.0	3.0	2.0	40.0
quelques_PRO:IND_quelque	1.0	2.0	3.0	3.0	4.0	9.0	1.0	4.0	1.0	6.0	4.0	2.0	40.0
vie_NOM_vie	3.0	2.0	3.0	4.0	5.0	0.0	2.0	5.0	1.0	5.0	7.0	2.0	39.0
histoire_NOM_histoire	1.0	11.0	8.0	6.0	1.0	3.0	0.0	3.0	2.0	2.0	0.0	2.0	39.0
Le_DET:ART_le	2.0	3.0	4.0	4.0	4.0	4.0	5.0	1.0	1.0	2.0	5.0	4.0	39.0
belle_ADJ_beau	4.0	7.0	3.0	1.0	1.0	6.0	3.0	4.0	1.0	2.0	4.0	3.0	39.0
monde_NOM_monde	4.0	5.0	4.0	6.0	0.0	3.0	2.0	7.0	1.0	3.0	1.0	3.0	39.0
chère_NOM_chère	2.0	3.0	4.0	2.0	2.0	1.0	4.0	3.0	1.0	5.0	4.0	8.0	39.0
moins_ADV_moins	2.0	2.0	2.0	3.0	4.0	3.0	3.0	8.0	5.0	5.0	0.0	2.0	39.0
vieille_ADJ_vieux	5.0	3.0	4.0	2.0	1.0	0.0	2.0	0.0	3.0	9.0	2.0	7.0	38.0
Les_DET:ART_le	2.0	4.0	0.0	1.0	2.0	1.0	7.0	1.0	5.0	3.0	3.0	9.0	38.0
fit_VER:simp_faire	5.0	5.0	2.0	1.0	5.0	9.0	1.0	1.0	1.0	2.0	1.0	5.0	38.0
-même_ADJ_même	3.0	1.0	4.0	2.0	1.0	5.0	1.0	4.0	5.0	4.0	5.0	2.0	37.0
trois_NUM_trois	3.0	3.0	1.0	3.0	0.0	3.0	5.0	8.0	2.0	5.0	4.0	0.0	37.0
as_VER:pres_avoir	8.0	3.0	2.0	1.0	3.0	0.0	2.0	3.0	3.0	3.0	1.0	8.0	37.0
fait_VER:pres_faire	2.0	1.0	4.0	2.0	1.0	6.0	6.0	3.0	3.0	4.0	5.0	0.0	37.0
ont_VER:pres_avoir	0.0	2.0	2.0	3.0	6.0	2.0	3.0	6.0	3.0	2.0	5.0	3.0	37.0
non_ADV_non	6.0	3.0	2.0	3.0	3.0	0.0	0.0	3.0	2.0	7.0	6.0	2.0	37.0
heureuse_ADJ_heureux	4.0	0.0	5.0	0.0	2.0	2.0	0.0	5.0	4.0	2.0	5.0	7.0	36.0
depuis_PRP_depuis	4.0	0.0	1.0	3.0	5.0	3.0	0.0	4.0	2.0	2.0	8.0	4.0	36.0
jours_NOM_jour	1.0	2.0	0.0	4.0	8.0	4.0	1.0	5.0	5.0	3.0	2.0	1.0	36.0
seule_ADJ_seul	5.0	4.0	4.0	3.0	1.0	2.0	2.0	3.0	2.0	4.0	3.0	2.0	35.0
point_ADV_point	3.0	3.0	2.0	3.0	3.0	5.0	6.0	1.0	0.0	4.0	2.0	3.0	35.0
pour_KON_pour	3.0	5.0	3.0	2.0	2.0	1.0	3.0	2.0	3.0	2.0	2.0	6.0	34.0
dit_VER:pper_dire	3.0	6.0	2.0	2.0	2.0	0.0	3.0	4.0	3.0	2.0	4.0	3.0	34.0
moment_NOM_moment	0.0	3.0	2.0	4.0	3.0	6.0	2.0	2.0	2.0	4.0	4.0	2.0	34.0
première_NUM_premier	1.0	3.0	4.0	1.0	2.0	2.0	3.0	1.0	1.0	4.0	7.0	5.0	34.0
À_PRP_à	2.0	2.0	3.0	1.0	6.0	0.0	5.0	4.0	0.0	5.0	5.0	1.0	34.0
malade_ADJ_malade	6.0	4.0	5.0	4.0	2.0	0.0	0.0	2.0	2.0	7.0	2.0	0.0	34.0
avez_VER:pres_avoir	1.0	1.0	2.0	10.0	4.0	4.0	1.0	1.0	2.0	1.0	2.0	4.0	33.0
faisait_VER:impf_faire	4.0	4.0	5.0	1.0	3.0	4.0	1.0	4.0	2.0	2.0	2.0	1.0	33.0
heure_NOM_heure	6.0	4.0	1.0	1.0	1.0	2.0	0.0	1.0	7.0	7.0	3.0	0.0	33.0
Oui_INT_oui	2.0	4.0	3.0	6.0	1.0	1.0	1.0	2.0	2.0	1.0	4.0	6.0	33.0
choses_NOM_chose	4.0	5.0	4.0	2.0	4.0	2.0	2.0	2.0	5.0	2.0	0.0	1.0	33.0
va_VER:pres_aller	1.0	1.0	2.0	7.0	0.0	2.0	8.0	1.0	5.0	1.0	2.0	3.0	33.0
J'_PRO:PER_je	1.0	3.0	4.0	0.0	0.0	4.0	1.0	5.0	4.0	0.0	6.0	5.0	33.0
veux_VER:pres_vouloir	3.0	1.0	3.0	6.0	4.0	0.0	1.0	4.0	3.0	3.0	1.0	3.0	32.0
