	Mirbeau_SebastienRoch_0	Mirbeau_SebastienRoch_1	Mirbeau_SebastienRoch_2	Mirbeau_SebastienRoch_3	Mirbeau_SebastienRoch_4	Mirbeau_SebastienRoch_5	Mirbeau_SebastienRoch_6	Mirbeau_SebastienRoch_7	Mirbeau_SebastienRoch_8	Mirbeau_SebastienRoch_9	Mirbeau_SebastienRoch_10	Mirbeau_SebastienRoch_11	Mirbeau_SebastienRoch_12	Mirbeau_SebastienRoch_13	Mirbeau_SebastienRoch_14	Mirbeau_SebastienRoch_15	Mirbeau_SebastienRoch_16	Mirbeau_SebastienRoch_17	Mirbeau_SebastienRoch_18	Mirbeau_SebastienRoch_19	Mirbeau_SebastienRoch_20	Mirbeau_SebastienRoch_21	Mirbeau_SebastienRoch_22	Mirbeau_SebastienRoch_23	Mirbeau_SebastienRoch_24	Mirbeau_SebastienRoch_sum
n'_ADV_ne	28.0	16.0	15.0	13.0	18.0	24.0	19.0	28.0	16.0	7.0	17.0	17.0	19.0	15.0	19.0	28.0	27.0	24.0	19.0	31.0	24.0	20.0	18.0	27.0	4.0	493.0
était_VER:impf_être	18.0	17.0	16.0	19.0	36.0	19.0	19.0	15.0	25.0	27.0	26.0	29.0	23.0	23.0	4.0	26.0	20.0	22.0	12.0	1.0	13.0	19.0	21.0	32.0	10.0	492.0
Sébastien_NAM_sébastien	14.0	17.0	18.0	18.0	16.0	22.0	16.0	20.0	27.0	16.0	18.0	29.0	21.0	19.0	25.0	31.0	34.0	28.0	4.0	0.0	0.0	19.0	30.0	30.0	18.0	490.0
;_PUN_;	16.0	12.0	13.0	29.0	18.0	18.0	31.0	14.0	20.0	32.0	12.0	19.0	19.0	21.0	29.0	19.0	15.0	21.0	19.0	28.0	27.0	17.0	13.0	15.0	4.0	481.0
du_PRP:det_du	23.0	24.0	15.0	33.0	20.0	19.0	25.0	18.0	19.0	27.0	18.0	20.0	18.0	18.0	15.0	28.0	15.0	22.0	16.0	18.0	11.0	12.0	13.0	23.0	2.0	472.0
sur_PRP_sur	15.0	16.0	13.0	25.0	21.0	11.0	24.0	23.0	21.0	17.0	29.0	19.0	17.0	29.0	24.0	19.0	16.0	17.0	9.0	25.0	19.0	18.0	20.0	17.0	8.0	472.0
ce_PRO:DEM_ce	13.0	22.0	22.0	8.0	14.0	13.0	14.0	18.0	21.0	17.0	24.0	22.0	24.0	18.0	19.0	22.0	26.0	20.0	23.0	31.0	23.0	14.0	16.0	14.0	3.0	461.0
sa_DET:POS_son	26.0	25.0	21.0	12.0	23.0	18.0	9.0	16.0	11.0	8.0	22.0	29.0	16.0	21.0	23.0	25.0	19.0	15.0	12.0	15.0	27.0	18.0	20.0	12.0	2.0	445.0
:_PUN_:	17.0	16.0	17.0	14.0	20.0	15.0	7.0	19.0	14.0	12.0	9.0	9.0	16.0	14.0	18.0	13.0	38.0	19.0	23.0	14.0	19.0	35.0	25.0	17.0	8.0	428.0
par_PRP_par	24.0	16.0	23.0	19.0	23.0	24.0	24.0	12.0	9.0	21.0	15.0	22.0	10.0	16.0	17.0	9.0	8.0	18.0	17.0	26.0	9.0	18.0	9.0	16.0	7.0	412.0
Et_KON_et	13.0	9.0	24.0	20.0	8.0	10.0	11.0	26.0	21.0	12.0	19.0	12.0	13.0	16.0	21.0	24.0	17.0	13.0	19.0	18.0	16.0	10.0	24.0	12.0	6.0	394.0
avait_VER:impf_avoir	12.0	19.0	13.0	12.0	25.0	13.0	6.0	18.0	19.0	23.0	23.0	33.0	13.0	21.0	9.0	26.0	14.0	14.0	10.0	3.0	4.0	9.0	16.0	25.0	4.0	384.0
l'_PRO:PER_la|le	12.0	17.0	12.0	9.0	17.0	19.0	17.0	18.0	11.0	11.0	25.0	16.0	26.0	6.0	21.0	16.0	18.0	7.0	10.0	13.0	13.0	22.0	14.0	9.0	9.0	368.0
le_PRO:PER_le	7.0	19.0	19.0	6.0	23.0	12.0	23.0	21.0	15.0	12.0	14.0	16.0	12.0	8.0	19.0	18.0	27.0	12.0	8.0	4.0	11.0	15.0	9.0	17.0	8.0	355.0
qu'_PRO:REL_que	15.0	18.0	15.0	11.0	11.0	13.0	13.0	13.0	20.0	14.0	9.0	22.0	9.0	14.0	18.0	16.0	11.0	15.0	17.0	11.0	8.0	17.0	18.0	16.0	1.0	345.0
qu'_KON_que	18.0	17.0	16.0	7.0	20.0	17.0	10.0	11.0	8.0	13.0	10.0	14.0	16.0	6.0	18.0	20.0	23.0	12.0	13.0	12.0	18.0	14.0	6.0	15.0	2.0	336.0
au_PRP:det_au	13.0	14.0	11.0	22.0	11.0	10.0	15.0	13.0	12.0	22.0	17.0	12.0	10.0	16.0	9.0	16.0	21.0	16.0	21.0	10.0	9.0	9.0	9.0	15.0	0.0	333.0
cette_PRO:DEM_ce	12.0	12.0	10.0	9.0	14.0	10.0	12.0	14.0	14.0	11.0	9.0	15.0	28.0	16.0	13.0	15.0	23.0	8.0	11.0	10.0	6.0	17.0	19.0	7.0	3.0	318.0
Je_PRO:PER_je	5.0	5.0	5.0	4.0	1.0	11.0	2.0	11.0	14.0	4.0	4.0	5.0	15.0	4.0	8.0	11.0	22.0	25.0	35.0	26.0	28.0	28.0	15.0	16.0	2.0	306.0
avec_PRP_avec	14.0	24.0	10.0	14.0	12.0	9.0	14.0	20.0	17.0	13.0	11.0	12.0	6.0	11.0	8.0	14.0	12.0	16.0	12.0	9.0	6.0	11.0	10.0	14.0	4.0	303.0
vous_PRO:PER_vous	7.0	0.0	4.0	1.0	6.0	5.0	0.0	14.0	13.0	4.0	16.0	34.0	30.0	2.0	2.0	39.0	61.0	25.0	7.0	6.0	14.0	2.0	0.0	2.0	0.0	294.0
a_VER:pres_avoir	8.0	6.0	5.0	1.0	1.0	15.0	5.0	14.0	10.0	3.0	1.0	3.0	4.0	7.0	43.0	8.0	11.0	19.0	31.0	27.0	24.0	23.0	2.0	16.0	2.0	289.0
me_PRO:PER_me	1.0	3.0	1.0	2.0	0.0	6.0	1.0	8.0	12.0	2.0	1.0	8.0	5.0	5.0	1.0	6.0	7.0	22.0	58.0	43.0	42.0	17.0	16.0	12.0	1.0	280.0
en_PRO:PER_en	19.0	10.0	10.0	2.0	7.0	14.0	11.0	6.0	16.0	19.0	9.0	15.0	12.0	8.0	19.0	6.0	15.0	11.0	12.0	16.0	11.0	7.0	8.0	5.0	0.0	268.0
pour_PRP_pour	11.0	18.0	13.0	7.0	9.0	8.0	18.0	9.0	15.0	9.0	13.0	9.0	3.0	6.0	3.0	16.0	9.0	13.0	12.0	18.0	15.0	11.0	8.0	13.0	1.0	267.0
où_PRO:REL_où	8.0	12.0	5.0	13.0	11.0	15.0	8.0	8.0	10.0	15.0	17.0	10.0	20.0	10.0	6.0	14.0	6.0	13.0	7.0	16.0	6.0	12.0	11.0	4.0	1.0	258.0
bien_ADV_bien	18.0	19.0	16.0	5.0	7.0	13.0	11.0	19.0	14.0	5.0	8.0	3.0	3.0	7.0	7.0	9.0	9.0	16.0	10.0	7.0	12.0	11.0	9.0	9.0	1.0	248.0
ces_PRO:DEM_ce	12.0	9.0	9.0	3.0	9.0	9.0	8.0	8.0	8.0	9.0	19.0	22.0	11.0	14.0	7.0	12.0	5.0	4.0	11.0	21.0	11.0	7.0	3.0	5.0	1.0	237.0
que_PRO:REL_que	6.0	12.0	8.0	2.0	6.0	9.0	2.0	18.0	9.0	5.0	5.0	7.0	8.0	7.0	8.0	10.0	16.0	15.0	13.0	20.0	14.0	9.0	18.0	10.0	0.0	237.0
elle_PRO:PER_elle	1.0	15.0	4.0	0.0	2.0	1.0	1.0	5.0	2.0	4.0	5.0	8.0	5.0	2.0	0.0	0.0	1.0	14.0	22.0	22.0	62.0	21.0	33.0	5.0	0.0	235.0
aux_PRP:det_au	14.0	8.0	7.0	6.0	12.0	7.0	7.0	10.0	16.0	23.0	17.0	14.0	7.0	13.0	7.0	8.0	8.0	5.0	9.0	7.0	6.0	6.0	7.0	10.0	0.0	234.0
sans_PRP_sans	8.0	10.0	6.0	12.0	13.0	7.0	5.0	7.0	14.0	7.0	10.0	9.0	14.0	5.0	6.0	4.0	9.0	5.0	16.0	4.0	3.0	10.0	10.0	8.0	7.0	209.0
c'_PRO:DEM_ce	11.0	3.0	15.0	1.0	7.0	6.0	6.0	5.0	14.0	7.0	7.0	7.0	6.0	7.0	2.0	8.0	10.0	16.0	13.0	13.0	8.0	16.0	10.0	6.0	1.0	205.0
tout_ADV_tout	8.0	5.0	5.0	5.0	9.0	12.0	13.0	11.0	7.0	10.0	4.0	6.0	7.0	7.0	10.0	8.0	11.0	12.0	8.0	8.0	11.0	4.0	11.0	5.0	6.0	203.0
mon_DET:POS_mon	6.0	4.0	7.0	2.0	1.0	4.0	2.0	14.0	2.0	2.0	2.0	8.0	15.0	3.0	3.0	7.0	17.0	18.0	19.0	20.0	11.0	20.0	9.0	3.0	0.0	199.0
m'_PRO:PER_me	1.0	3.0	1.0	4.0	3.0	11.0	0.0	12.0	5.0	0.0	1.0	4.0	6.0	4.0	5.0	4.0	7.0	22.0	33.0	22.0	22.0	13.0	9.0	6.0	1.0	199.0
comme_KON_comme	5.0	9.0	12.0	9.0	11.0	9.0	4.0	5.0	12.0	8.0	10.0	13.0	9.0	8.0	4.0	9.0	5.0	6.0	3.0	3.0	13.0	6.0	12.0	7.0	3.0	195.0
on_PRO:PER_on	12.0	3.0	5.0	6.0	11.0	11.0	9.0	13.0	8.0	11.0	8.0	2.0	11.0	5.0	7.0	17.0	11.0	9.0	5.0	3.0	5.0	4.0	7.0	9.0	1.0	193.0
j'_PRO:PER_je	1.0	10.0	5.0	0.0	1.0	2.0	0.0	5.0	12.0	1.0	2.0	5.0	8.0	4.0	10.0	3.0	6.0	17.0	21.0	22.0	20.0	13.0	17.0	5.0	2.0	192.0
très_ADV_très	7.0	7.0	15.0	8.0	5.0	15.0	8.0	16.0	8.0	6.0	9.0	2.0	6.0	5.0	5.0	4.0	5.0	5.0	8.0	6.0	11.0	5.0	5.0	16.0	1.0	188.0
ai_VER:pres_avoir	3.0	3.0	8.0	1.0	1.0	2.0	0.0	5.0	9.0	2.0	3.0	8.0	10.0	0.0	10.0	4.0	2.0	12.0	14.0	25.0	21.0	13.0	23.0	5.0	2.0	186.0
moi_PRO:PER_moi	2.0	11.0	5.0	2.0	1.0	3.0	0.0	6.0	7.0	0.0	2.0	7.0	10.0	4.0	11.0	8.0	11.0	15.0	13.0	18.0	19.0	11.0	8.0	8.0	2.0	184.0
«_PUN:cit_«	12.0	10.0	3.0	4.0	14.0	7.0	3.0	6.0	5.0	6.0	3.0	7.0	4.0	8.0	8.0	9.0	7.0	2.0	15.0	12.0	5.0	16.0	3.0	5.0	3.0	177.0
»_PUN:cit_»	12.0	10.0	3.0	4.0	14.0	7.0	3.0	6.0	5.0	6.0	3.0	7.0	4.0	8.0	8.0	9.0	7.0	2.0	15.0	12.0	5.0	15.0	2.0	6.0	3.0	176.0
y_PRO:PER_y	9.0	10.0	6.0	6.0	0.0	5.0	5.0	8.0	7.0	9.0	6.0	10.0	10.0	6.0	6.0	11.0	2.0	7.0	8.0	12.0	7.0	9.0	6.0	8.0	1.0	174.0
Le_DET:ART_le	7.0	6.0	5.0	6.0	2.0	3.0	11.0	8.0	2.0	7.0	8.0	12.0	10.0	6.0	9.0	18.0	15.0	5.0	6.0	7.0	2.0	2.0	3.0	8.0	3.0	171.0
Bolorec_NAM_bolorec	0.0	0.0	0.0	0.0	0.0	7.0	9.0	15.0	8.0	6.0	0.0	5.0	1.0	7.0	23.0	13.0	10.0	0.0	5.0	12.0	2.0	0.0	0.0	29.0	14.0	166.0
si_ADV_si	2.0	3.0	4.0	1.0	13.0	3.0	4.0	6.0	7.0	15.0	5.0	14.0	11.0	11.0	7.0	9.0	3.0	4.0	9.0	5.0	13.0	2.0	8.0	2.0	1.0	162.0
tu_PRO:PER_tu	3.0	8.0	13.0	4.0	3.0	12.0	6.0	25.0	13.0	4.0	0.0	0.0	1.0	6.0	6.0	0.0	2.0	6.0	1.0	0.0	14.0	4.0	17.0	12.0	2.0	162.0
Père_NOM_père	1.0	0.0	1.0	5.0	1.0	0.0	0.0	7.0	12.0	4.0	14.0	21.0	25.0	13.0	9.0	14.0	29.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	162.0
père_NOM_père	5.0	12.0	20.0	1.0	13.0	3.0	6.0	11.0	11.0	3.0	1.0	1.0	1.0	0.0	5.0	3.0	6.0	14.0	14.0	9.0	2.0	15.0	1.0	4.0	0.0	161.0
dont_PRO:REL_dont	9.0	6.0	5.0	10.0	7.0	8.0	6.0	5.0	6.0	9.0	9.0	7.0	2.0	6.0	6.0	10.0	1.0	12.0	3.0	2.0	7.0	6.0	8.0	4.0	0.0	154.0
les_PRO:PER_la|le	4.0	8.0	3.0	4.0	9.0	4.0	9.0	6.0	5.0	7.0	7.0	6.0	3.0	9.0	9.0	7.0	2.0	6.0	4.0	7.0	2.0	2.0	15.0	9.0	1.0	148.0
C'_PRO:DEM_ce	2.0	4.0	9.0	5.0	4.0	2.0	4.0	8.0	7.0	4.0	6.0	5.0	3.0	3.0	5.0	9.0	13.0	7.0	7.0	4.0	9.0	4.0	10.0	4.0	2.0	140.0
enfant_NOM_enfant	4.0	7.0	9.0	3.0	5.0	5.0	2.0	8.0	4.0	6.0	2.0	11.0	18.0	3.0	3.0	12.0	19.0	4.0	0.0	1.0	6.0	4.0	4.0	0.0	0.0	140.0
aussi_ADV_aussi	8.0	7.0	8.0	2.0	5.0	10.0	8.0	7.0	3.0	5.0	5.0	2.0	4.0	8.0	8.0	6.0	5.0	4.0	3.0	8.0	6.0	4.0	5.0	4.0	0.0	135.0
ils_PRO:PER_il	19.0	2.0	14.0	6.0	0.0	8.0	1.0	5.0	6.0	2.0	1.0	5.0	0.0	3.0	9.0	4.0	0.0	8.0	1.0	9.0	1.0	3.0	8.0	11.0	1.0	127.0
rien_ADV_rien	4.0	1.0	2.0	4.0	5.0	12.0	5.0	3.0	6.0	1.0	1.0	3.0	5.0	6.0	6.0	11.0	5.0	10.0	9.0	4.0	5.0	3.0	6.0	7.0	3.0	127.0
encore_ADV_encore	7.0	4.0	2.0	6.0	5.0	5.0	2.0	5.0	5.0	8.0	2.0	3.0	3.0	6.0	4.0	4.0	8.0	3.0	6.0	6.0	5.0	5.0	10.0	7.0	2.0	123.0
Marguerite_NAM_marguerite	0.0	3.0	3.0	0.0	1.0	0.0	1.0	3.0	0.0	3.0	1.0	1.0	1.0	2.0	5.0	0.0	0.0	10.0	0.0	4.0	26.0	21.0	31.0	5.0	0.0	121.0
comme_ADV_comme	4.0	6.0	5.0	4.0	7.0	7.0	7.0	5.0	7.0	7.0	1.0	6.0	4.0	6.0	2.0	1.0	2.0	4.0	6.0	6.0	2.0	6.0	7.0	3.0	5.0	120.0
là_ADV_là	4.0	3.0	8.0	5.0	6.0	2.0	2.0	5.0	8.0	2.0	5.0	1.0	14.0	5.0	5.0	2.0	2.0	5.0	5.0	9.0	4.0	3.0	7.0	4.0	2.0	118.0
Mais_KON_mais	7.0	2.0	4.0	2.0	2.0	5.0	3.0	3.0	7.0	2.0	2.0	3.0	7.0	3.0	10.0	8.0	11.0	4.0	7.0	4.0	3.0	6.0	5.0	3.0	3.0	116.0
Roch_NAM_roch	30.0	8.0	18.0	5.0	4.0	1.0	1.0	3.0	8.0	1.0	4.0	0.0	0.0	0.0	0.0	11.0	11.0	4.0	0.0	0.0	0.0	2.0	2.0	3.0	0.0	116.0
tout_PRO:IND_tout	3.0	9.0	6.0	1.0	8.0	3.0	5.0	6.0	6.0	2.0	4.0	6.0	7.0	5.0	6.0	3.0	4.0	4.0	2.0	7.0	6.0	4.0	5.0	3.0	0.0	115.0
cela_PRO:DEM_cela	2.0	10.0	5.0	3.0	5.0	4.0	3.0	7.0	3.0	0.0	3.0	5.0	4.0	8.0	4.0	3.0	4.0	6.0	6.0	4.0	12.0	3.0	8.0	1.0	1.0	114.0
nous_PRO:PER_nous	0.0	1.0	1.0	2.0	0.0	1.0	3.0	6.0	1.0	1.0	1.0	5.0	2.0	10.0	16.0	9.0	2.0	6.0	9.0	1.0	6.0	10.0	13.0	4.0	1.0	111.0
peu_ADV_peu	3.0	4.0	4.0	6.0	1.0	4.0	2.0	1.0	4.0	2.0	7.0	5.0	3.0	1.0	4.0	4.0	8.0	10.0	6.0	7.0	6.0	8.0	5.0	5.0	0.0	110.0
tous_PRO:IND_tout	6.0	5.0	3.0	5.0	8.0	2.0	2.0	8.0	4.0	5.0	6.0	3.0	4.0	2.0	4.0	5.0	6.0	3.0	1.0	4.0	5.0	3.0	8.0	3.0	1.0	106.0
ou_KON_ou	3.0	5.0	2.0	0.0	9.0	13.0	2.0	3.0	7.0	4.0	6.0	3.0	3.0	3.0	6.0	4.0	1.0	2.0	2.0	8.0	1.0	13.0	3.0	2.0	1.0	106.0
deux_NUM_deux	8.0	4.0	8.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	7.0	5.0	3.0	2.0	5.0	2.0	0.0	6.0	3.0	2.0	4.0	5.0	4.0	8.0	3.0	106.0
La_DET:ART_le	1.0	5.0	3.0	6.0	4.0	2.0	2.0	5.0	2.0	2.0	6.0	5.0	4.0	6.0	3.0	1.0	3.0	4.0	6.0	7.0	3.0	5.0	7.0	11.0	3.0	106.0
suis_VER:pres_suivre|être	0.0	1.0	2.0	2.0	4.0	4.0	0.0	5.0	6.0	2.0	4.0	3.0	6.0	4.0	0.0	3.0	5.0	2.0	18.0	12.0	7.0	3.0	7.0	4.0	1.0	105.0
voix_NOM_voix	2.0	2.0	0.0	2.0	3.0	5.0	5.0	4.0	6.0	9.0	8.0	5.0	8.0	3.0	3.0	2.0	3.0	2.0	2.0	1.0	9.0	1.0	14.0	4.0	2.0	105.0
chose_NOM_chose	0.0	3.0	5.0	1.0	4.0	1.0	1.0	5.0	1.0	3.0	3.0	5.0	6.0	4.0	5.0	5.0	2.0	5.0	2.0	14.0	6.0	8.0	6.0	5.0	4.0	104.0
leurs_DET:POS_leur	4.0	6.0	6.0	10.0	3.0	4.0	5.0	4.0	3.0	4.0	5.0	2.0	6.0	11.0	2.0	1.0	2.0	3.0	1.0	9.0	0.0	2.0	2.0	5.0	3.0	103.0
yeux_NOM_œil	6.0	5.0	5.0	4.0	6.0	3.0	1.0	2.0	4.0	3.0	7.0	5.0	3.0	6.0	6.0	4.0	6.0	8.0	5.0	0.0	6.0	1.0	2.0	4.0	0.0	102.0
sont_VER:pres_être	3.0	4.0	3.0	0.0	1.0	1.0	6.0	2.0	2.0	3.0	3.0	5.0	4.0	5.0	12.0	2.0	0.0	7.0	8.0	13.0	6.0	5.0	3.0	3.0	0.0	101.0
sous_PRP_sous	4.0	3.0	6.0	8.0	2.0	6.0	4.0	4.0	5.0	4.0	5.0	4.0	3.0	5.0	7.0	4.0	2.0	0.0	5.0	1.0	2.0	4.0	1.0	8.0	3.0	100.0
vie_NOM_vie	4.0	7.0	2.0	3.0	3.0	6.0	5.0	5.0	0.0	5.0	7.0	4.0	3.0	1.0	2.0	4.0	3.0	9.0	5.0	4.0	6.0	3.0	3.0	3.0	2.0	99.0
