	Gaboriau_CrimeOrcival_0	Gaboriau_CrimeOrcival_1	Gaboriau_CrimeOrcival_2	Gaboriau_CrimeOrcival_3	Gaboriau_CrimeOrcival_4	Gaboriau_CrimeOrcival_5	Gaboriau_CrimeOrcival_6	Gaboriau_CrimeOrcival_7	Gaboriau_CrimeOrcival_8	Gaboriau_CrimeOrcival_9	Gaboriau_CrimeOrcival_10	Gaboriau_CrimeOrcival_11	Gaboriau_CrimeOrcival_12	Gaboriau_CrimeOrcival_13	Gaboriau_CrimeOrcival_14	Gaboriau_CrimeOrcival_15	Gaboriau_CrimeOrcival_16	Gaboriau_CrimeOrcival_17	Gaboriau_CrimeOrcival_18	Gaboriau_CrimeOrcival_19	Gaboriau_CrimeOrcival_20	Gaboriau_CrimeOrcival_21	Gaboriau_CrimeOrcival_22	Gaboriau_CrimeOrcival_23	Gaboriau_CrimeOrcival_24	Gaboriau_CrimeOrcival_25	Gaboriau_CrimeOrcival_26	Gaboriau_CrimeOrcival_27	Gaboriau_CrimeOrcival_28	Gaboriau_CrimeOrcival_29	Gaboriau_CrimeOrcival_30	Gaboriau_CrimeOrcival_31	Gaboriau_CrimeOrcival_sum
d'_PRP_de	56.0	61.0	71.0	49.0	49.0	59.0	55.0	33.0	45.0	43.0	37.0	35.0	57.0	42.0	49.0	44.0	42.0	44.0	42.0	52.0	38.0	35.0	35.0	49.0	70.0	61.0	54.0	46.0	47.0	34.0	44.0	5.0	1483.0
l'_DET:ART_le	39.0	31.0	29.0	44.0	53.0	50.0	56.0	54.0	40.0	46.0	54.0	63.0	35.0	38.0	34.0	38.0	38.0	37.0	36.0	33.0	28.0	43.0	54.0	57.0	69.0	52.0	58.0	41.0	38.0	41.0	41.0	7.0	1377.0
les_DET:ART_le	43.0	59.0	45.0	57.0	38.0	44.0	65.0	44.0	47.0	64.0	51.0	41.0	40.0	46.0	45.0	35.0	46.0	34.0	28.0	32.0	38.0	39.0	21.0	42.0	27.0	25.0	39.0	23.0	21.0	36.0	12.0	3.0	1230.0
est_VER:pres_être	38.0	39.0	31.0	49.0	64.0	47.0	44.0	37.0	51.0	57.0	56.0	48.0	35.0	19.0	19.0	26.0	31.0	29.0	21.0	20.0	19.0	28.0	37.0	25.0	44.0	40.0	62.0	48.0	50.0	52.0	49.0	7.0	1222.0
que_KON_que	18.0	33.0	36.0	40.0	39.0	32.0	32.0	38.0	30.0	44.0	47.0	31.0	27.0	24.0	37.0	34.0	42.0	41.0	18.0	37.0	48.0	48.0	46.0	41.0	37.0	41.0	36.0	38.0	34.0	32.0	36.0	3.0	1120.0
pas_ADV_pas	22.0	20.0	28.0	42.0	48.0	35.0	38.0	23.0	43.0	33.0	31.0	45.0	23.0	50.0	38.0	36.0	36.0	40.0	36.0	52.0	32.0	30.0	31.0	43.0	42.0	30.0	28.0	41.0	32.0	28.0	32.0	2.0	1090.0
une_DET:ART_un	35.0	27.0	41.0	29.0	31.0	44.0	30.0	31.0	27.0	36.0	27.0	38.0	36.0	36.0	39.0	37.0	40.0	46.0	37.0	40.0	35.0	26.0	32.0	27.0	34.0	30.0	34.0	24.0	38.0	34.0	34.0	4.0	1059.0
ne_ADV_ne	17.0	24.0	27.0	37.0	41.0	32.0	31.0	27.0	33.0	26.0	25.0	30.0	37.0	40.0	33.0	34.0	48.0	53.0	36.0	55.0	48.0	34.0	43.0	36.0	33.0	28.0	30.0	38.0	31.0	27.0	23.0	2.0	1059.0
qui_PRO:REL_qui	22.0	25.0	25.0	38.0	28.0	41.0	26.0	35.0	48.0	32.0	21.0	53.0	29.0	40.0	37.0	32.0	18.0	28.0	31.0	41.0	25.0	29.0	38.0	26.0	30.0	23.0	34.0	29.0	27.0	26.0	33.0	4.0	974.0
!_SENT_!	39.0	35.0	30.0	26.0	29.0	27.0	24.0	43.0	34.0	23.0	12.0	17.0	25.0	36.0	35.0	40.0	28.0	41.0	30.0	17.0	28.0	49.0	36.0	22.0	16.0	17.0	29.0	37.0	36.0	19.0	29.0	4.0	913.0
se_PRO:PER_se	25.0	25.0	28.0	31.0	24.0	32.0	11.0	24.0	19.0	19.0	32.0	20.0	25.0	50.0	37.0	29.0	50.0	40.0	51.0	47.0	37.0	24.0	30.0	25.0	29.0	25.0	27.0	17.0	13.0	25.0	28.0	4.0	903.0
s'_PRO:PER_se	31.0	26.0	32.0	26.0	33.0	33.0	26.0	30.0	31.0	16.0	31.0	24.0	26.0	38.0	27.0	34.0	27.0	23.0	33.0	20.0	26.0	33.0	34.0	40.0	30.0	29.0	32.0	18.0	20.0	24.0	30.0	6.0	889.0
n'_ADV_ne	25.0	18.0	35.0	29.0	31.0	28.0	36.0	20.0	29.0	31.0	24.0	27.0	29.0	32.0	33.0	31.0	36.0	29.0	26.0	35.0	27.0	27.0	20.0	33.0	35.0	25.0	22.0	29.0	18.0	18.0	26.0	4.0	868.0
je_PRO:PER_je	5.0	17.0	20.0	34.0	30.0	24.0	21.0	32.0	35.0	54.0	11.0	39.0	23.0	16.0	14.0	14.0	19.0	46.0	12.0	17.0	31.0	43.0	30.0	18.0	20.0	22.0	21.0	70.0	31.0	43.0	36.0	5.0	853.0
son_DET:POS_son	31.0	23.0	26.0	19.0	17.0	21.0	19.0	20.0	21.0	10.0	30.0	16.0	45.0	29.0	38.0	44.0	46.0	31.0	39.0	42.0	28.0	27.0	27.0	30.0	28.0	18.0	22.0	22.0	26.0	14.0	30.0	4.0	843.0
du_PRP:det_du	33.0	35.0	33.0	26.0	29.0	28.0	26.0	35.0	26.0	21.0	39.0	33.0	27.0	24.0	20.0	19.0	14.0	11.0	17.0	21.0	17.0	25.0	21.0	32.0	39.0	27.0	24.0	18.0	16.0	37.0	21.0	4.0	798.0
était_VER:impf_être	24.0	29.0	28.0	25.0	19.0	17.0	14.0	27.0	18.0	20.0	10.0	13.0	30.0	39.0	31.0	32.0	31.0	32.0	53.0	36.0	18.0	24.0	27.0	36.0	20.0	18.0	20.0	20.0	25.0	13.0	32.0	3.0	784.0
lui_PRO:PER_lui	16.0	15.0	23.0	11.0	19.0	9.0	19.0	16.0	24.0	9.0	25.0	21.0	26.0	36.0	41.0	23.0	39.0	37.0	53.0	34.0	34.0	19.0	20.0	33.0	18.0	36.0	17.0	26.0	20.0	24.0	23.0	5.0	771.0
des_PRP:det_du	26.0	28.0	28.0	36.0	23.0	25.0	17.0	19.0	28.0	36.0	23.0	25.0	27.0	21.0	27.0	37.0	26.0	15.0	17.0	16.0	30.0	24.0	15.0	18.0	20.0	23.0	26.0	22.0	18.0	20.0	21.0	3.0	740.0
?_SENT_?	23.0	14.0	16.0	20.0	12.0	26.0	24.0	7.0	15.0	13.0	18.0	20.0	13.0	21.0	16.0	19.0	21.0	34.0	29.0	33.0	39.0	27.0	12.0	15.0	32.0	45.0	32.0	42.0	39.0	29.0	27.0	2.0	735.0
Il_PRO:PER_il	26.0	14.0	13.0	26.0	13.0	24.0	20.0	16.0	20.0	14.0	24.0	18.0	27.0	51.0	25.0	19.0	25.0	26.0	54.0	45.0	30.0	18.0	19.0	17.0	22.0	21.0	30.0	10.0	10.0	23.0	20.0	0.0	720.0
en_PRP_en	28.0	24.0	13.0	32.0	26.0	22.0	17.0	25.0	18.0	33.0	21.0	12.0	20.0	29.0	15.0	31.0	26.0	19.0	21.0	23.0	18.0	25.0	22.0	26.0	29.0	22.0	17.0	14.0	26.0	37.0	19.0	7.0	717.0
elle_PRO:PER_elle	2.0	8.0	5.0	4.0	2.0	13.0	5.0	14.0	16.0	20.0	13.0	6.0	32.0	15.0	44.0	40.0	64.0	60.0	37.0	30.0	48.0	27.0	19.0	15.0	4.0	18.0	11.0	37.0	52.0	5.0	42.0	2.0	710.0
vous_PRO:PER_vous	13.0	18.0	6.0	41.0	18.0	11.0	23.0	25.0	35.0	21.0	10.0	17.0	11.0	0.0	8.0	3.0	1.0	44.0	3.0	33.0	27.0	44.0	30.0	23.0	26.0	27.0	16.0	41.0	53.0	46.0	29.0	3.0	706.0
plus_ADV_plus	12.0	28.0	28.0	26.0	14.0	14.0	20.0	25.0	16.0	23.0	9.0	15.0	25.0	17.0	36.0	28.0	29.0	23.0	24.0	32.0	33.0	24.0	15.0	15.0	28.0	15.0	20.0	25.0	14.0	15.0	19.0	1.0	668.0
ce_PRO:DEM_ce	13.0	21.0	15.0	26.0	19.0	21.0	22.0	22.0	23.0	23.0	18.0	26.0	14.0	22.0	32.0	19.0	17.0	14.0	18.0	19.0	27.0	19.0	26.0	21.0	22.0	22.0	20.0	34.0	20.0	33.0	8.0	0.0	656.0
avait_VER:impf_avoir	19.0	34.0	26.0	15.0	9.0	8.0	23.0	17.0	11.0	22.0	11.0	9.0	23.0	34.0	44.0	21.0	32.0	16.0	42.0	38.0	25.0	25.0	16.0	29.0	20.0	17.0	9.0	7.0	20.0	14.0	16.0	1.0	653.0
dans_PRP_dans	31.0	24.0	19.0	23.0	24.0	21.0	20.0	15.0	19.0	13.0	32.0	24.0	31.0	25.0	16.0	14.0	17.0	23.0	23.0	13.0	20.0	21.0	26.0	24.0	16.0	15.0	17.0	19.0	17.0	20.0	21.0	3.0	646.0
a_VER:pres_avoir	26.0	14.0	15.0	20.0	21.0	31.0	39.0	37.0	26.0	11.0	48.0	20.0	11.0	6.0	11.0	10.0	4.0	21.0	9.0	11.0	9.0	12.0	30.0	34.0	27.0	16.0	38.0	19.0	26.0	26.0	17.0	0.0	645.0
sa_DET:POS_son	15.0	13.0	29.0	12.0	13.0	15.0	7.0	18.0	16.0	12.0	30.0	24.0	20.0	33.0	22.0	27.0	35.0	21.0	33.0	27.0	21.0	16.0	25.0	22.0	17.0	14.0	7.0	19.0	23.0	12.0	26.0	3.0	627.0
pour_PRP_pour	18.0	28.0	18.0	19.0	14.0	17.0	19.0	16.0	16.0	21.0	24.0	16.0	16.0	18.0	23.0	28.0	33.0	18.0	20.0	20.0	14.0	28.0	21.0	22.0	20.0	21.0	19.0	17.0	23.0	23.0	15.0	2.0	627.0
qu'_KON_que	14.0	15.0	24.0	19.0	20.0	18.0	14.0	14.0	12.0	16.0	31.0	9.0	21.0	14.0	15.0	18.0	18.0	26.0	30.0	29.0	32.0	19.0	17.0	20.0	19.0	22.0	20.0	20.0	18.0	24.0	23.0	1.0	612.0
au_PRP:det_au	21.0	26.0	22.0	18.0	21.0	12.0	16.0	27.0	17.0	29.0	20.0	22.0	21.0	21.0	26.0	23.0	15.0	5.0	18.0	19.0	13.0	10.0	12.0	18.0	18.0	15.0	8.0	21.0	18.0	24.0	26.0	5.0	587.0
bien_ADV_bien	22.0	18.0	13.0	22.0	19.0	19.0	17.0	18.0	21.0	11.0	12.0	15.0	16.0	16.0	24.0	15.0	20.0	19.0	21.0	17.0	20.0	11.0	20.0	26.0	23.0	13.0	14.0	8.0	27.0	27.0	19.0	2.0	565.0
qu'_PRO:REL_que	15.0	12.0	11.0	15.0	14.0	18.0	18.0	14.0	11.0	21.0	23.0	11.0	18.0	16.0	34.0	16.0	26.0	22.0	26.0	24.0	13.0	16.0	12.0	22.0	17.0	19.0	19.0	28.0	16.0	19.0	14.0	2.0	562.0
le_PRO:PER_le	9.0	9.0	19.0	16.0	12.0	7.0	16.0	12.0	15.0	11.0	13.0	13.0	11.0	21.0	19.0	16.0	23.0	28.0	25.0	26.0	18.0	16.0	13.0	16.0	13.0	16.0	18.0	26.0	16.0	25.0	17.0	1.0	516.0
on_PRO:PER_on	22.0	28.0	21.0	27.0	42.0	21.0	12.0	14.0	14.0	26.0	19.0	14.0	8.0	20.0	22.0	17.0	8.0	15.0	14.0	6.0	16.0	8.0	13.0	9.0	9.0	14.0	17.0	16.0	9.0	9.0	9.0	0.0	499.0
l'_PRO:PER_la|le	9.0	14.0	14.0	7.0	8.0	13.0	11.0	9.0	15.0	11.0	14.0	15.0	18.0	16.0	21.0	20.0	17.0	26.0	27.0	23.0	25.0	19.0	19.0	5.0	12.0	10.0	10.0	21.0	15.0	20.0	28.0	2.0	494.0
ses_DET:POS_son	10.0	18.0	21.0	13.0	14.0	8.0	7.0	7.0	18.0	6.0	18.0	16.0	21.0	23.0	19.0	15.0	23.0	20.0	28.0	21.0	24.0	14.0	15.0	15.0	12.0	12.0	20.0	14.0	11.0	8.0	22.0	1.0	494.0
sur_PRP_sur	12.0	16.0	6.0	11.0	20.0	24.0	16.0	18.0	17.0	13.0	17.0	13.0	14.0	29.0	9.0	13.0	12.0	11.0	19.0	11.0	11.0	14.0	17.0	12.0	21.0	9.0	12.0	9.0	7.0	12.0	13.0	2.0	440.0
me_PRO:PER_me	4.0	4.0	13.0	14.0	17.0	16.0	10.0	16.0	21.0	18.0	5.0	13.0	12.0	7.0	4.0	11.0	8.0	26.0	12.0	14.0	12.0	28.0	15.0	7.0	5.0	9.0	16.0	50.0	20.0	18.0	10.0	2.0	437.0
:_PUN_:	6.0	14.0	21.0	12.0	13.0	13.0	17.0	18.0	14.0	18.0	4.0	12.0	11.0	12.0	12.0	8.0	10.0	17.0	19.0	7.0	10.0	19.0	15.0	15.0	11.0	12.0	12.0	12.0	12.0	11.0	11.0	2.0	400.0
;_PUN_;	18.0	26.0	20.0	13.0	14.0	9.0	11.0	8.0	12.0	18.0	11.0	11.0	7.0	8.0	14.0	10.0	10.0	12.0	11.0	7.0	12.0	9.0	14.0	15.0	10.0	11.0	10.0	8.0	11.0	7.0	20.0	2.0	379.0
cette_PRO:DEM_ce	9.0	6.0	8.0	11.0	17.0	13.0	15.0	11.0	8.0	10.0	14.0	14.0	9.0	13.0	11.0	10.0	10.0	13.0	18.0	18.0	17.0	11.0	13.0	12.0	17.0	10.0	17.0	10.0	15.0	6.0	8.0	1.0	375.0
-_PUN_-	10.0	12.0	15.0	13.0	12.0	13.0	17.0	7.0	11.0	7.0	1.0	13.0	4.0	9.0	7.0	10.0	6.0	16.0	6.0	13.0	10.0	9.0	17.0	6.0	14.0	21.0	12.0	9.0	19.0	13.0	20.0	1.0	353.0
ai_VER:pres_avoir	3.0	4.0	7.0	15.0	7.0	10.0	8.0	9.0	19.0	16.0	9.0	12.0	11.0	2.0	7.0	19.0	4.0	18.0	4.0	9.0	9.0	24.0	17.0	3.0	6.0	10.0	12.0	20.0	24.0	9.0	17.0	3.0	347.0
en_PRO:PER_en	11.0	7.0	12.0	19.0	5.0	13.0	14.0	8.0	6.0	8.0	7.0	12.0	10.0	8.0	10.0	12.0	16.0	21.0	10.0	9.0	17.0	18.0	11.0	9.0	9.0	10.0	13.0	6.0	9.0	11.0	14.0	1.0	346.0
..._PUN_...	11.0	9.0	11.0	22.0	9.0	11.0	12.0	16.0	13.0	4.0	4.0	11.0	14.0	9.0	20.0	11.0	0.0	9.0	12.0	8.0	12.0	16.0	15.0	3.0	8.0	9.0	7.0	12.0	14.0	10.0	21.0	2.0	345.0
Le_DET:ART_le	19.0	21.0	19.0	17.0	5.0	15.0	12.0	13.0	21.0	14.0	11.0	16.0	14.0	10.0	5.0	3.0	5.0	7.0	7.0	7.0	4.0	9.0	6.0	17.0	11.0	11.0	14.0	7.0	4.0	6.0	10.0	2.0	342.0
que_PRO:REL_que	11.0	6.0	3.0	12.0	6.0	10.0	12.0	4.0	9.0	15.0	9.0	15.0	12.0	6.0	9.0	8.0	12.0	14.0	5.0	5.0	9.0	17.0	12.0	10.0	11.0	12.0	12.0	23.0	18.0	16.0	15.0	1.0	339.0
juge_NOM_juge	7.0	22.0	24.0	16.0	18.0	18.0	27.0	18.0	22.0	8.0	3.0	12.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	8.0	24.0	25.0	20.0	12.0	11.0	7.0	9.0	6.0	2.0	325.0
j'_PRO:PER_je	3.0	5.0	10.0	11.0	11.0	10.0	6.0	9.0	15.0	18.0	9.0	6.0	5.0	5.0	2.0	16.0	4.0	14.0	2.0	3.0	7.0	20.0	15.0	4.0	8.0	12.0	18.0	24.0	25.0	14.0	10.0	2.0	323.0
par_PRP_par	7.0	12.0	11.0	11.0	5.0	16.0	14.0	9.0	5.0	7.0	14.0	13.0	14.0	9.0	6.0	9.0	18.0	7.0	9.0	11.0	7.0	13.0	18.0	16.0	11.0	9.0	11.0	2.0	10.0	6.0	10.0	1.0	321.0
père_NOM_père	14.0	11.0	16.0	16.0	14.0	23.0	24.0	21.0	19.0	15.0	8.0	14.0	4.0	0.0	4.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	11.0	18.0	9.0	9.0	16.0	15.0	10.0	12.0	9.0	6.0	321.0
mais_KON_mais	2.0	8.0	7.0	7.0	14.0	7.0	11.0	9.0	5.0	17.0	3.0	7.0	9.0	8.0	10.0	16.0	14.0	10.0	11.0	13.0	8.0	13.0	9.0	10.0	19.0	8.0	9.0	13.0	6.0	21.0	15.0	1.0	320.0
nous_PRO:PER_nous	20.0	10.0	3.0	5.0	14.0	23.0	10.0	12.0	13.0	4.0	13.0	19.0	1.0	15.0	4.0	10.0	4.0	3.0	1.0	0.0	15.0	1.0	4.0	13.0	12.0	9.0	22.0	10.0	12.0	24.0	8.0	0.0	314.0
«_PUN:cit_«	3.0	3.0	29.0	12.0	2.0	10.0	2.0	7.0	4.0	7.0	67.0	30.0	6.0	12.0	3.0	7.0	11.0	9.0	14.0	3.0	5.0	3.0	9.0	3.0	6.0	4.0	5.0	16.0	8.0	8.0	2.0	2.0	312.0
tout_ADV_tout	13.0	7.0	12.0	7.0	16.0	8.0	12.0	8.0	10.0	7.0	9.0	10.0	11.0	11.0	14.0	12.0	4.0	8.0	18.0	11.0	10.0	8.0	12.0	10.0	8.0	5.0	8.0	13.0	9.0	7.0	8.0	0.0	306.0
c'_PRO:DEM_ce	14.0	7.0	5.0	6.0	14.0	12.0	13.0	10.0	9.0	13.0	10.0	8.0	12.0	4.0	4.0	4.0	6.0	11.0	14.0	8.0	4.0	12.0	18.0	9.0	9.0	9.0	11.0	9.0	18.0	8.0	14.0	1.0	306.0
Plantat_NAM_plantat	9.0	10.0	16.0	12.0	13.0	21.0	25.0	19.0	15.0	14.0	7.0	14.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	11.0	17.0	7.0	9.0	15.0	13.0	10.0	14.0	9.0	5.0	291.0
y_PRO:PER_y	20.0	14.0	5.0	11.0	8.0	16.0	19.0	11.0	4.0	6.0	6.0	7.0	7.0	14.0	9.0	12.0	8.0	7.0	7.0	9.0	11.0	6.0	10.0	9.0	6.0	9.0	5.0	6.0	10.0	8.0	7.0	1.0	288.0
avec_PRP_avec	7.0	15.0	9.0	9.0	9.0	11.0	8.0	10.0	7.0	6.0	5.0	14.0	13.0	8.0	6.0	20.0	8.0	9.0	11.0	12.0	10.0	8.0	8.0	2.0	7.0	12.0	2.0	7.0	10.0	4.0	12.0	3.0	282.0
monsieur_NOM_monsieur	10.0	12.0	14.0	4.0	11.0	19.0	25.0	13.0	8.0	4.0	4.0	8.0	2.0	0.0	4.0	1.0	0.0	6.0	0.0	0.0	0.0	0.0	8.0	17.0	23.0	16.0	15.0	15.0	15.0	18.0	7.0	0.0	279.0
Lecoq_NAM_lecoq	0.0	0.0	0.0	2.0	24.0	17.0	16.0	12.0	10.0	16.0	14.0	15.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	14.0	15.0	17.0	15.0	11.0	18.0	20.0	20.0	2.0	271.0
M_NOM_m	17.0	10.0	8.0	9.0	16.0	14.0	17.0	17.0	9.0	8.0	9.0	13.0	2.0	0.0	0.0	2.0	1.0	4.0	0.0	2.0	1.0	0.0	8.0	11.0	23.0	15.0	9.0	8.0	6.0	14.0	16.0	1.0	270.0
M_VER:pper_m	8.0	10.0	6.0	9.0	31.0	12.0	17.0	14.0	8.0	9.0	8.0	15.0	3.0	0.0	2.0	2.0	3.0	0.0	0.0	1.0	0.0	0.0	7.0	7.0	16.0	13.0	12.0	10.0	12.0	11.0	10.0	3.0	259.0
Trémorel_NAM_trémorel	9.0	8.0	12.0	5.0	3.0	4.0	3.0	4.0	5.0	6.0	18.0	9.0	9.0	8.0	12.0	9.0	13.0	5.0	5.0	12.0	7.0	13.0	8.0	6.0	6.0	5.0	12.0	9.0	10.0	7.0	12.0	2.0	256.0
m'_PRO:PER_me	6.0	2.0	7.0	8.0	6.0	10.0	7.0	5.0	9.0	6.0	2.0	8.0	3.0	1.0	3.0	10.0	7.0	18.0	4.0	11.0	5.0	21.0	13.0	3.0	9.0	10.0	6.0	25.0	11.0	13.0	6.0	0.0	255.0
Sauvresy_NAM_sauvresy	0.0	5.0	17.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0	0.0	0.0	20.0	26.0	16.0	29.0	17.0	17.0	20.0	20.0	33.0	6.0	1.0	4.0	0.0	4.0	2.0	1.0	8.0	0.0	254.0
homme_NOM_homme	15.0	6.0	8.0	10.0	5.0	9.0	6.0	7.0	13.0	6.0	2.0	12.0	6.0	8.0	9.0	4.0	8.0	3.0	7.0	5.0	6.0	8.0	5.0	11.0	14.0	4.0	16.0	15.0	5.0	7.0	6.0	1.0	247.0
sans_PRP_sans	10.0	5.0	8.0	2.0	4.0	10.0	4.0	3.0	6.0	7.0	15.0	10.0	10.0	15.0	9.0	6.0	7.0	6.0	11.0	9.0	11.0	8.0	6.0	11.0	7.0	6.0	2.0	11.0	6.0	7.0	9.0	0.0	241.0
Hector_NAM_hector	0.0	0.0	8.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	14.0	9.0	20.0	22.0	29.0	14.0	16.0	17.0	22.0	12.0	14.0	1.0	2.0	2.0	6.0	3.0	8.0	3.0	12.0	0.0	238.0
mon_DET:POS_mon	5.0	1.0	1.0	13.0	2.0	8.0	7.0	11.0	13.0	14.0	2.0	6.0	3.0	3.0	9.0	5.0	7.0	8.0	3.0	1.0	10.0	12.0	8.0	4.0	10.0	6.0	9.0	21.0	10.0	13.0	7.0	0.0	232.0
si_ADV_si	2.0	7.0	6.0	5.0	6.0	5.0	2.0	13.0	11.0	3.0	14.0	6.0	8.0	4.0	8.0	5.0	16.0	7.0	9.0	9.0	13.0	5.0	12.0	3.0	9.0	9.0	1.0	11.0	6.0	10.0	6.0	0.0	231.0
comme_KON_comme	6.0	5.0	7.0	7.0	7.0	8.0	6.0	10.0	6.0	5.0	3.0	3.0	8.0	6.0	3.0	10.0	10.0	8.0	6.0	7.0	8.0	17.0	10.0	7.0	3.0	2.0	10.0	7.0	9.0	8.0	12.0	0.0	224.0
Et_KON_et	6.0	10.0	6.0	7.0	6.0	5.0	5.0	3.0	8.0	5.0	5.0	5.0	7.0	10.0	11.0	7.0	13.0	15.0	9.0	6.0	4.0	10.0	6.0	4.0	5.0	6.0	6.0	8.0	8.0	4.0	4.0	0.0	214.0
été_VER:pper_être	6.0	12.0	3.0	6.0	7.0	12.0	12.0	16.0	5.0	13.0	14.0	3.0	1.0	3.0	3.0	3.0	6.0	4.0	6.0	2.0	2.0	7.0	17.0	10.0	8.0	7.0	5.0	4.0	7.0	5.0	2.0	0.0	211.0
Elle_PRO:PER_elle	0.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	4.0	8.0	1.0	0.0	9.0	5.0	15.0	15.0	20.0	20.0	14.0	10.0	17.0	11.0	10.0	3.0	1.0	4.0	4.0	10.0	13.0	0.0	7.0	1.0	210.0
moi_PRO:PER_moi	3.0	2.0	6.0	11.0	9.0	8.0	1.0	6.0	15.0	14.0	4.0	5.0	6.0	4.0	4.0	7.0	4.0	13.0	3.0	1.0	7.0	15.0	6.0	3.0	6.0	9.0	5.0	6.0	11.0	11.0	3.0	1.0	209.0
