	Malot_Cara_0	Malot_Cara_1	Malot_Cara_2	Malot_Cara_3	Malot_Cara_4	Malot_Cara_5	Malot_Cara_6	Malot_Cara_7	Malot_Cara_8	Malot_Cara_9	Malot_Cara_10	Malot_Cara_11	Malot_Cara_12	Malot_Cara_13	Malot_Cara_14	Malot_Cara_15	Malot_Cara_16	Malot_Cara_17	Malot_Cara_18	Malot_Cara_19	Malot_Cara_20	Malot_Cara_21	Malot_Cara_22	Malot_Cara_23	Malot_Cara_24	Malot_Cara_25	Malot_Cara_26	Malot_Cara_sum
--_PUN_--	50.0	53.0	64.0	103.0	65.0	56.0	25.0	56.0	80.0	69.0	62.0	85.0	74.0	30.0	27.0	34.0	54.0	47.0	31.0	55.0	76.0	41.0	27.0	48.0	58.0	51.0	42.0	1463.0
pas_ADV_pas	41.0	33.0	48.0	65.0	54.0	74.0	38.0	54.0	51.0	41.0	49.0	47.0	61.0	76.0	59.0	52.0	49.0	52.0	52.0	61.0	72.0	47.0	53.0	57.0	56.0	56.0	45.0	1443.0
que_KON_que	32.0	41.0	40.0	54.0	51.0	63.0	37.0	38.0	43.0	50.0	35.0	59.0	65.0	57.0	35.0	61.0	56.0	58.0	79.0	69.0	78.0	57.0	54.0	59.0	57.0	45.0	58.0	1431.0
le_DET:ART_le	74.0	49.0	62.0	59.0	33.0	34.0	42.0	50.0	32.0	39.0	67.0	48.0	42.0	48.0	28.0	49.0	48.0	45.0	48.0	42.0	53.0	57.0	59.0	37.0	40.0	48.0	59.0	1292.0
ne_ADV_ne	29.0	38.0	30.0	52.0	50.0	67.0	43.0	48.0	24.0	40.0	48.0	41.0	44.0	62.0	48.0	52.0	38.0	47.0	47.0	51.0	58.0	41.0	39.0	41.0	52.0	64.0	56.0	1250.0
qui_PRO:REL_qui	42.0	40.0	60.0	36.0	34.0	39.0	53.0	36.0	30.0	45.0	47.0	38.0	64.0	57.0	46.0	41.0	43.0	36.0	38.0	28.0	45.0	49.0	35.0	35.0	34.0	32.0	39.0	1122.0
un_DET:ART_un	51.0	35.0	46.0	30.0	35.0	34.0	57.0	49.0	40.0	44.0	50.0	44.0	43.0	48.0	51.0	46.0	40.0	31.0	39.0	25.0	30.0	35.0	47.0	24.0	48.0	39.0	35.0	1096.0
n'_ADV_ne	40.0	30.0	29.0	40.0	43.0	43.0	30.0	33.0	48.0	28.0	25.0	33.0	42.0	51.0	34.0	38.0	45.0	42.0	44.0	45.0	56.0	42.0	50.0	56.0	38.0	36.0	27.0	1068.0
je_PRO:PER_je	29.0	53.0	16.0	40.0	39.0	28.0	35.0	35.0	24.0	34.0	38.0	30.0	42.0	42.0	18.0	23.0	40.0	59.0	60.0	58.0	52.0	56.0	31.0	42.0	54.0	31.0	47.0	1056.0
d'_PRP_de	51.0	47.0	38.0	39.0	40.0	26.0	40.0	33.0	34.0	55.0	36.0	41.0	45.0	43.0	44.0	46.0	31.0	37.0	46.0	42.0	34.0	23.0	48.0	26.0	33.0	36.0	37.0	1051.0
l'_DET:ART_le	52.0	45.0	39.0	26.0	38.0	40.0	34.0	38.0	22.0	55.0	36.0	24.0	34.0	27.0	49.0	42.0	36.0	37.0	42.0	23.0	51.0	41.0	51.0	42.0	30.0	45.0	49.0	1048.0
une_DET:ART_un	48.0	42.0	34.0	35.0	34.0	41.0	41.0	39.0	25.0	52.0	58.0	49.0	34.0	42.0	40.0	33.0	37.0	37.0	34.0	30.0	39.0	30.0	39.0	30.0	26.0	33.0	42.0	1024.0
ce_PRO:DEM_ce	31.0	23.0	30.0	29.0	33.0	43.0	27.0	47.0	27.0	23.0	45.0	31.0	47.0	47.0	46.0	36.0	38.0	38.0	42.0	32.0	48.0	47.0	43.0	37.0	48.0	46.0	36.0	1020.0
était_VER:impf_être	44.0	29.0	41.0	34.0	32.0	60.0	53.0	30.0	36.0	40.0	32.0	38.0	34.0	40.0	57.0	43.0	32.0	23.0	28.0	37.0	21.0	50.0	51.0	33.0	39.0	39.0	23.0	1019.0
est_VER:pres_être	24.0	24.0	25.0	53.0	29.0	28.0	19.0	38.0	46.0	51.0	25.0	28.0	51.0	46.0	14.0	37.0	38.0	51.0	36.0	23.0	61.0	20.0	23.0	72.0	43.0	17.0	27.0	949.0
les_DET:ART_le	63.0	54.0	48.0	23.0	40.0	32.0	35.0	30.0	18.0	42.0	42.0	42.0	26.0	33.0	50.0	32.0	36.0	16.0	36.0	30.0	28.0	32.0	27.0	30.0	28.0	31.0	36.0	940.0
avait_VER:impf_avoir	48.0	22.0	23.0	28.0	35.0	36.0	45.0	31.0	25.0	22.0	32.0	44.0	30.0	46.0	45.0	47.0	29.0	27.0	29.0	46.0	25.0	44.0	51.0	22.0	26.0	43.0	14.0	915.0
pour_PRP_pour	32.0	33.0	31.0	23.0	39.0	40.0	37.0	33.0	30.0	27.0	26.0	37.0	29.0	28.0	36.0	40.0	27.0	40.0	31.0	30.0	43.0	36.0	30.0	51.0	38.0	25.0	32.0	904.0
lui_PRO:PER_lui	22.0	18.0	24.0	29.0	24.0	36.0	39.0	22.0	31.0	18.0	32.0	30.0	33.0	44.0	55.0	33.0	36.0	33.0	33.0	35.0	21.0	44.0	33.0	35.0	31.0	33.0	23.0	847.0
dans_PRP_dans	42.0	31.0	25.0	27.0	22.0	30.0	36.0	31.0	30.0	32.0	46.0	32.0	25.0	28.0	25.0	29.0	37.0	22.0	27.0	26.0	19.0	38.0	30.0	15.0	34.0	33.0	36.0	808.0
en_PRP_en	38.0	31.0	31.0	35.0	38.0	16.0	27.0	28.0	22.0	33.0	26.0	28.0	28.0	14.0	31.0	29.0	30.0	16.0	23.0	26.0	28.0	38.0	43.0	29.0	34.0	25.0	39.0	786.0
vous_PRO:PER_vous	16.0	4.0	10.0	8.0	8.0	18.0	22.0	85.0	67.0	23.0	59.0	31.0	29.0	1.0	29.0	10.0	32.0	31.0	56.0	16.0	27.0	0.0	3.0	112.0	23.0	18.0	24.0	762.0
se_PRO:PER_se	13.0	22.0	46.0	28.0	20.0	36.0	29.0	38.0	18.0	35.0	44.0	36.0	26.0	25.0	29.0	26.0	19.0	28.0	32.0	25.0	18.0	34.0	28.0	21.0	29.0	29.0	27.0	761.0
son_DET:POS_son	27.0	33.0	25.0	30.0	51.0	51.0	48.0	24.0	29.0	21.0	22.0	24.0	27.0	12.0	40.0	27.0	17.0	11.0	20.0	26.0	15.0	29.0	25.0	29.0	28.0	27.0	20.0	738.0
qu'_PRO:REL_que	20.0	15.0	28.0	28.0	27.0	26.0	32.0	22.0	32.0	20.0	37.0	20.0	28.0	30.0	49.0	31.0	28.0	20.0	19.0	20.0	22.0	29.0	36.0	27.0	16.0	23.0	16.0	701.0
qu'_KON_que	22.0	17.0	24.0	18.0	29.0	32.0	31.0	20.0	17.0	26.0	19.0	18.0	26.0	31.0	29.0	27.0	24.0	21.0	26.0	23.0	36.0	29.0	33.0	28.0	25.0	21.0	13.0	665.0
:_PUN_:	24.0	16.0	26.0	30.0	23.0	20.0	18.0	34.0	17.0	23.0	20.0	17.0	11.0	34.0	30.0	34.0	26.0	21.0	24.0	23.0	28.0	30.0	27.0	15.0	25.0	24.0	33.0	653.0
s'_PRO:PER_se	19.0	20.0	48.0	20.0	17.0	28.0	27.0	30.0	20.0	42.0	20.0	24.0	24.0	21.0	35.0	16.0	23.0	17.0	16.0	24.0	19.0	23.0	29.0	21.0	27.0	21.0	20.0	651.0
?_SENT_?	9.0	13.0	31.0	28.0	26.0	25.0	21.0	20.0	33.0	16.0	12.0	34.0	23.0	22.0	14.0	18.0	29.0	28.0	18.0	29.0	28.0	27.0	27.0	24.0	34.0	27.0	17.0	633.0
des_PRP:det_du	27.0	30.0	28.0	21.0	19.0	20.0	26.0	25.0	24.0	27.0	30.0	19.0	37.0	21.0	30.0	22.0	17.0	13.0	15.0	14.0	18.0	15.0	16.0	13.0	12.0	21.0	13.0	573.0
plus_ADV_plus	18.0	22.0	17.0	19.0	21.0	17.0	22.0	26.0	10.0	16.0	23.0	19.0	17.0	20.0	22.0	27.0	14.0	31.0	29.0	11.0	22.0	17.0	24.0	17.0	22.0	16.0	15.0	534.0
que_PRO:REL_que	5.0	18.0	7.0	22.0	20.0	24.0	16.0	25.0	12.0	14.0	11.0	16.0	20.0	30.0	16.0	14.0	22.0	19.0	20.0	24.0	30.0	23.0	20.0	29.0	27.0	15.0	21.0	520.0
Léon_NAM_léon	25.0	11.0	30.0	24.0	16.0	8.0	10.0	0.0	7.0	27.0	12.0	9.0	38.0	16.0	21.0	21.0	25.0	29.0	23.0	23.0	17.0	17.0	19.0	37.0	19.0	16.0	20.0	520.0
l'_PRO:PER_la|le	14.0	17.0	13.0	16.0	21.0	16.0	25.0	18.0	18.0	21.0	20.0	13.0	22.0	24.0	16.0	24.0	19.0	22.0	13.0	29.0	13.0	19.0	19.0	20.0	23.0	22.0	21.0	518.0
tu_PRO:PER_tu	9.0	6.0	12.0	34.0	52.0	26.0	6.0	5.0	7.0	3.0	4.0	16.0	12.0	28.0	7.0	11.0	26.0	25.0	0.0	45.0	53.0	40.0	20.0	0.0	18.0	29.0	14.0	508.0
par_PRP_par	19.0	29.0	28.0	8.0	16.0	14.0	17.0	18.0	15.0	19.0	15.0	18.0	18.0	30.0	14.0	25.0	25.0	12.0	17.0	7.0	15.0	33.0	16.0	14.0	13.0	17.0	19.0	491.0
mais_KON_mais	11.0	19.0	16.0	25.0	16.0	13.0	17.0	20.0	17.0	16.0	15.0	20.0	17.0	22.0	25.0	18.0	18.0	24.0	17.0	22.0	16.0	16.0	17.0	13.0	15.0	15.0	16.0	476.0
au_PRP:det_au	18.0	32.0	16.0	14.0	15.0	16.0	25.0	19.0	13.0	19.0	12.0	17.0	15.0	16.0	21.0	19.0	19.0	15.0	21.0	12.0	23.0	15.0	18.0	13.0	16.0	13.0	18.0	470.0
sa_DET:POS_son	21.0	17.0	16.0	21.0	29.0	23.0	24.0	12.0	18.0	18.0	22.0	18.0	20.0	16.0	21.0	18.0	15.0	9.0	20.0	17.0	8.0	15.0	14.0	13.0	18.0	14.0	10.0	467.0
cette_PRO:DEM_ce	15.0	23.0	19.0	12.0	14.0	16.0	28.0	9.0	13.0	13.0	11.0	9.0	10.0	12.0	14.0	23.0	22.0	17.0	25.0	21.0	13.0	14.0	19.0	23.0	22.0	23.0	25.0	465.0
bien_ADV_bien	13.0	7.0	10.0	19.0	21.0	21.0	13.0	13.0	15.0	18.0	22.0	26.0	17.0	25.0	11.0	22.0	16.0	22.0	24.0	20.0	17.0	13.0	13.0	16.0	21.0	15.0	11.0	461.0
avec_PRP_avec	22.0	16.0	12.0	21.0	17.0	18.0	19.0	12.0	21.0	17.0	15.0	14.0	21.0	16.0	25.0	19.0	16.0	13.0	7.0	12.0	12.0	11.0	14.0	18.0	32.0	12.0	14.0	446.0
c'_PRO:DEM_ce	16.0	8.0	21.0	15.0	9.0	28.0	13.0	18.0	19.0	18.0	8.0	16.0	11.0	16.0	20.0	14.0	12.0	15.0	16.0	12.0	23.0	15.0	20.0	26.0	28.0	10.0	11.0	438.0
a_VER:pres_avoir	10.0	8.0	16.0	14.0	17.0	10.0	11.0	7.0	25.0	21.0	14.0	6.0	23.0	21.0	6.0	6.0	20.0	27.0	20.0	14.0	12.0	11.0	7.0	53.0	20.0	13.0	9.0	421.0
le_PRO:PER_le	8.0	12.0	13.0	20.0	13.0	18.0	8.0	8.0	9.0	15.0	12.0	17.0	21.0	22.0	12.0	17.0	21.0	17.0	11.0	20.0	11.0	20.0	17.0	10.0	11.0	19.0	10.0	392.0
me_PRO:PER_me	11.0	21.0	7.0	10.0	19.0	18.0	17.0	5.0	7.0	8.0	16.0	14.0	18.0	10.0	4.0	3.0	12.0	35.0	9.0	18.0	29.0	18.0	13.0	16.0	18.0	13.0	17.0	386.0
du_PRP:det_du	16.0	16.0	13.0	13.0	8.0	9.0	17.0	11.0	6.0	17.0	15.0	25.0	20.0	13.0	12.0	33.0	12.0	10.0	15.0	14.0	15.0	12.0	11.0	12.0	5.0	13.0	18.0	381.0
sur_PRP_sur	15.0	11.0	33.0	26.0	12.0	10.0	14.0	18.0	13.0	19.0	21.0	13.0	7.0	11.0	14.0	17.0	14.0	7.0	14.0	9.0	7.0	9.0	14.0	8.0	12.0	16.0	10.0	374.0
on_PRO:PER_on	11.0	12.0	16.0	16.0	11.0	11.0	25.0	10.0	10.0	20.0	12.0	15.0	20.0	10.0	29.0	8.0	12.0	14.0	25.0	9.0	9.0	17.0	14.0	14.0	11.0	6.0	6.0	373.0
nous_PRO:PER_nous	2.0	12.0	14.0	21.0	33.0	32.0	6.0	2.0	30.0	6.0	11.0	0.0	8.0	13.0	5.0	5.0	19.0	11.0	19.0	19.0	14.0	15.0	11.0	16.0	30.0	4.0	13.0	371.0
ses_DET:POS_son	19.0	19.0	7.0	10.0	9.0	14.0	18.0	17.0	10.0	16.0	13.0	12.0	10.0	14.0	18.0	16.0	10.0	14.0	13.0	9.0	6.0	16.0	11.0	15.0	11.0	19.0	10.0	356.0
j'_PRO:PER_je	10.0	17.0	5.0	13.0	10.0	8.0	11.0	6.0	5.0	4.0	14.0	17.0	11.0	17.0	6.0	2.0	11.0	38.0	19.0	14.0	13.0	17.0	11.0	17.0	25.0	17.0	12.0	350.0
Madeleine_NAM_madeleine	2.0	16.0	35.0	37.0	34.0	17.0	10.0	20.0	38.0	7.0	0.0	5.0	3.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	15.0	36.0	31.0	12.0	24.0	347.0
ai_VER:pres_avoir	8.0	11.0	8.0	9.0	8.0	6.0	13.0	9.0	9.0	8.0	8.0	12.0	8.0	14.0	9.0	5.0	13.0	25.0	15.0	20.0	23.0	18.0	8.0	27.0	22.0	15.0	5.0	336.0
en_PRO:PER_en	11.0	9.0	13.0	10.0	10.0	13.0	9.0	10.0	9.0	9.0	17.0	18.0	19.0	20.0	10.0	18.0	16.0	13.0	13.0	13.0	16.0	14.0	8.0	4.0	8.0	14.0	10.0	334.0
si_KON_si	8.0	9.0	9.0	10.0	12.0	12.0	7.0	10.0	8.0	13.0	9.0	14.0	8.0	14.0	9.0	5.0	5.0	9.0	18.0	19.0	19.0	22.0	12.0	22.0	6.0	14.0	13.0	316.0
été_VER:pper_être	10.0	2.0	9.0	8.0	9.0	9.0	17.0	8.0	11.0	11.0	4.0	12.0	13.0	12.0	7.0	13.0	15.0	14.0	9.0	12.0	13.0	11.0	10.0	22.0	15.0	7.0	8.0	291.0
!_SENT_!	8.0	9.0	15.0	7.0	13.0	12.0	3.0	14.0	10.0	10.0	7.0	18.0	5.0	14.0	8.0	11.0	5.0	8.0	12.0	25.0	13.0	6.0	11.0	14.0	13.0	10.0	8.0	289.0
tout_ADV_tout	9.0	12.0	11.0	10.0	7.0	9.0	10.0	15.0	8.0	7.0	10.0	8.0	11.0	12.0	10.0	14.0	17.0	11.0	10.0	8.0	13.0	7.0	10.0	8.0	10.0	7.0	9.0	273.0
te_PRO:PER_te	3.0	3.0	3.0	15.0	27.0	19.0	6.0	2.0	0.0	3.0	2.0	10.0	6.0	18.0	1.0	6.0	20.0	8.0	0.0	23.0	23.0	20.0	11.0	0.0	20.0	10.0	11.0	270.0
sans_PRP_sans	3.0	15.0	9.0	11.0	7.0	12.0	10.0	15.0	10.0	14.0	6.0	11.0	10.0	13.0	6.0	12.0	3.0	7.0	10.0	14.0	8.0	14.0	14.0	9.0	5.0	12.0	7.0	267.0
la_PRO:PER_la	3.0	16.0	9.0	13.0	8.0	5.0	18.0	14.0	17.0	11.0	9.0	14.0	9.0	14.0	4.0	9.0	12.0	9.0	8.0	7.0	3.0	7.0	7.0	7.0	10.0	16.0	6.0	265.0
ou_KON_ou	7.0	18.0	14.0	6.0	9.0	10.0	14.0	11.0	11.0	12.0	11.0	16.0	11.0	10.0	6.0	12.0	8.0	9.0	9.0	5.0	7.0	10.0	13.0	5.0	4.0	9.0	8.0	265.0
Il_PRO:PER_il	9.0	8.0	9.0	13.0	10.0	5.0	3.0	7.0	10.0	13.0	6.0	12.0	11.0	10.0	11.0	15.0	3.0	7.0	8.0	9.0	6.0	10.0	12.0	6.0	13.0	27.0	10.0	263.0
cela_PRO:DEM_cela	8.0	6.0	8.0	13.0	16.0	14.0	9.0	8.0	9.0	7.0	13.0	12.0	11.0	12.0	6.0	9.0	7.0	6.0	10.0	12.0	14.0	13.0	10.0	10.0	5.0	2.0	8.0	258.0
m'_PRO:PER_me	10.0	12.0	9.0	7.0	5.0	3.0	13.0	8.0	8.0	8.0	3.0	12.0	8.0	4.0	2.0	5.0	7.0	19.0	14.0	13.0	14.0	16.0	13.0	8.0	11.0	11.0	13.0	256.0
ces_PRO:DEM_ce	8.0	11.0	12.0	7.0	8.0	12.0	10.0	7.0	6.0	7.0	8.0	7.0	11.0	12.0	13.0	15.0	9.0	3.0	13.0	10.0	1.0	17.0	13.0	8.0	4.0	10.0	5.0	247.0
y_PRO:PER_y	3.0	5.0	7.0	13.0	10.0	9.0	6.0	7.0	6.0	14.0	9.0	9.0	9.0	22.0	5.0	12.0	10.0	11.0	17.0	4.0	8.0	8.0	14.0	6.0	5.0	7.0	5.0	241.0
mon_DET:POS_mon	7.0	11.0	13.0	18.0	19.0	14.0	12.0	3.0	8.0	5.0	6.0	6.0	12.0	3.0	1.0	4.0	12.0	11.0	6.0	5.0	8.0	5.0	4.0	10.0	17.0	5.0	7.0	232.0
ils_PRO:PER_il	21.0	1.0	9.0	13.0	4.0	9.0	3.0	11.0	4.0	16.0	4.0	2.0	2.0	3.0	13.0	14.0	16.0	16.0	12.0	2.0	8.0	4.0	17.0	3.0	10.0	3.0	7.0	227.0
Je_PRO:PER_je	2.0	6.0	8.0	15.0	13.0	7.0	10.0	6.0	12.0	5.0	4.0	10.0	6.0	8.0	4.0	6.0	14.0	7.0	15.0	14.0	10.0	7.0	2.0	15.0	9.0	6.0	5.0	226.0
où_PRO:REL_où	9.0	11.0	10.0	5.0	8.0	5.0	19.0	10.0	18.0	2.0	8.0	7.0	5.0	6.0	8.0	4.0	9.0	11.0	7.0	4.0	7.0	7.0	5.0	6.0	10.0	16.0	7.0	224.0
comme_KON_comme	9.0	3.0	9.0	1.0	4.0	12.0	6.0	14.0	9.0	12.0	10.0	14.0	9.0	2.0	10.0	11.0	11.0	10.0	9.0	8.0	13.0	4.0	2.0	8.0	7.0	7.0	10.0	224.0
femme_NOM_femme	10.0	2.0	1.0	14.0	4.0	5.0	4.0	2.0	2.0	12.0	3.0	12.0	5.0	12.0	5.0	7.0	19.0	10.0	14.0	5.0	5.0	9.0	10.0	21.0	13.0	4.0	7.0	217.0
père_NOM_père	9.0	13.0	14.0	30.0	23.0	25.0	14.0	3.0	10.0	3.0	4.0	2.0	3.0	3.0	4.0	3.0	7.0	11.0	2.0	7.0	0.0	2.0	1.0	4.0	3.0	6.0	5.0	211.0
Mais_KON_mais	10.0	4.0	9.0	14.0	6.0	17.0	5.0	7.0	10.0	5.0	11.0	9.0	9.0	7.0	6.0	5.0	5.0	9.0	6.0	11.0	6.0	8.0	6.0	8.0	9.0	5.0	4.0	211.0
Cara_NAM_cara	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	10.0	18.0	26.0	19.0	10.0	16.0	8.0	19.0	9.0	7.0	15.0	2.0	4.0	10.0	4.0	13.0	7.0	211.0
faire_VER:infi_faire	5.0	6.0	5.0	4.0	13.0	4.0	8.0	10.0	4.0	7.0	7.0	5.0	9.0	7.0	14.0	7.0	3.0	12.0	11.0	5.0	10.0	7.0	10.0	6.0	5.0	10.0	7.0	201.0
être_VER:infi_être	6.0	10.0	3.0	4.0	12.0	6.0	6.0	6.0	4.0	6.0	5.0	7.0	10.0	11.0	7.0	10.0	5.0	13.0	11.0	9.0	7.0	8.0	5.0	10.0	3.0	2.0	10.0	196.0
moi_PRO:PER_moi	6.0	10.0	3.0	6.0	8.0	8.0	3.0	5.0	5.0	5.0	7.0	6.0	9.0	13.0	1.0	8.0	9.0	12.0	4.0	11.0	9.0	5.0	2.0	4.0	6.0	5.0	8.0	178.0
donc_ADV_donc	7.0	6.0	4.0	6.0	8.0	7.0	5.0	9.0	5.0	2.0	9.0	5.0	4.0	5.0	8.0	6.0	7.0	9.0	8.0	11.0	9.0	6.0	8.0	3.0	12.0	3.0	4.0	176.0
ma_DET:POS_mon	12.0	17.0	4.0	10.0	8.0	8.0	5.0	11.0	8.0	5.0	2.0	4.0	6.0	2.0	0.0	2.0	2.0	11.0	3.0	4.0	5.0	9.0	6.0	10.0	10.0	8.0	4.0	176.0
Et_KON_et	4.0	2.0	6.0	5.0	13.0	10.0	5.0	7.0	9.0	11.0	8.0	11.0	5.0	9.0	3.0	10.0	7.0	8.0	7.0	5.0	6.0	4.0	6.0	2.0	5.0	3.0	5.0	176.0
t'_PRO:PER_te	0.0	2.0	2.0	10.0	18.0	10.0	5.0	6.0	4.0	0.0	3.0	3.0	1.0	6.0	3.0	2.0	6.0	6.0	0.0	27.0	15.0	20.0	7.0	0.0	10.0	7.0	3.0	176.0
deux_NUM_deux	6.0	9.0	10.0	5.0	9.0	3.0	6.0	5.0	4.0	14.0	8.0	9.0	4.0	8.0	5.0	7.0	10.0	5.0	8.0	9.0	9.0	3.0	0.0	3.0	1.0	5.0	7.0	172.0
fut_VER:simp_être	2.0	3.0	2.0	7.0	1.0	2.0	4.0	3.0	8.0	9.0	15.0	2.0	6.0	7.0	15.0	9.0	6.0	2.0	3.0	6.0	4.0	10.0	8.0	2.0	14.0	12.0	6.0	168.0
aussi_ADV_aussi	5.0	5.0	4.0	13.0	8.0	8.0	5.0	4.0	5.0	10.0	4.0	11.0	7.0	6.0	4.0	4.0	6.0	4.0	12.0	3.0	7.0	5.0	9.0	6.0	5.0	3.0	4.0	167.0
Elle_PRO:PER_elle	1.0	2.0	5.0	8.0	3.0	7.0	14.0	10.0	5.0	6.0	13.0	7.0	7.0	6.0	4.0	3.0	4.0	4.0	4.0	10.0	2.0	8.0	14.0	4.0	6.0	5.0	3.0	165.0
les_PRO:PER_la|le	5.0	6.0	3.0	3.0	7.0	8.0	3.0	5.0	7.0	4.0	1.0	6.0	10.0	6.0	10.0	9.0	9.0	4.0	6.0	2.0	6.0	6.0	6.0	6.0	3.0	14.0	9.0	164.0
quand_KON_quand	6.0	6.0	4.0	7.0	2.0	3.0	8.0	2.0	5.0	3.0	10.0	3.0	7.0	7.0	8.0	7.0	8.0	11.0	5.0	13.0	7.0	4.0	6.0	5.0	8.0	6.0	3.0	164.0
mère_NOM_mère	7.0	2.0	0.0	16.0	19.0	3.0	3.0	0.0	7.0	2.0	8.0	1.0	1.0	2.0	2.0	5.0	9.0	5.0	1.0	24.0	11.0	14.0	3.0	2.0	3.0	5.0	6.0	161.0
encore_ADV_encore	4.0	10.0	8.0	3.0	5.0	7.0	4.0	5.0	6.0	5.0	4.0	1.0	7.0	4.0	7.0	9.0	7.0	5.0	2.0	5.0	9.0	9.0	6.0	13.0	4.0	7.0	4.0	160.0
si_ADV_si	7.0	8.0	3.0	5.0	3.0	4.0	9.0	6.0	5.0	5.0	3.0	9.0	3.0	6.0	7.0	7.0	7.0	12.0	9.0	7.0	8.0	5.0	5.0	5.0	4.0	2.0	2.0	156.0
autre_ADJ_autre	5.0	7.0	4.0	2.0	4.0	2.0	6.0	7.0	4.0	9.0	8.0	2.0	5.0	2.0	8.0	4.0	7.0	4.0	9.0	9.0	11.0	8.0	7.0	9.0	4.0	5.0	3.0	155.0
»_PUN:cit_»	16.0	34.0	2.0	7.0	5.0	2.0	4.0	3.0	4.0	6.0	5.0	2.0	6.0	2.0	9.0	9.0	4.0	3.0	8.0	4.0	6.0	4.0	1.0	3.0	1.0	0.0	5.0	155.0
étaient_VER:impf_être	10.0	8.0	11.0	5.0	1.0	6.0	6.0	6.0	3.0	10.0	5.0	6.0	4.0	7.0	9.0	11.0	7.0	2.0	6.0	2.0	4.0	2.0	6.0	3.0	3.0	6.0	5.0	154.0
pour_KON_pour	5.0	7.0	5.0	9.0	11.0	5.0	7.0	3.0	3.0	4.0	4.0	4.0	6.0	6.0	7.0	3.0	10.0	5.0	5.0	8.0	8.0	4.0	7.0	6.0	4.0	6.0	1.0	153.0
ton_DET:POS_ton	5.0	11.0	3.0	9.0	9.0	12.0	4.0	2.0	1.0	0.0	0.0	3.0	1.0	8.0	1.0	5.0	15.0	11.0	0.0	12.0	10.0	13.0	3.0	0.0	4.0	1.0	7.0	150.0
Haupois-Daguillon_NAM_haupois-daguillon	7.0	0.0	0.0	13.0	5.0	4.0	1.0	0.0	1.0	1.0	1.0	4.0	12.0	0.0	14.0	7.0	9.0	2.0	21.0	3.0	16.0	3.0	6.0	6.0	6.0	1.0	6.0	149.0
