	Malot_ClotildeMartory	Flaubert_MadameBovary	Gaboriau_Lerouge	Maupassant_PierreJean	Aimard_BanditsArizona	Stolz_TresorNanette	Zola_Nana	sum
l’on	0.0	144.0	0.0	3.0	0.0	0.0	59.0	206.0
chef	8.0	0.0	19.0	1.0	164.0	1.0	12.0	205.0
rire	5.0	28.0	14.0	10.0	16.0	22.0	110.0	205.0
première	16.0	33.0	41.0	17.0	15.0	35.0	47.0	204.0
lit	5.0	46.0	39.0	20.0	17.0	17.0	59.0	203.0
frère	0.0	3.0	17.0	88.0	50.0	7.0	38.0	203.0
cinq	28.0	19.0	40.0	12.0	33.0	14.0	56.0	202.0
fortune	37.0	16.0	57.0	37.0	8.0	11.0	36.0	202.0
autour	13.0	77.0	23.0	13.0	24.0	6.0	46.0	202.0
eux	20.0	38.0	17.0	15.0	56.0	4.0	51.0	201.0
aller	44.0	37.0	52.0	16.0	10.0	13.0	27.0	199.0
donner	20.0	19.0	56.0	6.0	21.0	28.0	49.0	199.0
maman	0.0	8.0	7.0	37.0	0.0	120.0	27.0	199.0
n’avait	0.0	67.0	0.0	31.0	0.0	0.0	100.0	198.0
trouvait	3.0	48.0	30.0	15.0	12.0	10.0	78.0	196.0
premier	20.0	21.0	34.0	19.0	32.0	17.0	51.0	194.0
mit	3.0	68.0	17.0	25.0	12.0	24.0	45.0	194.0
famille	11.0	20.0	19.0	22.0	38.0	58.0	25.0	193.0
dès	5.0	53.0	29.0	28.0	10.0	19.0	49.0	193.0
jean	0.0	0.0	2.0	186.0	2.0	2.0	0.0	192.0
face	4.0	34.0	24.0	18.0	21.0	7.0	84.0	192.0
rose	0.0	12.0	4.0	2.0	0.0	5.0	169.0	192.0
nos	46.0	40.0	29.0	7.0	37.0	26.0	4.0	189.0
besoin	18.0	28.0	36.0	19.0	14.0	15.0	59.0	189.0
as	7.0	23.0	26.0	28.0	27.0	38.0	39.0	188.0
chère	9.0	6.0	18.0	2.0	11.0	99.0	43.0	188.0
raison	27.0	12.0	54.0	16.0	37.0	17.0	25.0	188.0
ayant	7.0	37.0	38.0	16.0	6.0	20.0	64.0	188.0
suite	11.0	17.0	16.0	23.0	13.0	18.0	89.0	187.0
haut	8.0	48.0	30.0	11.0	10.0	10.0	70.0	187.0
effet	14.0	45.0	42.0	15.0	24.0	12.0	34.0	186.0
feu	4.0	34.0	28.0	7.0	47.0	22.0	44.0	186.0
prit	6.0	52.0	28.0	18.0	24.0	21.0	36.0	185.0
mettre	19.0	26.0	32.0	7.0	20.0	18.0	63.0	185.0
pu	35.0	20.0	55.0	20.0	13.0	13.0	29.0	185.0
l’air	0.0	42.0	0.0	21.0	0.0	0.0	121.0	184.0
n’était	0.0	52.0	0.0	20.0	0.0	0.0	111.0	183.0
commarin	0.0	0.0	182.0	0.0	0.0	0.0	0.0	182.0
jusqu'	42.0	0.0	90.0	0.0	36.0	14.0	0.0	182.0
mignon	0.0	2.0	0.0	0.0	1.0	0.0	179.0	182.0
tard	10.0	40.0	42.0	15.0	32.0	15.0	26.0	180.0
salon	20.0	12.0	18.0	18.0	1.0	5.0	106.0	180.0
voyait	0.0	53.0	22.0	17.0	7.0	19.0	61.0	179.0
soit	19.0	16.0	59.0	7.0	63.0	10.0	5.0	179.0
dix	22.0	9.0	42.0	13.0	19.0	10.0	63.0	178.0
n’y	0.0	84.0	0.0	16.0	0.0	0.0	78.0	178.0
nouveau	7.0	24.0	14.0	26.0	19.0	7.0	80.0	177.0
voulu	27.0	33.0	28.0	10.0	19.0	13.0	46.0	176.0
beau	9.0	37.0	30.0	14.0	4.0	43.0	39.0	176.0
parut	5.0	47.0	45.0	10.0	10.0	5.0	53.0	175.0
quelle	12.0	37.0	57.0	8.0	16.0	16.0	29.0	175.0
passé	18.0	27.0	41.0	13.0	22.0	18.0	36.0	175.0
sentait	1.0	43.0	37.0	27.0	7.0	12.0	47.0	174.0
savait	5.0	43.0	39.0	6.0	9.0	24.0	48.0	174.0
roland	0.0	0.0	0.0	173.0	0.0	0.0	0.0	173.0
peur	9.0	47.0	21.0	13.0	9.0	17.0	56.0	172.0
bruit	7.0	52.0	18.0	20.0	11.0	9.0	55.0	172.0
lèvres	8.0	43.0	24.0	13.0	27.0	3.0	53.0	171.0
regardait	2.0	54.0	8.0	29.0	2.0	4.0	72.0	171.0
amour	66.0	33.0	33.0	12.0	6.0	11.0	10.0	171.0
