	Dickens_Cricket_0	Dickens_Cricket_1	Dickens_Cricket_2	Dickens_Cricket_3	Dickens_Cricket_4	Dickens_Cricket_5	Dickens_Cricket_6	Dickens_Cricket_7	Dickens_Cricket_8	Dickens_Cricket_sum
me_PNP_i	19.0	12.0	10.0	18.0	18.0	9.0	52.0	34.0	1.0	173.0
so_AV0_so	26.0	9.0	16.0	26.0	20.0	24.0	26.0	16.0	0.0	163.0
John_NP0_john	36.0	42.0	9.0	18.0	15.0	6.0	2.0	33.0	0.0	161.0
be_VBI_be	17.0	22.0	16.0	31.0	22.0	8.0	26.0	16.0	0.0	158.0
on_PRP_on	23.0	13.0	25.0	22.0	19.0	17.0	15.0	24.0	0.0	158.0
's_VBZ_be	15.0	45.0	13.0	23.0	15.0	11.0	11.0	16.0	0.0	149.0
all_DT0_all	17.0	18.0	21.0	27.0	13.0	15.0	8.0	24.0	0.0	143.0
that_DT0_that	10.0	28.0	20.0	16.0	14.0	11.0	12.0	22.0	0.0	133.0
have_VHI_have	20.0	13.0	12.0	20.0	14.0	15.0	13.0	24.0	0.0	131.0
---_AJ0_---	15.0	12.0	15.0	13.0	15.0	23.0	17.0	20.0	0.0	130.0
my_DPS_i	8.0	16.0	10.0	10.0	17.0	7.0	45.0	13.0	0.0	126.0
Carrier_NN1_carrier	6.0	24.0	13.0	9.0	15.0	26.0	19.0	13.0	0.0	125.0
were_VBD_be	14.0	9.0	26.0	16.0	18.0	13.0	10.0	18.0	0.0	124.0
Tackleton_NP0_tackleton	0.0	19.0	18.0	13.0	21.0	23.0	13.0	17.0	0.0	124.0
is_VBZ_be	21.0	10.0	11.0	12.0	20.0	4.0	35.0	8.0	2.0	123.0
little_AJ0_little	16.0	19.0	14.0	15.0	16.0	15.0	10.0	17.0	1.0	123.0
but_CJC_but	18.0	12.0	13.0	16.0	15.0	18.0	11.0	20.0	0.0	123.0
---_NN1_---	19.0	12.0	13.0	20.0	20.0	19.0	6.0	13.0	0.0	122.0
's_POS_'s	13.0	10.0	20.0	16.0	18.0	17.0	7.0	17.0	1.0	119.0
The_AT0_the	8.0	13.0	23.0	9.0	14.0	25.0	18.0	7.0	0.0	117.0
not_XX0_not	7.0	7.0	16.0	16.0	24.0	13.0	24.0	9.0	0.0	116.0
Caleb_NP0_caleb	0.0	13.0	36.0	22.0	16.0	2.0	16.0	10.0	0.0	115.0
which_DTQ_which	11.0	11.0	17.0	18.0	19.0	14.0	8.0	9.0	0.0	107.0
would_VM0_would	16.0	9.0	12.0	12.0	15.0	11.0	6.0	23.0	0.0	104.0
this_DT0_this	15.0	9.0	4.0	10.0	12.0	14.0	17.0	20.0	2.0	103.0
by_PRP_by	12.0	7.0	16.0	16.0	11.0	16.0	7.0	14.0	1.0	100.0
from_PRP_from	5.0	9.0	13.0	10.0	13.0	17.0	20.0	12.0	0.0	99.0
if_CJS_if	19.0	8.0	6.0	9.0	12.0	10.0	18.0	15.0	0.0	97.0
have_VHB_have	5.0	11.0	3.0	7.0	18.0	6.0	36.0	10.0	1.0	97.0
or_CJC_or	10.0	14.0	12.0	20.0	15.0	11.0	5.0	9.0	0.0	96.0
been_VBN_be	8.0	11.0	10.0	12.0	9.0	20.0	16.0	10.0	0.0	96.0
when_CJS_when	14.0	3.0	11.0	12.0	13.0	13.0	9.0	20.0	0.0	95.0
]_PUR_]	11.0	12.0	12.0	12.0	12.0	13.0	11.0	12.0	0.0	95.0
could_VM0_could	8.0	11.0	7.0	13.0	17.0	13.0	13.0	8.0	0.0	90.0
And_CJC_and	13.0	9.0	10.0	7.0	6.0	12.0	11.0	19.0	0.0	87.0
they_PNP_they	12.0	5.0	10.0	7.0	15.0	21.0	5.0	12.0	0.0	87.0
upon_PRP_upon	10.0	8.0	7.0	5.0	10.0	22.0	16.0	7.0	2.0	87.0
He_PNP_he	4.0	18.0	7.0	11.0	9.0	23.0	8.0	5.0	0.0	85.0
an_AT0_an	16.0	10.0	10.0	9.0	12.0	13.0	5.0	9.0	0.0	84.0
Dot_NP0_dot	9.0	8.0	4.0	10.0	18.0	6.0	9.0	19.0	1.0	84.0
into_PRP_into	9.0	8.0	6.0	12.0	9.0	18.0	7.0	13.0	1.0	83.0
It_PNP_it	20.0	10.0	6.0	12.0	7.0	12.0	10.0	6.0	0.0	83.0
But_CJC_but	10.0	9.0	8.0	6.0	11.0	12.0	12.0	13.0	1.0	82.0
[_PUL_[	11.0	12.0	11.0	10.0	9.0	10.0	8.0	9.0	0.0	80.0
out_AVP_out	10.0	13.0	11.0	8.0	4.0	15.0	7.0	8.0	0.0	76.0
very_AV0_very	17.0	9.0	7.0	16.0	6.0	2.0	7.0	11.0	1.0	76.0
do_VDB_do	12.0	15.0	8.0	10.0	4.0	4.0	14.0	8.0	0.0	75.0
them_PNP_they	5.0	4.0	12.0	11.0	9.0	13.0	10.0	9.0	2.0	75.0
never_AV0_never	3.0	7.0	11.0	9.0	7.0	7.0	13.0	14.0	0.0	71.0
its_DPS_it	25.0	3.0	9.0	5.0	2.0	21.0	4.0	1.0	1.0	71.0
old_AJ0_old	5.0	9.0	9.0	9.0	17.0	7.0	5.0	9.0	0.0	70.0
what_DTQ_what	7.0	11.0	7.0	4.0	9.0	6.0	15.0	9.0	1.0	69.0
You_PNP_you	3.0	15.0	7.0	8.0	5.0	4.0	12.0	12.0	0.0	66.0
Bertha_NP0_bertha	0.0	0.0	3.0	17.0	19.0	2.0	20.0	4.0	0.0	65.0
than_CJS_than	8.0	4.0	5.0	11.0	6.0	9.0	12.0	8.0	1.0	64.0
how_AVQ_how	14.0	2.0	4.0	5.0	10.0	6.0	11.0	9.0	2.0	63.0
face_NN1_face	2.0	2.0	11.0	12.0	9.0	10.0	12.0	5.0	0.0	63.0
who_PNQ_who	4.0	12.0	10.0	7.0	6.0	8.0	9.0	5.0	0.0	61.0
man_NN1_man	3.0	14.0	7.0	2.0	3.0	9.0	12.0	11.0	0.0	61.0
there_EX0_there	11.0	2.0	8.0	15.0	4.0	9.0	4.0	8.0	0.0	61.0
again_AV0_again	6.0	4.0	7.0	12.0	4.0	10.0	5.0	12.0	0.0	60.0
no_AT0_no	5.0	9.0	8.0	8.0	7.0	8.0	7.0	8.0	0.0	60.0
are_VBB_be	7.0	11.0	11.0	8.0	10.0	2.0	7.0	3.0	0.0	59.0
up_AVP_up	8.0	10.0	8.0	5.0	7.0	11.0	3.0	7.0	0.0	59.0
such_DT0_such	9.0	6.0	6.0	6.0	7.0	4.0	7.0	13.0	0.0	58.0
your_DPS_you	1.0	10.0	12.0	5.0	8.0	6.0	5.0	10.0	1.0	58.0
some_DT0_some	6.0	8.0	2.0	6.0	9.0	10.0	9.0	7.0	0.0	57.0
father_NN1_father	2.0	0.0	8.0	9.0	11.0	0.0	22.0	3.0	0.0	55.0
head_NN1_head	8.0	5.0	6.0	5.0	3.0	13.0	9.0	5.0	0.0	54.0
quite_AV0_quite	8.0	6.0	15.0	5.0	7.0	0.0	4.0	8.0	0.0	53.0
Peerybingle_NP0_peerybingle	18.0	3.0	2.0	13.0	5.0	2.0	1.0	9.0	0.0	53.0
about_PRP_about	5.0	2.0	6.0	20.0	7.0	3.0	5.0	5.0	0.0	53.0
one_CRD_one	7.0	11.0	3.0	6.0	3.0	10.0	4.0	6.0	1.0	51.0
She_PNP_she	3.0	1.0	6.0	5.0	11.0	4.0	15.0	5.0	0.0	50.0
say_VVI_say	8.0	10.0	4.0	4.0	7.0	3.0	8.0	5.0	0.0	49.0
might_VM0_might	11.0	6.0	2.0	8.0	7.0	4.0	3.0	8.0	0.0	49.0
more_AV0_more	1.0	5.0	9.0	6.0	6.0	10.0	5.0	7.0	0.0	49.0
any_DT0_any	4.0	4.0	6.0	8.0	8.0	5.0	5.0	8.0	1.0	49.0
:_PUN_:	9.0	7.0	2.0	4.0	6.0	6.0	6.0	7.0	1.0	48.0
'll_VM0_will	2.0	8.0	4.0	9.0	8.0	2.0	11.0	4.0	0.0	48.0
now_AV0_now	8.0	2.0	5.0	1.0	5.0	4.0	11.0	12.0	0.0	48.0
then_AV0_then	10.0	8.0	5.0	5.0	8.0	5.0	6.0	1.0	0.0	48.0
here_AV0_here	6.0	3.0	6.0	6.0	9.0	1.0	11.0	6.0	0.0	48.0
night_NN1_night	3.0	0.0	9.0	1.0	4.0	19.0	8.0	4.0	0.0	48.0
down_AVP_down	10.0	6.0	5.0	3.0	7.0	10.0	3.0	4.0	0.0	48.0
way_NN1_way	12.0	8.0	3.0	7.0	2.0	5.0	5.0	6.0	0.0	48.0
Cricket_NN1_cricket	21.0	2.0	7.0	0.0	0.0	11.0	2.0	2.0	2.0	47.0
did_VDD_do	5.0	6.0	4.0	4.0	8.0	7.0	6.0	7.0	0.0	47.0
time_NN1_time	4.0	4.0	1.0	8.0	10.0	4.0	6.0	9.0	0.0	46.0
good_AJ0_good	5.0	8.0	4.0	3.0	14.0	3.0	4.0	5.0	0.0	46.0
like_PRP_like	14.0	7.0	5.0	3.0	1.0	5.0	6.0	4.0	0.0	45.0
has_VHZ_have	7.0	2.0	2.0	0.0	3.0	14.0	14.0	3.0	0.0	45.0
their_DPS_they	7.0	4.0	10.0	5.0	4.0	10.0	1.0	4.0	0.0	45.0
should_VM0_should	9.0	6.0	6.0	4.0	1.0	1.0	12.0	5.0	0.0	44.0
May_NP0_may	0.0	0.0	0.0	12.0	17.0	3.0	2.0	10.0	0.0	44.0
Mrs._NP0_mrs.	19.0	3.0	0.0	8.0	2.0	0.0	0.0	11.0	0.0	43.0
great_AJ0_great	2.0	8.0	6.0	8.0	5.0	3.0	5.0	6.0	0.0	43.0
ever_AV0_ever	6.0	3.0	6.0	5.0	6.0	5.0	7.0	5.0	0.0	43.0
There_EX0_there	5.0	5.0	8.0	1.0	7.0	2.0	8.0	7.0	0.0	43.0
know_VVB_know	6.0	13.0	3.0	7.0	0.0	3.0	9.0	2.0	0.0	43.0
(_PUL_(	7.0	8.0	6.0	3.0	8.0	2.0	3.0	5.0	0.0	42.0
own_DT0_own	8.0	1.0	5.0	5.0	3.0	9.0	3.0	8.0	0.0	42.0
)_PUR_)	7.0	8.0	6.0	3.0	8.0	2.0	3.0	5.0	0.0	42.0
young_AJ0_young	5.0	8.0	4.0	3.0	9.0	2.0	3.0	8.0	0.0	42.0
came_VVD_come	3.0	3.0	3.0	5.0	3.0	9.0	4.0	10.0	0.0	40.0
wife_NN1_wife	1.0	13.0	5.0	3.0	4.0	8.0	4.0	2.0	0.0	40.0
Blind_AJ0_blind	0.0	0.0	17.0	8.0	6.0	2.0	7.0	0.0	0.0	40.0
being_VBG_be	9.0	1.0	4.0	2.0	4.0	6.0	4.0	9.0	0.0	39.0
Oh_ITJ_oh	4.0	4.0	7.0	4.0	5.0	6.0	5.0	4.0	0.0	39.0
am_VBB_be	3.0	4.0	2.0	6.0	6.0	0.0	10.0	7.0	1.0	39.0
too_AV0_too	3.0	6.0	6.0	2.0	3.0	8.0	6.0	5.0	0.0	39.0
know_VVI_know	10.0	4.0	5.0	4.0	7.0	0.0	6.0	2.0	0.0	38.0
hand_NN1_hand	3.0	5.0	2.0	0.0	6.0	7.0	8.0	6.0	0.0	37.0
returned_VVD_return	2.0	8.0	2.0	3.0	6.0	6.0	5.0	5.0	0.0	37.0
as_PRP_as	5.0	5.0	7.0	3.0	5.0	2.0	5.0	4.0	0.0	36.0
door_NN1_door	3.0	4.0	4.0	2.0	1.0	15.0	1.0	6.0	0.0	36.0
before_PRP_before	9.0	1.0	4.0	2.0	3.0	10.0	3.0	4.0	0.0	36.0
we_PNP_we	3.0	4.0	1.0	5.0	10.0	0.0	9.0	4.0	0.0	36.0
off_AVP_off	5.0	3.0	5.0	5.0	4.0	4.0	3.0	5.0	1.0	35.0
there_AV0_there	2.0	4.0	8.0	5.0	4.0	4.0	3.0	5.0	0.0	35.0
Girl_NN1_girl	0.0	1.0	11.0	8.0	5.0	2.0	7.0	0.0	0.0	34.0
eyes_NN2_eye	2.0	3.0	3.0	6.0	6.0	3.0	8.0	3.0	0.0	34.0
himself_PNX_himself	4.0	6.0	8.0	5.0	1.0	1.0	1.0	8.0	0.0	34.0
cried_VVD_cry	2.0	4.0	7.0	5.0	4.0	3.0	5.0	3.0	0.0	33.0
other_AJ0_other	2.0	5.0	4.0	6.0	5.0	3.0	2.0	5.0	1.0	33.0
many_DT0_many	3.0	4.0	5.0	1.0	6.0	4.0	7.0	3.0	0.0	33.0
'_PUQ_'	5.0	11.0	4.0	4.0	1.0	6.0	2.0	0.0	0.0	33.0
Why_AVQ_why	5.0	13.0	4.0	2.0	5.0	1.0	2.0	1.0	0.0	33.0
day_NN1_day	1.0	3.0	2.0	10.0	3.0	2.0	7.0	4.0	0.0	32.0
'm_VBB_be	0.0	3.0	9.0	4.0	4.0	0.0	4.0	7.0	0.0	31.0
What_DTQ_what	2.0	4.0	10.0	6.0	4.0	0.0	2.0	3.0	0.0	31.0
Tilly_NP0_tilly	7.0	4.0	1.0	2.0	4.0	6.0	4.0	2.0	1.0	31.0
last_ORD_last	2.0	3.0	3.0	1.0	3.0	5.0	6.0	7.0	1.0	31.0
another_DT0_another	2.0	7.0	1.0	4.0	5.0	1.0	3.0	7.0	0.0	30.0
fire_NN1_fire	9.0	2.0	5.0	1.0	4.0	6.0	0.0	3.0	0.0	30.0
Baby_NN1_baby	0.0	4.0	2.0	10.0	2.0	5.0	3.0	4.0	0.0	30.0
well_AV0_well	1.0	5.0	8.0	2.0	4.0	1.0	5.0	4.0	0.0	30.0
hands_NN2_hand	2.0	1.0	4.0	4.0	4.0	7.0	4.0	3.0	1.0	30.0
think_VVI_think	1.0	4.0	4.0	5.0	1.0	3.0	5.0	7.0	0.0	30.0
will_VM0_will	0.0	4.0	2.0	3.0	4.0	1.0	9.0	6.0	0.0	29.0
knew_VVD_know	1.0	0.0	5.0	3.0	3.0	3.0	8.0	6.0	0.0	29.0
heart_NN1_heart	2.0	0.0	4.0	1.0	7.0	7.0	5.0	3.0	0.0	29.0
sure_AJ0_sure	4.0	6.0	2.0	3.0	4.0	1.0	3.0	6.0	0.0	29.0
first_ORD_first	6.0	1.0	3.0	1.0	5.0	6.0	2.0	4.0	0.0	28.0
still_AV0_still	5.0	2.0	8.0	2.0	3.0	3.0	4.0	1.0	0.0	28.0
kettle_NN1_kettle	26.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	28.0
see_VVI_see	4.0	3.0	2.0	5.0	4.0	4.0	2.0	4.0	0.0	28.0
done_VDN_do	3.0	1.0	2.0	4.0	8.0	2.0	5.0	3.0	0.0	28.0
only_AV0_only	4.0	6.0	5.0	3.0	4.0	3.0	1.0	2.0	0.0	28.0
these_DT0_these	3.0	5.0	8.0	3.0	6.0	0.0	1.0	2.0	0.0	28.0
took_VVD_take	3.0	5.0	2.0	2.0	4.0	2.0	5.0	4.0	0.0	27.0
moment_NN1_moment	4.0	2.0	4.0	4.0	2.0	5.0	6.0	0.0	0.0	27.0
stood_VVD_stand	2.0	3.0	4.0	2.0	6.0	4.0	2.0	3.0	0.0	26.0
must_VM0_must	3.0	0.0	4.0	3.0	3.0	2.0	9.0	2.0	0.0	26.0
without_PRP_without	3.0	2.0	0.0	7.0	4.0	5.0	2.0	3.0	0.0	26.0
Not_XX0_not	2.0	4.0	3.0	5.0	3.0	2.0	6.0	1.0	0.0	26.0
mind_NN1_mind	1.0	5.0	5.0	0.0	0.0	7.0	5.0	2.0	0.0	25.0
always_AV0_always	2.0	7.0	3.0	0.0	4.0	4.0	2.0	3.0	0.0	25.0
Slowboy_NP0_Slowboy	6.0	3.0	1.0	5.0	2.0	3.0	0.0	3.0	2.0	25.0
once_AV0_once	3.0	1.0	4.0	2.0	2.0	7.0	1.0	5.0	0.0	25.0
for_CJS_for	5.0	3.0	0.0	6.0	5.0	3.0	1.0	2.0	0.0	25.0
Dot_NN1_dot	2.0	2.0	2.0	1.0	7.0	2.0	3.0	6.0	0.0	25.0
went_VVD_go	4.0	1.0	2.0	3.0	2.0	6.0	4.0	3.0	0.0	25.0
though_CJS_though	6.0	6.0	3.0	2.0	3.0	1.0	3.0	1.0	0.0	25.0
make_VVI_make	2.0	2.0	2.0	3.0	0.0	5.0	5.0	5.0	0.0	24.0
much_AV0_much	7.0	2.0	1.0	2.0	3.0	2.0	4.0	3.0	0.0	24.0
A_AT0_a	2.0	4.0	3.0	2.0	5.0	5.0	2.0	0.0	1.0	24.0
looked_VVD_look	5.0	4.0	1.0	1.0	3.0	7.0	2.0	1.0	0.0	24.0
two_CRD_two	2.0	2.0	5.0	4.0	6.0	1.0	0.0	4.0	0.0	24.0
home_NN1_home	6.0	2.0	1.0	2.0	1.0	6.0	4.0	2.0	0.0	24.0
nothing_PNI_nothing	7.0	0.0	0.0	1.0	5.0	3.0	5.0	2.0	1.0	24.0
on_AVP_on	1.0	2.0	3.0	3.0	5.0	3.0	3.0	4.0	0.0	24.0
room_NN1_room	0.0	2.0	7.0	4.0	2.0	6.0	1.0	2.0	0.0	24.0
in_AVP_in	6.0	4.0	2.0	2.0	1.0	5.0	1.0	1.0	1.0	23.0
think_VVB_think	1.0	4.0	4.0	2.0	3.0	4.0	3.0	2.0	0.0	23.0
can_VM0_can	2.0	0.0	6.0	4.0	4.0	0.0	5.0	2.0	0.0	23.0
much_DT0_much	2.0	2.0	1.0	5.0	3.0	1.0	5.0	4.0	0.0	23.0
saw_VVD_see	2.0	1.0	1.0	2.0	1.0	9.0	4.0	3.0	0.0	23.0
herself_PNX_herself	2.0	1.0	0.0	3.0	5.0	4.0	3.0	4.0	0.0	22.0
something_PNI_something	5.0	0.0	3.0	5.0	0.0	2.0	5.0	2.0	0.0	22.0
house_NN1_house	3.0	2.0	3.0	2.0	1.0	5.0	3.0	3.0	0.0	22.0
whole_AJ0_whole	2.0	3.0	3.0	1.0	5.0	4.0	2.0	2.0	0.0	22.0
How_AVQ_how	3.0	3.0	4.0	4.0	4.0	1.0	3.0	0.0	0.0	22.0
do_VDI_do	2.0	0.0	3.0	6.0	2.0	3.0	3.0	3.0	0.0	22.0
sat_VVD_sit	4.0	1.0	3.0	1.0	3.0	8.0	1.0	1.0	0.0	22.0
away_AV0_away	1.0	0.0	3.0	1.0	5.0	1.0	4.0	7.0	0.0	22.0
may_VM0_may	4.0	1.0	3.0	4.0	1.0	0.0	3.0	6.0	0.0	22.0
anything_PNI_anything	3.0	3.0	4.0	6.0	0.0	0.0	1.0	5.0	0.0	22.0
going_VVG_go|going	4.0	7.0	1.0	4.0	1.0	3.0	0.0	2.0	0.0	22.0
where_AVQ_where	2.0	3.0	2.0	3.0	2.0	0.0	6.0	4.0	0.0	22.0
seemed_VVD_seem	5.0	3.0	0.0	2.0	3.0	5.0	1.0	2.0	0.0	21.0
voice_NN1_voice	6.0	2.0	1.0	3.0	2.0	5.0	1.0	1.0	0.0	21.0
gone_VVN_go	0.0	0.0	8.0	1.0	0.0	6.0	5.0	1.0	0.0	21.0
made_VVD_make	2.0	2.0	6.0	2.0	2.0	2.0	4.0	1.0	0.0	21.0
To_TO0_to	3.0	3.0	3.0	1.0	3.0	5.0	2.0	1.0	0.0	21.0
one_PNI_one	4.0	4.0	2.0	0.0	3.0	2.0	2.0	4.0	0.0	21.0
Yes_ITJ_yes	0.0	3.0	6.0	4.0	0.0	2.0	3.0	2.0	0.0	20.0
times_NN2_time	3.0	1.0	4.0	2.0	2.0	2.0	2.0	4.0	0.0	20.0
eye_NN1_eye	0.0	8.0	3.0	0.0	3.0	3.0	2.0	1.0	0.0	20.0
myself_PNX_myself	2.0	1.0	3.0	2.0	2.0	0.0	5.0	5.0	0.0	20.0
go_VVI_go	0.0	2.0	3.0	4.0	2.0	5.0	2.0	2.0	0.0	20.0
over_AVP_over	2.0	4.0	2.0	0.0	4.0	2.0	3.0	3.0	0.0	20.0
every_AT0_every	1.0	1.0	2.0	3.0	3.0	2.0	1.0	7.0	0.0	20.0
made_VVN_make	3.0	4.0	5.0	1.0	1.0	2.0	2.0	2.0	0.0	20.0
looking_VVG_look|looking	1.0	2.0	2.0	6.0	1.0	2.0	3.0	3.0	0.0	20.0
As_CJS_as	1.0	3.0	5.0	1.0	2.0	4.0	3.0	1.0	0.0	20.0
word_NN1_word	2.0	3.0	2.0	1.0	6.0	1.0	4.0	1.0	0.0	20.0
life_NN1_life	1.0	2.0	3.0	1.0	1.0	3.0	4.0	5.0	0.0	20.0
In_PRP_in	1.0	7.0	2.0	2.0	1.0	3.0	4.0	0.0	0.0	20.0
even_AV0_even	2.0	2.0	5.0	1.0	4.0	2.0	2.0	1.0	0.0	19.0
dear_AJ0_dear	3.0	3.0	1.0	1.0	3.0	0.0	3.0	5.0	0.0	19.0
Boxer_NN1_boxer	2.0	5.0	0.0	7.0	2.0	2.0	1.0	0.0	0.0	19.0
Do_VDB_do	3.0	4.0	0.0	4.0	1.0	1.0	3.0	3.0	0.0	19.0
back_AVP_back	2.0	0.0	1.0	5.0	3.0	2.0	2.0	4.0	0.0	19.0
same_DT0_same	2.0	4.0	1.0	3.0	3.0	2.0	1.0	3.0	0.0	19.0
Good_AJ0_good	2.0	4.0	6.0	2.0	0.0	3.0	1.0	1.0	0.0	19.0
That_DT0_that	1.0	10.0	0.0	2.0	2.0	1.0	0.0	3.0	0.0	19.0
had_VHN_have	3.0	1.0	1.0	2.0	3.0	3.0	2.0	4.0	0.0	19.0
began_VVD_begin	7.0	3.0	0.0	0.0	1.0	3.0	4.0	0.0	0.0	18.0
as_AV0_as	0.0	2.0	3.0	4.0	2.0	1.0	2.0	4.0	0.0	18.0
With_PRP_with	1.0	6.0	2.0	2.0	3.0	2.0	0.0	2.0	0.0	18.0
dear_ITJ_dear	2.0	0.0	2.0	3.0	5.0	1.0	0.0	5.0	0.0	18.0
side_NN1_side	2.0	2.0	2.0	3.0	3.0	1.0	1.0	4.0	0.0	18.0
long_AJ0_long	4.0	5.0	0.0	4.0	1.0	2.0	1.0	1.0	0.0	18.0
child_NN1_child	3.0	1.0	0.0	1.0	4.0	1.0	7.0	0.0	1.0	18.0
poor_AJ0_poor	1.0	0.0	2.0	2.0	3.0	3.0	7.0	0.0	0.0	18.0
baby_NN1_baby	15.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	18.0
thought_VVD_think	2.0	1.0	1.0	4.0	3.0	1.0	1.0	5.0	0.0	18.0
If_CJS_if	0.0	2.0	3.0	5.0	0.0	3.0	4.0	1.0	0.0	18.0
manner_NN1_manner	1.0	2.0	4.0	1.0	4.0	2.0	4.0	0.0	0.0	18.0
better_AJC_good	2.0	0.0	3.0	0.0	3.0	2.0	5.0	2.0	0.0	17.0
daughter_NN1_daughter	0.0	1.0	3.0	2.0	5.0	1.0	3.0	2.0	0.0	17.0
just_AV0_just	3.0	6.0	3.0	0.0	0.0	1.0	3.0	1.0	0.0	17.0
horse_NN1_horse	3.0	0.0	0.0	2.0	3.0	6.0	1.0	2.0	0.0	17.0
hearth_NN1_hearth	4.0	0.0	2.0	0.0	1.0	9.0	1.0	0.0	0.0	17.0
things_NN2_thing	1.0	2.0	2.0	7.0	3.0	1.0	1.0	0.0	0.0	17.0
So_AV0_so	3.0	2.0	2.0	1.0	2.0	3.0	2.0	2.0	0.0	17.0
before_AV0_before	0.0	1.0	4.0	0.0	1.0	3.0	4.0	4.0	0.0	17.0
ca_VM0_can	0.0	1.0	4.0	1.0	1.0	1.0	5.0	4.0	0.0	17.0
cart_NN1_cart	3.0	2.0	2.0	6.0	1.0	2.0	0.0	1.0	0.0	17.0
blind_AJ0_blind	0.0	0.0	1.0	5.0	3.0	1.0	7.0	0.0	0.0	17.0
full_AJ0_full	2.0	2.0	0.0	6.0	3.0	1.0	1.0	2.0	0.0	17.0
after_PRP_after	1.0	2.0	4.0	1.0	2.0	0.0	3.0	3.0	0.0	16.0
better_AV0_well	2.0	5.0	0.0	2.0	2.0	1.0	4.0	0.0	0.0	16.0
happy_AJ0_happy	1.0	0.0	4.0	0.0	3.0	3.0	2.0	3.0	0.0	16.0
yet_AV0_yet	2.0	0.0	3.0	0.0	3.0	2.0	3.0	3.0	0.0	16.0
turned_VVD_turn|turned	1.0	2.0	0.0	2.0	1.0	6.0	2.0	2.0	0.0	16.0
people_NN0_people	0.0	2.0	3.0	5.0	3.0	0.0	2.0	1.0	0.0	16.0
words_NN2_word	0.0	2.0	2.0	1.0	2.0	1.0	4.0	4.0	0.0	16.0
short_AJ0_short	4.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	0.0	16.0
